date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;7.0;5.0;6.4;97.0;24.0;7.0;True
2019-01-01;6.0;7.0;6.5;70.0;24.0;8.0;True
2019-01-01;7.0;8.0;4.7;79.0;24.0;6.0;True
2019-01-02;8.0;8.0;3.6;58.0;32.0;4.0;True
2019-01-02;0.0;8.0;2.8;50.0;32.0;4.0;True
2019-01-02;0.0;8.0;1.6;56.0;32.0;4.0;True
2019-01-03;8.0;8.0;3.8;75.0;32.0;5.0;True
2019-01-03;3.0;9.0;3.1;62.0;32.0;3.0;True
2019-01-03;7.0;9.0;1.7;62.0;32.0;2.0;True
2019-01-04;7.0;6.0;4.0;97.0;24.0;6.0;True
2019-01-04;7.0;8.0;4.9;87.0;28.0;5.0;True
2019-01-04;8.0;8.0;5.1;92.0;24.0;4.0;True
2019-01-05;6.0;8.0;5.1;94.0;32.0;3.0;True
2019-01-05;8.0;9.0;4.8;90.0;4.0;4.0;True
2019-01-05;5.0;8.0;4.2;92.0;32.0;3.0;True
2019-01-06;8.0;9.0;1.6;76.0;32.0;2.0;True
2019-01-06;7.0;8.0;3.5;68.0;4.0;2.0;True
2019-01-06;8.0;9.0;1.3;81.0;20.0;3.0;True
2019-01-07;8.0;2.0;2.2;99.0;20.0;3.0;True
2019-01-07;8.0;3.0;4.7;99.0;24.0;3.0;True
2019-01-07;8.0;8.0;3.8;91.0;20.0;5.0;True
2019-01-08;7.0;6.0;5.0;94.0;20.0;6.0;True
2019-01-08;8.0;4.0;5.3;99.0;28.0;4.0;True
2019-01-08;8.0;8.0;3.5;89.0;28.0;6.0;True
2019-01-09;8.0;8.0;2.2;88.0;32.0;5.0;True
2019-01-09;8.0;7.0;2.0;90.0;32.0;5.0;True
2019-01-09;8.0;8.0;1.8;81.0;32.0;6.0;True
2019-01-10;7.0;8.0;0.4;82.0;32.0;3.0;True
2019-01-10;8.0;9.0;0.2;77.0;28.0;1.0;True
2019-01-10;8.0;8.0;-0.6;92.0;24.0;3.0;True
2019-01-11;8.0;4.0;2.0;99.0;20.0;5.0;True
2019-01-11;8.0;7.0;5.5;95.0;24.0;5.0;True
2019-01-11;8.0;7.0;4.7;90.0;28.0;5.0;True
2019-01-12;8.0;6.0;3.1;92.0;24.0;4.0;True
2019-01-12;8.0;8.0;4.9;97.0;24.0;6.0;True
2019-01-12;8.0;8.0;5.2;94.0;24.0;6.0;True
2019-01-13;8.0;7.0;4.8;95.0;24.0;5.0;True
2019-01-13;8.0;6.0;6.0;98.0;24.0;7.0;True
2019-01-13;8.0;8.0;5.9;89.0;24.0;7.0;True
2019-01-14;7.0;8.0;0.2;80.0;28.0;6.0;True
2019-01-14;4.0;9.0;2.1;55.0;28.0;6.0;True
2019-01-14;0.0;8.0;2.2;66.0;28.0;7.0;True
2019-01-15;7.0;8.0;2.4;94.0;24.0;6.0;True
2019-01-15;8.0;6.0;3.9;98.0;24.0;4.0;True
2019-01-15;8.0;8.0;5.9;92.0;24.0;7.0;True
2019-01-16;8.0;7.0;5.4;95.0;24.0;6.0;True
2019-01-16;7.0;8.0;6.5;88.0;20.0;5.0;True
2019-01-16;8.0;6.0;5.8;95.0;20.0;6.0;True
2019-01-17;7.0;8.0;3.8;92.0;20.0;6.0;True
2019-01-17;8.0;8.0;4.8;78.0;20.0;6.0;True
2019-01-17;8.0;8.0;1.8;89.0;28.0;5.0;True
2019-01-18;3.0;9.0;0.0;72.0;28.0;4.0;True
2019-01-18;2.0;9.0;1.8;66.0;24.0;5.0;True
2019-01-18;2.0;9.0;1.3;76.0;24.0;4.0;True
2019-01-19;7.0;7.0;1.6;91.0;24.0;4.0;True
2019-01-19;8.0;8.0;1.8;85.0;24.0;4.0;True
2019-01-19;8.0;6.0;-0.2;94.0;20.0;3.0;True
2019-01-20;8.0;7.0;-1.6;96.0;20.0;3.0;True
2019-01-20;7.0;8.0;0.1;89.0;20.0;4.0;True
2019-01-20;7.0;8.0;-0.4;86.0;20.0;3.0;True
2019-01-21;8.0;7.0;-2.5;91.0;20.0;5.0;True
2019-01-21;7.0;2.0;-2.8;95.0;20.0;5.0;True
2019-01-21;8.0;5.0;-1.2;98.0;20.0;5.0;True
2019-01-22;8.0;3.0;-0.2;99.0;20.0;4.0;True
2019-01-22;8.0;5.0;-0.8;97.0;16.0;4.0;True
2019-01-22;7.0;6.0;-1.2;92.0;16.0;3.0;True
2019-01-23;0.0;6.0;-3.0;83.0;12.0;5.0;True
2019-01-23;2.0;7.0;-1.3;77.0;8.0;4.0;True
2019-01-23;8.0;6.0;-2.9;80.0;8.0;4.0;True
2019-01-24;8.0;7.0;-3.5;77.0;16.0;2.0;True
2019-01-24;6.0;7.0;-1.4;74.0;12.0;3.0;True
2019-01-24;8.0;7.0;-3.9;81.0;16.0;4.0;True
2019-01-25;8.0;7.0;-5.3;82.0;20.0;2.0;True
2019-01-25;8.0;7.0;-4.4;80.0;20.0;3.0;True
2019-01-25;8.0;7.0;-3.3;79.0;20.0;4.0;True
2019-01-26;7.0;6.0;-2.8;89.0;16.0;4.0;True
2019-01-26;8.0;5.0;-1.6;92.0;16.0;4.0;True
2019-01-26;8.0;5.0;0.2;98.0;12.0;3.0;True
2019-01-27;8.0;4.0;1.8;100.0;16.0;5.0;True
2019-01-27;8.0;6.0;2.4;98.0;16.0;4.0;True
2019-01-27;8.0;6.0;2.9;98.0;16.0;4.0;True
2019-01-28;8.0;6.0;2.4;99.0;20.0;4.0;True
2019-01-28;8.0;8.0;2.9;92.0;16.0;3.0;True
2019-01-28;8.0;7.0;2.0;96.0;20.0;3.0;True
2019-01-29;8.0;8.0;0.7;74.0;28.0;5.0;True
2019-01-29;7.0;8.0;2.1;75.0;24.0;4.0;True
2019-01-29;7.0;8.0;1.6;92.0;20.0;3.0;True
2019-01-30;8.0;7.0;1.7;89.0;12.0;3.0;True
2019-01-30;8.0;7.0;1.9;85.0;12.0;4.0;True
2019-01-30;8.0;8.0;1.9;71.0;8.0;6.0;True
2019-01-31;8.0;6.0;0.0;83.0;12.0;5.0;True
2019-01-31;8.0;6.0;0.2;82.0;12.0;4.0;True
2019-01-31;8.0;6.0;0.7;82.0;12.0;3.0;True
2019-02-01;7.0;6.0;0.3;89.0;8.0;3.0;True
2019-02-01;8.0;6.0;0.2;91.0;8.0;3.0;True
2019-02-01;8.0;6.0;1.2;79.0;12.0;4.0;True
2019-02-02;8.0;6.0;1.9;91.0;8.0;4.0;True
2019-02-02;8.0;5.0;1.8;98.0;4.0;4.0;True
2019-02-02;8.0;7.0;1.2;98.0;4.0;5.0;True
2019-02-03;8.0;8.0;2.0;84.0;28.0;4.0;True
2019-02-03;8.0;8.0;1.9;89.0;28.0;4.0;True
2019-02-03;8.0;8.0;1.8;80.0;28.0;5.0;True
2019-02-04;0.0;6.0;-0.6;98.0;20.0;3.0;True
