date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;8.0;6.0;7.6;95.0;24.0;6.0;True
2019-01-01;7.0;8.0;7.3;65.0;24.0;6.0;True
2019-01-01;2.0;8.0;5.1;65.0;24.0;7.0;True
2019-01-02;7.0;8.0;4.4;62.0;28.0;7.0;True
2019-01-02;0.0;7.0;4.1;49.0;32.0;7.0;True
2019-01-02;2.0;9.0;3.1;66.0;28.0;6.0;True
2019-01-03;0.0;9.0;0.5;84.0;24.0;3.0;True
2019-01-03;8.0;8.0;3.5;75.0;28.0;4.0;True
2019-01-03;7.0;8.0;2.3;85.0;28.0;3.0;True
2019-01-04;8.0;6.0;3.5;94.0;24.0;5.0;True
2019-01-04;8.0;8.0;4.7;93.0;24.0;5.0;True
2019-01-04;8.0;8.0;6.7;86.0;24.0;4.0;True
2019-01-05;7.0;8.0;7.1;92.0;28.0;4.0;True
2019-01-05;6.0;7.0;7.3;86.0;28.0;4.0;True
2019-01-05;7.0;8.0;4.8;85.0;32.0;3.0;True
2019-01-06;8.0;3.0;0.3;98.0;24.0;1.0;True
2019-01-06;7.0;6.0;3.4;94.0;20.0;2.0;True
2019-01-06;7.0;4.0;3.9;99.0;20.0;2.0;True
2019-01-07;8.0;5.0;6.1;97.0;24.0;3.0;True
2019-01-07;7.0;9.0;5.9;84.0;24.0;4.0;True
2019-01-07;8.0;6.0;6.1;97.0;20.0;5.0;True
2019-01-08;8.0;7.0;5.9;91.0;20.0;6.0;True
2019-01-08;8.0;9.0;5.8;80.0;28.0;6.0;True
2019-01-08;8.0;8.0;4.3;79.0;28.0;6.0;True
2019-01-09;8.0;8.0;3.0;78.0;32.0;7.0;True
2019-01-09;8.0;7.0;2.6;80.0;32.0;7.0;True
2019-01-09;7.0;9.0;2.5;78.0;32.0;6.0;True
2019-01-10;7.0;9.0;1.2;78.0;32.0;3.0;True
2019-01-10;8.0;9.0;2.2;79.0;28.0;2.0;True
2019-01-10;8.0;7.0;1.3;88.0;20.0;2.0;True
2019-01-11;8.0;6.0;4.3;99.0;24.0;4.0;True
2019-01-11;8.0;9.0;7.0;89.0;24.0;5.0;True
2019-01-11;7.0;7.0;4.9;86.0;24.0;3.0;True
2019-01-12;8.0;8.0;5.6;83.0;24.0;4.0;True
2019-01-12;8.0;8.0;5.7;89.0;20.0;4.0;True
2019-01-12;8.0;8.0;5.9;91.0;24.0;4.0;True
2019-01-13;8.0;7.0;6.0;92.0;24.0;5.0;True
2019-01-13;7.0;9.0;8.2;93.0;24.0;5.0;True
2019-01-13;8.0;7.0;6.8;83.0;24.0;5.0;True
2019-01-14;8.0;8.0;2.6;65.0;28.0;6.0;True
2019-01-14;6.0;8.0;2.3;62.0;28.0;6.0;True
2019-01-14;0.0;8.0;1.9;69.0;24.0;5.0;True
2019-01-15;8.0;8.0;4.3;83.0;24.0;5.0;True
2019-01-15;7.0;6.0;5.7;95.0;20.0;4.0;True
2019-01-15;8.0;8.0;7.1;92.0;24.0;5.0;True
2019-01-16;8.0;7.0;7.1;85.0;20.0;4.0;True
2019-01-16;7.0;7.0;7.8;81.0;20.0;4.0;True
2019-01-16;7.0;6.0;5.5;93.0;20.0;5.0;True
2019-01-17;3.0;8.0;4.1;87.0;20.0;5.0;True
2019-01-17;7.0;8.0;5.7;73.0;20.0;6.0;True
2019-01-17;8.0;5.0;0.8;93.0;32.0;4.0;True
2019-01-18;0.0;9.0;-0.4;83.0;24.0;3.0;True
2019-01-18;0.0;8.0;2.1;77.0;20.0;3.0;True
2019-01-18;6.0;7.0;0.1;95.0;24.0;3.0;True
2019-01-19;8.0;4.0;-0.5;98.0;16.0;2.0;True
2019-01-19;1.0;6.0;2.1;75.0;20.0;2.0;True
2019-01-19;8.0;5.0;-1.8;90.0;16.0;2.0;True
2019-01-20;8.0;2.0;-3.0;97.0;16.0;2.0;True
2019-01-20;8.0;2.0;-2.9;97.0;16.0;1.0;True
2019-01-20;8.0;3.0;-3.5;97.0;20.0;2.0;True
2019-01-21;7.0;5.0;-5.2;94.0;20.0;4.0;True
2019-01-21;8.0;6.0;-3.0;92.0;20.0;4.0;True
2019-01-21;8.0;6.0;-1.1;92.0;20.0;4.0;True
2019-01-22;8.0;4.0;-1.9;98.0;20.0;3.0;True
2019-01-22;8.0;6.0;0.3;84.0;16.0;3.0;True
2019-01-22;8.0;6.0;-1.7;76.0;12.0;4.0;True
2019-01-23;7.0;6.0;-5.2;83.0;12.0;4.0;True
2019-01-23;6.0;6.0;-2.7;73.0;12.0;3.0;True
2019-01-23;8.0;5.0;-3.2;79.0;8.0;4.0;True
2019-01-24;8.0;6.0;-5.4;76.0;16.0;2.0;True
2019-01-24;8.0;7.0;-3.5;68.0;12.0;2.0;True
2019-01-24;8.0;7.0;-3.3;69.0;8.0;2.0;True
2019-01-25;8.0;6.0;-3.6;76.0;16.0;2.0;True
2019-01-25;8.0;7.0;-3.3;62.0;16.0;2.0;True
2019-01-25;8.0;6.0;-3.4;74.0;16.0;3.0;True
2019-01-26;8.0;2.0;-0.3;96.0;12.0;1.0;True
2019-01-26;8.0;6.0;3.6;92.0;20.0;3.0;True
2019-01-26;7.0;5.0;2.4;96.0;16.0;2.0;True
2019-01-27;8.0;6.0;3.1;93.0;16.0;3.0;True
2019-01-27;8.0;8.0;4.9;90.0;16.0;4.0;True
2019-01-27;8.0;6.0;4.3;95.0;16.0;3.0;True
2019-01-28;8.0;6.0;2.0;91.0;16.0;2.0;True
2019-01-28;8.0;7.0;3.3;84.0;16.0;2.0;True
2019-01-28;8.0;6.0;2.4;90.0;24.0;2.0;True
2019-01-29;0.0;7.0;-1.6;90.0;20.0;3.0;True
2019-01-29;7.0;8.0;2.7;82.0;20.0;4.0;True
2019-01-29;5.0;7.0;0.3;88.0;16.0;3.0;True
2019-01-30;8.0;6.0;-0.6;91.0;12.0;3.0;True
2019-01-30;8.0;8.0;2.3;69.0;12.0;4.0;True
2019-01-30;7.0;7.0;1.5;69.0;8.0;5.0;True
2019-01-31;7.0;6.0;0.4;82.0;12.0;3.0;True
2019-01-31;8.0;7.0;2.1;72.0;16.0;3.0;True
2019-01-31;1.0;7.0;1.4;77.0;8.0;3.0;True
2019-02-01;4.0;5.0;-1.1;86.0;8.0;4.0;True
2019-02-01;7.0;5.0;-0.5;85.0;8.0;5.0;True
2019-02-01;8.0;5.0;0.3;83.0;12.0;3.0;True
2019-02-02;0.0;5.0;1.5;88.0;4.0;4.0;True
2019-02-02;8.0;5.0;2.0;88.0;32.0;5.0;True
2019-02-02;8.0;5.0;0.7;95.0;28.0;4.0;True
2019-02-03;7.0;6.0;1.6;92.0;28.0;3.0;True
2019-02-03;8.0;8.0;2.3;84.0;28.0;3.0;True
2019-02-03;0.0;8.0;0.4;82.0;24.0;2.0;True
2019-02-04;7.0;6.0;-1.6;92.0;20.0;3.0;True
2019-02-04;8.0;7.0;2.9;71.0;16.0;4.0;True
2019-02-04;8.0;7.0;2.8;70.0;16.0;4.0;True
2019-02-05;8.0;6.0;2.4;89.0;20.0;4.0;True
2019-02-05;6.0;7.0;4.7;81.0;20.0;5.0;True
2019-02-05;7.0;7.0;3.6;86.0;20.0;4.0;True
2019-02-06;8.0;6.0;1.6;88.0;16.0;3.0;True
2019-02-06;8.0;7.0;4.5;72.0;16.0;4.0;True
2019-02-06;8.0;6.0;4.6;93.0;20.0;4.0;True
