date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;8.0;5.0;7.7;99.0;24.0;5.0;True
2019-01-01;4.0;7.0;7.4;77.0;28.0;6.0;True
2019-01-01;7.0;8.0;4.5;77.0;28.0;7.0;True
2019-01-02;0.0;7.0;5.1;71.0;28.0;6.0;True
2019-01-02;0.0;5.0;5.1;58.0;28.0;4.0;True
2019-01-02;3.0;9.0;3.9;65.0;28.0;4.0;True
2019-01-03;8.0;9.0;4.5;81.0;28.0;4.0;True
2019-01-03;8.0;8.0;4.1;70.0;28.0;2.0;True
2019-01-03;4.0;9.0;3.3;76.0;28.0;3.0;True
2019-01-04;8.0;6.0;5.1;91.0;24.0;4.0;True
2019-01-04;7.0;6.0;5.8;91.0;24.0;4.0;True
2019-01-04;8.0;5.0;6.7;95.0;28.0;4.0;True
2019-01-05;8.0;5.0;6.9;99.0;28.0;5.0;True
2019-01-05;8.0;6.0;6.8;98.0;28.0;4.0;True
2019-01-05;8.0;4.0;5.9;100.0;28.0;4.0;True
2019-01-06;8.0;7.0;5.9;100.0;28.0;3.0;True
2019-01-06;8.0;5.0;6.3;100.0;28.0;4.0;True
2019-01-06;8.0;8.0;6.8;96.0;28.0;4.0;True
2019-01-07;8.0;6.0;6.0;98.0;24.0;4.0;True
2019-01-07;7.0;5.0;6.2;97.0;20.0;3.0;True
2019-01-07;8.0;5.0;7.5;98.0;20.0;4.0;True
2019-01-08;8.0;6.0;7.5;84.0;24.0;6.0;True
2019-01-08;8.0;7.0;6.8;79.0;28.0;6.0;True
2019-01-08;7.0;8.0;5.4;77.0;28.0;6.0;True
2019-01-09;0.0;8.0;4.2;70.0;28.0;5.0;True
2019-01-09;4.0;8.0;3.3;71.0;32.0;3.0;True
2019-01-09;2.0;8.0;2.9;73.0;28.0;3.0;True
2019-01-10;8.0;8.0;1.7;87.0;28.0;2.0;True
2019-01-10;7.0;9.0;2.8;84.0;24.0;1.0;True
2019-01-10;7.0;7.0;1.8;94.0;20.0;2.0;True
2019-01-11;8.0;7.0;6.6;94.0;24.0;4.0;True
2019-01-11;8.0;6.0;7.0;97.0;24.0;4.0;True
2019-01-11;8.0;6.0;6.4;88.0;28.0;4.0;True
2019-01-12;8.0;8.0;6.0;94.0;24.0;4.0;True
2019-01-12;8.0;5.0;6.8;98.0;24.0;5.0;True
2019-01-12;7.0;7.0;6.8;91.0;24.0;4.0;True
2019-01-13;7.0;6.0;6.8;98.0;24.0;4.0;True
2019-01-13;7.0;6.0;7.5;99.0;24.0;5.0;True
2019-01-13;7.0;6.0;7.3;84.0;24.0;6.0;True
2019-01-14;8.0;8.0;4.0;71.0;28.0;7.0;True
2019-01-14;7.0;7.0;4.3;71.0;28.0;6.0;True
2019-01-14;7.0;8.0;3.7;74.0;28.0;5.0;True
2019-01-15;8.0;7.0;5.5;91.0;24.0;5.0;True
2019-01-15;7.0;6.0;6.6;96.0;24.0;5.0;True
2019-01-15;8.0;5.0;6.8;98.0;24.0;5.0;True
2019-01-16;8.0;7.0;7.4;90.0;20.0;4.0;True
2019-01-16;7.0;6.0;7.1;96.0;20.0;4.0;True
2019-01-16;8.0;6.0;5.8;92.0;20.0;5.0;True
2019-01-17;3.0;8.0;4.4;89.0;20.0;4.0;True
2019-01-17;8.0;8.0;5.2;81.0;24.0;4.0;True
2019-01-17;8.0;8.0;2.0;88.0;24.0;3.0;True
2019-01-18;2.0;8.0;0.3;87.0;20.0;3.0;True
2019-01-18;4.0;8.0;3.5;87.0;24.0;3.0;True
2019-01-18;8.0;8.0;1.6;95.0;20.0;2.0;True
2019-01-19;0.0;6.0;-1.3;86.0;16.0;2.0;True
2019-01-19;0.0;6.0;1.7;72.0;16.0;2.0;True
2019-01-19;3.0;7.0;0.4;78.0;12.0;2.0;True
2019-01-20;8.0;6.0;-1.3;88.0;12.0;2.0;True
2019-01-20;8.0;6.0;1.0;80.0;12.0;1.0;True
2019-01-20;0.0;6.0;-0.5;89.0;16.0;1.0;True
2019-01-21;8.0;5.0;-3.5;92.0;20.0;3.0;True
2019-01-21;3.0;6.0;1.0;83.0;20.0;3.0;True
2019-01-21;5.0;5.0;0.7;95.0;20.0;3.0;True
2019-01-22;8.0;6.0;-0.3;87.0;16.0;2.0;True
2019-01-22;8.0;7.0;0.3;63.0;12.0;3.0;True
2019-01-22;8.0;6.0;-1.0;72.0;12.0;3.0;True
2019-01-23;8.0;6.0;-4.3;82.0;12.0;3.0;True
2019-01-23;8.0;5.0;-3.5;83.0;12.0;4.0;True
2019-01-23;8.0;5.0;-3.6;83.0;12.0;4.0;True
2019-01-24;8.0;5.0;-5.5;85.0;12.0;3.0;True
2019-01-24;8.0;6.0;-3.7;71.0;12.0;2.0;True
2019-01-24;8.0;6.0;-3.0;67.0;12.0;2.0;True
2019-01-25;8.0;6.0;-3.2;67.0;16.0;2.0;True
2019-01-25;8.0;6.0;-3.1;69.0;16.0;2.0;True
2019-01-25;8.0;3.0;-4.1;95.0;12.0;3.0;True
2019-01-26;7.0;6.0;4.1;99.0;24.0;2.0;True
2019-01-26;8.0;6.0;4.4;100.0;20.0;1.0;True
2019-01-26;8.0;5.0;5.7;100.0;20.0;3.0;True
2019-01-27;8.0;6.0;5.2;95.0;16.0;3.0;True
2019-01-27;7.0;5.0;6.0;97.0;16.0;2.0;True
2019-01-27;8.0;7.0;4.6;96.0;20.0;2.0;True
2019-01-28;8.0;4.0;2.3;98.0;12.0;2.0;True
2019-01-28;8.0;6.0;3.7;95.0;28.0;2.0;True
2019-01-28;8.0;8.0;1.8;87.0;28.0;5.0;True
2019-01-29;7.0;8.0;1.8;91.0;28.0;2.0;True
2019-01-29;6.0;8.0;3.0;83.0;20.0;3.0;True
2019-01-29;8.0;7.0;1.3;84.0;16.0;2.0;True
2019-01-30;8.0;7.0;-0.4;88.0;12.0;3.0;True
2019-01-30;8.0;7.0;1.1;80.0;12.0;6.0;True
2019-01-30;7.0;4.0;0.6;87.0;12.0;4.0;True
2019-01-31;8.0;5.0;0.0;90.0;12.0;2.0;True
2019-01-31;8.0;6.0;1.5;81.0;16.0;3.0;True
2019-01-31;0.0;6.0;1.0;89.0;8.0;3.0;True
2019-02-01;7.0;6.0;-0.6;87.0;8.0;5.0;True
2019-02-01;8.0;5.0;0.2;85.0;8.0;6.0;True
2019-02-01;8.0;5.0;0.2;90.0;8.0;4.0;True
2019-02-02;7.0;5.0;-0.6;94.0;4.0;2.0;True
2019-02-02;7.0;5.0;1.4;92.0;4.0;2.0;True
2019-02-02;8.0;5.0;1.8;93.0;28.0;3.0;True
2019-02-03;3.0;7.0;2.0;88.0;28.0;4.0;True
2019-02-03;7.0;8.0;4.0;85.0;28.0;3.0;True
2019-02-03;0.0;8.0;2.8;89.0;24.0;3.0;True
2019-02-04;8.0;8.0;1.3;80.0;16.0;3.0;True
2019-02-04;8.0;7.0;2.9;71.0;16.0;4.0;True
2019-02-04;7.0;7.0;3.0;79.0;20.0;4.0;True
2019-02-05;8.0;6.0;3.4;95.0;20.0;4.0;True
2019-02-05;8.0;7.0;4.5;92.0;24.0;4.0;True
2019-02-05;6.0;6.0;3.3;96.0;20.0;2.0;True
2019-02-06;8.0;6.0;3.5;86.0;16.0;3.0;True
