date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;8.0;5.0;8.1;97.0;24.0;5.0;True
2019-01-01;7.0;7.0;7.9;77.0;24.0;4.0;True
2019-01-01;2.0;8.0;5.9;64.0;28.0;6.0;True
2019-01-02;8.0;8.0;5.9;64.0;32.0;6.0;True
2019-01-02;6.0;8.0;6.4;54.0;32.0;4.0;True
2019-01-02;7.0;8.0;2.6;81.0;24.0;2.0;True
2019-01-03;6.0;9.0;3.7;87.0;28.0;3.0;True
2019-01-03;7.0;9.0;5.6;82.0;32.0;3.0;True
2019-01-03;0.0;8.0;1.6;91.0;28.0;2.0;True
2019-01-04;7.0;8.0;4.7;85.0;28.0;3.0;True
2019-01-04;8.0;8.0;5.9;80.0;28.0;4.0;True
2019-01-04;8.0;8.0;6.4;96.0;24.0;3.0;True
2019-01-05;8.0;7.0;7.8;90.0;28.0;5.0;True
2019-01-05;7.0;6.0;7.6;96.0;28.0;5.0;True
2019-01-05;8.0;7.0;7.3;97.0;28.0;4.0;True
2019-01-06;8.0;7.0;6.9;96.0;28.0;3.0;True
2019-01-06;8.0;6.0;7.2;94.0;28.0;3.0;True
2019-01-06;8.0;8.0;6.4;96.0;24.0;3.0;True
2019-01-07;8.0;6.0;5.5;98.0;24.0;3.0;True
2019-01-07;8.0;6.0;7.3;97.0;20.0;3.0;True
2019-01-07;8.0;7.0;7.8;92.0;20.0;4.0;True
2019-01-08;7.0;7.0;7.1;83.0;24.0;6.0;True
2019-01-08;7.0;8.0;6.8;74.0;28.0;6.0;True
2019-01-08;5.0;7.0;6.0;79.0;28.0;5.0;True
2019-01-09;0.0;8.0;4.4;65.0;32.0;4.0;True
2019-01-09;3.0;8.0;5.4;67.0;32.0;5.0;True
2019-01-09;5.0;8.0;3.1;73.0;32.0;4.0;True
2019-01-10;8.0;8.0;0.9;89.0;24.0;1.0;True
2019-01-10;7.0;8.0;3.9;82.0;24.0;2.0;True
2019-01-10;8.0;6.0;3.2;91.0;20.0;2.0;True
2019-01-11;8.0;7.0;6.3;94.0;24.0;3.0;True
2019-01-11;8.0;8.0;7.9;88.0;28.0;4.0;True
2019-01-11;8.0;8.0;7.4;83.0;28.0;4.0;True
2019-01-12;7.0;8.0;5.9;82.0;24.0;3.0;True
2019-01-12;8.0;8.0;8.1;90.0;24.0;5.0;True
2019-01-12;8.0;8.0;7.1;84.0;24.0;5.0;True
2019-01-13;7.0;6.0;7.6;95.0;20.0;3.0;True
2019-01-13;7.0;5.0;8.4;94.0;24.0;5.0;True
2019-01-13;7.0;8.0;7.5;80.0;24.0;5.0;True
2019-01-14;8.0;8.0;3.4;77.0;28.0;4.0;True
2019-01-14;4.0;8.0;4.1;62.0;28.0;5.0;True
2019-01-14;7.0;8.0;4.3;68.0;28.0;4.0;True
2019-01-15;8.0;8.0;5.7;85.0;24.0;4.0;True
2019-01-15;8.0;8.0;7.4;84.0;24.0;4.0;True
2019-01-15;8.0;6.0;6.9;95.0;24.0;4.0;True
2019-01-16;8.0;8.0;7.9;82.0;20.0;4.0;True
2019-01-16;7.0;7.0;6.8;91.0;20.0;4.0;True
2019-01-16;8.0;7.0;5.4;88.0;16.0;4.0;True
2019-01-17;1.0;8.0;4.4;84.0;20.0;4.0;True
2019-01-17;8.0;9.0;3.9;88.0;24.0;3.0;True
2019-01-17;6.0;9.0;3.1;69.0;24.0;3.0;True
2019-01-18;0.0;9.0;0.2;77.0;24.0;2.0;True
2019-01-18;0.0;9.0;3.2;81.0;24.0;3.0;True
2019-01-18;8.0;8.0;1.5;91.0;20.0;2.0;True
2019-01-19;7.0;6.0;-3.9;93.0;12.0;2.0;True
2019-01-19;8.0;8.0;1.2;77.0;12.0;2.0;True
2019-01-19;0.0;8.0;-2.1;84.0;12.0;2.0;True
2019-01-20;0.0;6.0;-6.3;96.0;12.0;1.0;True
2019-01-20;8.0;7.0;-0.6;87.0;8.0;2.0;True
2019-01-20;0.0;7.0;-3.7;94.0;32.0;1.0;True
2019-01-21;7.0;6.0;-4.3;95.0;20.0;1.0;True
2019-01-21;8.0;7.0;0.4;86.0;20.0;2.0;True
2019-01-21;6.0;6.0;0.4;91.0;16.0;2.0;True
2019-01-22;8.0;7.0;-2.9;80.0;16.0;3.0;True
2019-01-22;7.0;8.0;-0.2;64.0;12.0;4.0;True
2019-01-22;8.0;7.0;-0.5;79.0;16.0;3.0;True
2019-01-23;8.0;6.0;-3.0;90.0;12.0;3.0;True
2019-01-23;8.0;6.0;-2.3;82.0;8.0;2.0;True
2019-01-23;8.0;6.0;-6.0;87.0;4.0;2.0;True
2019-01-24;8.0;6.0;-5.0;79.0;12.0;2.0;True
2019-01-24;8.0;6.0;-4.1;76.0;16.0;2.0;True
2019-01-24;8.0;6.0;-5.9;78.0;12.0;2.0;True
2019-01-25;7.0;6.0;-6.3;77.0;16.0;2.0;True
2019-01-25;7.0;6.0;-5.0;76.0;16.0;3.0;True
2019-01-25;8.0;5.0;-0.7;94.0;16.0;4.0;True
2019-01-26;8.0;6.0;5.4;98.0;24.0;4.0;True
2019-01-26;8.0;5.0;6.5;96.0;24.0;3.0;True
2019-01-26;8.0;6.0;5.4;94.0;16.0;3.0;True
2019-01-27;8.0;7.0;5.7;93.0;16.0;3.0;True
2019-01-27;8.0;8.0;6.4;92.0;20.0;3.0;True
2019-01-27;7.0;8.0;3.9;85.0;20.0;3.0;True
2019-01-28;8.0;6.0;2.8;97.0;4.0;1.0;True
2019-01-28;7.0;8.0;3.7;86.0;32.0;5.0;True
2019-01-28;6.0;8.0;2.2;74.0;28.0;3.0;True
2019-01-29;1.0;8.0;0.9;89.0;20.0;3.0;True
2019-01-29;7.0;8.0;3.0;80.0;20.0;4.0;True
2019-01-29;8.0;8.0;0.5;79.0;16.0;2.0;True
2019-01-30;7.0;8.0;-0.7;85.0;12.0;3.0;True
2019-01-30;8.0;9.0;1.6;75.0;8.0;3.0;True
2019-01-30;8.0;4.0;-0.4;95.0;8.0;2.0;True
2019-01-31;8.0;5.0;-0.4;95.0;16.0;2.0;True
2019-01-31;8.0;6.0;0.1;90.0;16.0;4.0;True
2019-01-31;8.0;6.0;-3.0;98.0;8.0;1.0;True
2019-02-01;8.0;8.0;-1.4;82.0;8.0;4.0;True
2019-02-01;7.0;6.0;-0.2;86.0;8.0;4.0;True
2019-02-01;8.0;6.0;0.1;91.0;8.0;2.0;True
2019-02-02;8.0;6.0;-0.4;92.0;4.0;2.0;True
2019-02-02;8.0;6.0;1.2;85.0;4.0;2.0;True
2019-02-02;6.0;6.0;1.4;90.0;28.0;2.0;True
2019-02-03;1.0;8.0;0.9;85.0;28.0;2.0;True
2019-02-03;0.0;9.0;5.1;75.0;28.0;3.0;True
