date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;7.0;8.0;7.6;88.0;24.0;7.0;True
2019-01-01;7.0;8.0;6.7;75.0;24.0;7.0;True
2019-01-01;6.0;7.0;5.8;64.0;28.0;8.0;True
2019-01-02;7.0;8.0;5.0;55.0;32.0;8.0;True
2019-01-02;0.0;7.0;4.6;48.0;32.0;7.0;True
2019-01-02;1.0;9.0;3.8;66.0;28.0;6.0;True
2019-01-03;0.0;9.0;3.5;65.0;28.0;4.0;True
2019-01-03;8.0;9.0;3.9;80.0;32.0;4.0;True
2019-01-03;8.0;8.0;3.2;82.0;28.0;4.0;True
2019-01-04;8.0;7.0;4.5;93.0;24.0;6.0;True
2019-01-04;8.0;7.0;5.3;92.0;28.0;5.0;True
2019-01-04;7.0;9.0;6.1;92.0;28.0;5.0;True
2019-01-05;8.0;9.0;6.1;95.0;28.0;4.0;True
2019-01-05;8.0;8.0;6.0;88.0;28.0;4.0;True
2019-01-05;0.0;8.0;3.8;93.0;32.0;2.0;True
2019-01-06;8.0;6.0;1.0;100.0;12.0;1.0;True
2019-01-06;8.0;8.0;3.4;98.0;24.0;3.0;True
2019-01-06;8.0;4.0;4.5;100.0;16.0;2.0;True
2019-01-07;8.0;6.0;5.4;98.0;24.0;3.0;True
2019-01-07;8.0;8.0;5.2;90.0;24.0;4.0;True
2019-01-07;8.0;6.0;6.3;96.0;20.0;4.0;True
2019-01-08;8.0;6.0;6.0;94.0;24.0;7.0;True
2019-01-08;8.0;8.0;4.8;85.0;28.0;6.0;True
2019-01-08;8.0;8.0;4.1;85.0;28.0;7.0;True
2019-01-09;8.0;8.0;3.1;77.0;32.0;7.0;True
2019-01-09;8.0;8.0;3.0;78.0;32.0;6.0;True
2019-01-09;2.0;9.0;2.1;76.0;32.0;5.0;True
2019-01-10;8.0;9.0;1.3;79.0;32.0;3.0;True
2019-01-10;8.0;8.0;2.7;82.0;28.0;3.0;True
2019-01-10;8.0;8.0;2.8;82.0;24.0;4.0;True
2019-01-11;8.0;6.0;5.3;98.0;24.0;5.0;True
2019-01-11;8.0;7.0;6.0;91.0;24.0;5.0;True
2019-01-11;8.0;7.0;5.4;85.0;28.0;5.0;True
2019-01-12;8.0;7.0;5.2;90.0;24.0;4.0;True
2019-01-12;7.0;7.0;5.3;96.0;20.0;4.0;True
2019-01-12;8.0;8.0;5.8;91.0;24.0;6.0;True
2019-01-13;8.0;7.0;5.7;93.0;24.0;5.0;True
2019-01-13;8.0;8.0;6.6;98.0;24.0;6.0;True
2019-01-13;8.0;6.0;6.3;88.0;24.0;6.0;True
2019-01-14;0.0;8.0;3.0;63.0;28.0;7.0;True
2019-01-14;1.0;6.0;2.8;61.0;28.0;7.0;True
2019-01-14;0.0;8.0;3.5;67.0;28.0;7.0;True
2019-01-15;7.0;7.0;5.0;87.0;24.0;7.0;True
2019-01-15;8.0;6.0;5.6;97.0;24.0;5.0;True
2019-01-15;8.0;7.0;6.1;92.0;24.0;6.0;True
2019-01-16;8.0;7.0;6.1;92.0;24.0;5.0;True
2019-01-16;8.0;7.0;6.4;91.0;20.0;4.0;True
2019-01-16;8.0;7.0;5.7;95.0;20.0;4.0;True
2019-01-17;0.0;8.0;4.5;88.0;20.0;5.0;True
2019-01-17;8.0;7.0;5.1;83.0;20.0;6.0;True
2019-01-17;7.0;9.0;0.3;93.0;4.0;4.0;True
2019-01-18;0.0;9.0;1.2;65.0;28.0;3.0;True
2019-01-18;0.0;7.0;3.2;73.0;24.0;5.0;True
2019-01-18;5.0;8.0;3.4;74.0;24.0;4.0;True
2019-01-19;8.0;6.0;1.0;99.0;24.0;3.0;True
2019-01-19;8.0;3.0;0.2;100.0;20.0;2.0;True
2019-01-19;8.0;2.0;-2.3;100.0;12.0;2.0;True
2019-01-20;8.0;1.0;-2.2;100.0;16.0;2.0;True
2019-01-20;8.0;5.0;-1.4;99.0;16.0;2.0;True
2019-01-20;8.0;2.0;-2.4;99.0;16.0;2.0;True
2019-01-21;8.0;6.0;-2.2;89.0;20.0;3.0;True
2019-01-21;0.0;6.0;0.9;86.0;20.0;5.0;True
2019-01-21;6.0;5.0;2.0;96.0;24.0;5.0;True
2019-01-22;8.0;2.0;-1.1;100.0;16.0;2.0;True
2019-01-22;8.0;6.0;0.1;95.0;16.0;4.0;True
2019-01-22;8.0;7.0;-0.2;77.0;12.0;3.0;True
2019-01-23;8.0;6.0;-2.9;82.0;12.0;4.0;True
2019-01-23;7.0;6.0;-1.3;76.0;8.0;3.0;True
2019-01-23;8.0;6.0;-3.1;82.0;12.0;2.0;True
2019-01-24;8.0;6.0;-4.4;80.0;12.0;3.0;True
2019-01-24;8.0;7.0;-3.4;73.0;12.0;2.0;True
2019-01-24;8.0;7.0;-2.7;75.0;12.0;1.0;True
2019-01-25;8.0;6.0;-1.9;78.0;24.0;4.0;True
2019-01-25;8.0;7.0;-2.6;73.0;20.0;3.0;True
2019-01-25;7.0;6.0;-3.1;72.0;16.0;3.0;True
2019-01-26;8.0;3.0;-1.0;99.0;16.0;2.0;True
2019-01-26;8.0;6.0;3.1;97.0;20.0;3.0;True
2019-01-26;8.0;6.0;2.6;98.0;16.0;2.0;True
2019-01-27;8.0;6.0;3.5;97.0;16.0;4.0;True
2019-01-27;7.0;6.0;3.7;98.0;16.0;4.0;True
2019-01-27;8.0;7.0;4.4;98.0;16.0;3.0;True
2019-01-28;8.0;7.0;2.5;91.0;16.0;3.0;True
2019-01-28;8.0;7.0;3.0;91.0;16.0;2.0;True
2019-01-28;8.0;7.0;2.2;94.0;32.0;5.0;True
2019-01-29;0.0;7.0;0.7;90.0;24.0;5.0;True
2019-01-29;8.0;8.0;2.5;88.0;20.0;4.0;True
2019-01-29;8.0;7.0;1.4;88.0;16.0;3.0;True
2019-01-30;8.0;6.0;-0.5;93.0;12.0;3.0;True
2019-01-30;8.0;8.0;1.8;77.0;12.0;4.0;True
2019-01-30;8.0;8.0;1.6;69.0;8.0;5.0;True
2019-01-31;8.0;6.0;0.7;83.0;12.0;3.0;True
2019-01-31;8.0;7.0;1.6;80.0;12.0;3.0;True
2019-01-31;2.0;7.0;-0.8;85.0;12.0;2.0;True
2019-02-01;0.0;5.0;-1.0;91.0;8.0;3.0;True
2019-02-01;8.0;6.0;0.6;86.0;8.0;5.0;True
2019-02-01;8.0;6.0;0.5;85.0;12.0;3.0;True
2019-02-02;8.0;5.0;1.4;90.0;4.0;3.0;True
2019-02-02;8.0;6.0;1.8;88.0;32.0;4.0;True
2019-02-02;8.0;6.0;1.3;96.0;32.0;4.0;True
2019-02-03;8.0;7.0;1.8;91.0;28.0;5.0;True
2019-02-03;8.0;8.0;2.3;83.0;28.0;5.0;True
2019-02-03;0.0;8.0;2.3;84.0;24.0;4.0;True
2019-02-04;8.0;8.0;1.0;85.0;16.0;3.0;True
2019-02-04;8.0;8.0;2.9;79.0;16.0;4.0;True
2019-02-04;7.0;8.0;3.3;68.0;20.0;4.0;True
2019-02-05;3.0;6.0;2.9;93.0;20.0;5.0;True
2019-02-05;5.0;7.0;5.1;85.0;24.0;5.0;True
2019-02-05;4.0;7.0;3.6;94.0;24.0;5.0;True
2019-02-06;8.0;6.0;2.0;91.0;16.0;3.0;True
2019-02-06;8.0;6.0;3.6;87.0;16.0;3.0;True
2019-02-06;8.0;5.0;4.1;97.0;20.0;3.0;True
2019-02-07;8.0;5.0;3.5;98.0;16.0;4.0;True
2019-02-07;8.0;6.0;4.6;92.0;16.0;4.0;True
2019-02-07;8.0;8.0;5.3;82.0;16.0;4.0;True
2019-02-08;7.0;8.0;5.0;88.0;20.0;4.0;True
2019-02-08;8.0;7.0;6.7;80.0;16.0;3.0;True
2019-02-08;8.0;8.0;6.5;85.0;16.0;4.0;True
2019-02-09;8.0;9.0;6.9;88.0;16.0;5.0;True
2019-02-09;5.0;8.0;7.4;72.0;20.0;4.0;True
2019-02-09;8.0;6.0;5.4;89.0;20.0;5.0;True
2019-02-10;8.0;8.0;5.4;87.0;16.0;4.0;True
2019-02-10;8.0;6.0;5.0;94.0;12.0;4.0;True
2019-02-10;7.0;5.0;4.1;99.0;32.0;4.0;True
2019-02-11;8.0;8.0;4.4;83.0;24.0;6.0;True
2019-02-11;0.0;6.0;4.5;74.0;28.0;6.0;True
2019-02-11;0.0;8.0;4.0;76.0;28.0;6.0;True
2019-02-12;5.0;8.0;3.1;79.0;28.0;5.0;True
2019-02-12;5.0;7.0;3.4;73.0;24.0;5.0;True
2019-02-12;7.0;8.0;4.2;84.0;20.0;3.0;True
2019-02-13;8.0;6.0;5.2;96.0;24.0;6.0;True
2019-02-13;8.0;6.0;5.8;95.0;24.0;5.0;True
2019-02-13;8.0;6.0;5.2;98.0;24.0;4.0;True
2019-02-14;8.0;5.0;4.9;93.0;24.0;4.0;True
2019-02-14;8.0;5.0;5.3;92.0;24.0;3.0;True
2019-02-14;0.0;5.0;4.5;93.0;24.0;3.0;True
2019-02-15;7.0;2.0;-1.5;100.0;16.0;2.0;True
2019-02-15;0.0;8.0;10.4;55.0;20.0;3.0;True
2019-02-15;0.0;8.0;6.3;70.0;16.0;3.0;True
2019-02-16;0.0;9.0;5.8;66.0;16.0;3.0;True
2019-02-16;8.0;7.0;9.2;66.0;20.0;3.0;True
2019-02-16;8.0;6.0;6.7;83.0;20.0;3.0;True
2019-02-17;8.0;6.0;7.9;88.0;20.0;3.0;True
2019-02-17;7.0;7.0;10.6;81.0;16.0;2.0;True
2019-02-17;0.0;6.0;4.4;95.0;8.0;2.0;True
2019-02-18;8.0;6.0;5.4;77.0;20.0;3.0;True
2019-02-18;0.0;7.0;10.2;69.0;20.0;3.0;True
2019-02-18;0.0;7.0;7.0;81.0;16.0;2.0;True
2019-02-19;8.0;5.0;5.2;96.0;24.0;4.0;True
2019-02-19;8.0;7.0;6.0;90.0;24.0;5.0;True
2019-02-19;7.0;7.0;5.6;92.0;24.0;5.0;True
2019-02-20;8.0;7.0;5.0;93.0;24.0;5.0;True
2019-02-20;8.0;6.0;6.3;87.0;20.0;3.0;True
2019-02-20;7.0;6.0;6.3;91.0;20.0;3.0;True
2019-02-21;8.0;6.0;5.7;94.0;20.0;3.0;True
2019-02-21;8.0;5.0;6.0;94.0;24.0;5.0;True
2019-02-21;8.0;6.0;5.8;97.0;24.0;4.0;True
2019-02-22;8.0;9.0;2.5;81.0;8.0;5.0;True
2019-02-22;8.0;8.0;3.9;66.0;8.0;4.0;True
2019-02-22;8.0;9.0;1.4;74.0;8.0;3.0;True
2019-02-23;0.0;9.0;-0.1;75.0;16.0;2.0;True
2019-02-23;8.0;8.0;3.3;61.0;16.0;3.0;True
2019-02-23;8.0;8.0;1.8;79.0;16.0;2.0;True
2019-02-24;8.0;7.0;0.7;81.0;16.0;2.0;True
2019-02-24;0.0;7.0;6.8;62.0;20.0;3.0;True
2019-02-24;8.0;6.0;5.1;85.0;24.0;3.0;True
2019-02-25;8.0;1.0;2.3;100.0;24.0;3.0;True
2019-02-25;7.0;4.0;4.5;100.0;24.0;3.0;True
2019-02-25;8.0;1.0;3.6;98.0;16.0;1.0;True
