date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;8.0;5.0;3.3;97.0;20.0;2.0;True
2019-01-01;8.0;7.0;5.1;82.0;20.0;3.0;True
2019-01-01;8.0;8.0;4.3;86.0;20.0;4.0;True
2019-01-02;7.0;9.0;2.2;73.0;28.0;2.0;True
2019-01-02;8.0;9.0;2.6;66.0;24.0;2.0;True
2019-01-02;2.0;9.0;1.0;73.0;28.0;2.0;True
2019-01-03;2.0;8.0;-2.8;88.0;24.0;2.0;True
2019-01-03;8.0;9.0;0.0;68.0;32.0;1.0;True
2019-01-03;7.0;9.0;-0.1;62.0;20.0;2.0;True
2019-01-04;8.0;7.0;-2.0;93.0;24.0;1.0;True
2019-01-04;8.0;8.0;2.0;75.0;8.0;2.0;True
2019-01-04;8.0;8.0;0.5;78.0;32.0;2.0;True
2019-01-05;8.0;7.0;0.6;74.0;24.0;3.0;True
2019-01-05;8.0;4.0;0.0;94.0;24.0;3.0;True
2019-01-05;7.0;7.0;1.1;89.0;24.0;4.0;True
2019-01-06;8.0;7.0;2.1;89.0;24.0;3.0;True
2019-01-06;8.0;8.0;2.0;92.0;24.0;3.0;True
2019-01-06;8.0;7.0;2.1;93.0;20.0;1.0;True
2019-01-07;8.0;7.0;1.7;95.0;24.0;1.0;True
2019-01-07;8.0;8.0;3.2;86.0;32.0;1.0;True
2019-01-07;8.0;8.0;2.4;88.0;24.0;2.0;True
2019-01-08;7.0;7.0;1.4;89.0;24.0;4.0;True
2019-01-08;8.0;8.0;3.5;84.0;24.0;4.0;True
2019-01-08;7.0;9.0;3.7;79.0;24.0;4.0;True
2019-01-09;7.0;6.0;1.1;89.0;24.0;4.0;True
2019-01-09;8.0;9.0;1.9;74.0;28.0;2.0;True
2019-01-09;8.0;6.0;-0.1;86.0;28.0;2.0;True
2019-01-10;7.0;4.0;-1.2;95.0;24.0;2.0;True
2019-01-10;8.0;5.0;0.2;92.0;24.0;2.0;True
2019-01-10;7.0;6.0;-0.1;87.0;32.0;2.0;True
2019-01-11;8.0;8.0;-1.6;85.0;4.0;1.0;True
2019-01-11;8.0;8.0;0.0;74.0;24.0;2.0;True
2019-01-11;8.0;4.0;-0.8;87.0;24.0;2.0;True
2019-01-12;8.0;7.0;0.3;87.0;24.0;3.0;True
2019-01-12;8.0;7.0;1.5;87.0;24.0;3.0;True
2019-01-12;8.0;8.0;2.6;81.0;24.0;3.0;True
2019-01-13;7.0;9.0;2.6;88.0;24.0;3.0;True
2019-01-13;7.0;7.0;2.7;92.0;24.0;3.0;True
2019-01-13;8.0;8.0;5.5;87.0;24.0;5.0;True
