date;coverage;range;temp;humidity;wind_dir;wind_str;original
2019-01-01;7.0;7.0;7.6;83.0;24.0;5.0;True
2019-01-01;7.0;8.0;7.5;65.0;24.0;6.0;True
2019-01-01;8.0;8.0;5.4;65.0;24.0;5.0;True
2019-01-02;7.0;8.0;3.6;59.0;32.0;5.0;True
2019-01-02;7.0;9.0;2.8;52.0;32.0;4.0;True
2019-01-02;4.0;9.0;2.1;47.0;32.0;4.0;True
2019-01-03;8.0;9.0;3.3;74.0;32.0;4.0;True
2019-01-03;8.0;9.0;2.8;70.0;32.0;3.0;True
2019-01-03;3.0;9.0;1.4;66.0;32.0;2.0;True
2019-01-04;7.0;6.0;1.4;90.0;20.0;3.0;True
2019-01-04;7.0;7.0;4.0;94.0;24.0;4.0;True
2019-01-04;6.0;8.0;3.3;89.0;24.0;4.0;True
2019-01-05;8.0;7.0;5.0;94.0;28.0;2.0;True
2019-01-05;8.0;9.0;4.8;87.0;32.0;2.0;True
2019-01-05;7.0;9.0;2.9;85.0;32.0;2.0;True
2019-01-06;8.0;9.0;1.8;80.0;28.0;2.0;True
2019-01-06;8.0;9.0;2.5;82.0;28.0;2.0;True
2019-01-06;8.0;9.0;1.4;80.0;24.0;1.0;True
2019-01-07;8.0;8.0;0.2;89.0;16.0;2.0;True
2019-01-07;8.0;6.0;2.3;96.0;16.0;3.0;True
2019-01-07;8.0;9.0;4.2;92.0;20.0;2.0;True
2019-01-08;8.0;9.0;5.9;86.0;20.0;4.0;True
2019-01-08;8.0;7.0;5.8;95.0;20.0;3.0;True
2019-01-08;7.0;6.0;3.1;94.0;24.0;4.0;True
2019-01-09;7.0;7.0;2.4;93.0;32.0;4.0;True
2019-01-09;8.0;8.0;2.7;90.0;32.0;4.0;True
2019-01-09;8.0;7.0;3.4;88.0;32.0;5.0;True
2019-01-10;7.0;9.0;1.5;84.0;32.0;2.0;True
2019-01-10;8.0;9.0;1.7;78.0;28.0;2.0;True
2019-01-10;8.0;9.0;0.5;75.0;28.0;1.0;True
2019-01-11;8.0;5.0;0.7;92.0;20.0;3.0;True
2019-01-11;8.0;6.0;3.7;95.0;20.0;4.0;True
2019-01-11;8.0;8.0;5.8;88.0;24.0;3.0;True
2019-01-12;7.0;7.0;2.6;91.0;20.0;3.0;True
2019-01-12;8.0;7.0;5.5;91.0;20.0;3.0;True
2019-01-12;7.0;8.0;5.4;93.0;20.0;4.0;True
2019-01-13;8.0;8.0;5.1;92.0;24.0;4.0;True
2019-01-13;7.0;7.0;6.1;93.0;20.0;4.0;True
2019-01-13;7.0;9.0;6.8;83.0;24.0;4.0;True
2019-01-14;7.0;9.0;2.6;63.0;28.0;4.0;True
2019-01-14;7.0;3.0;-1.2;78.0;28.0;5.0;True
2019-01-14;0.0;9.0;0.7;63.0;24.0;4.0;True
2019-01-15;7.0;3.0;0.3;97.0;20.0;2.0;True
2019-01-15;8.0;7.0;4.0;93.0;24.0;3.0;True
2019-01-15;7.0;8.0;6.8;92.0;24.0;4.0;True
2019-01-16;8.0;8.0;6.8;88.0;20.0;3.0;True
2019-01-16;8.0;7.0;7.0;85.0;20.0;4.0;True
2019-01-16;7.0;8.0;7.1;80.0;20.0;4.0;True
2019-01-17;8.0;7.0;4.3;87.0;20.0;4.0;True
2019-01-17;8.0;9.0;5.6;73.0;20.0;4.0;True
2019-01-17;8.0;9.0;4.9;73.0;20.0;3.0;True
2019-01-18;7.0;9.0;0.1;75.0;28.0;3.0;True
2019-01-18;0.0;7.0;1.6;68.0;24.0;3.0;True
2019-01-18;0.0;8.0;-0.8;84.0;20.0;3.0;True
2019-01-19;8.0;7.0;-0.5;90.0;24.0;2.0;True
2019-01-19;8.0;7.0;-0.6;90.0;16.0;2.0;True
2019-01-19;8.0;6.0;-1.6;94.0;20.0;2.0;True
2019-01-20;8.0;5.0;-2.4;96.0;12.0;1.0;True
2019-01-20;8.0;7.0;-1.7;90.0;28.0;2.0;True
2019-01-20;8.0;7.0;-1.9;88.0;20.0;1.0;True
2019-01-21;8.0;7.0;-2.9;87.0;16.0;3.0;True
2019-01-21;8.0;7.0;-1.5;74.0;20.0;3.0;True
2019-01-21;7.0;6.0;-1.8;85.0;20.0;3.0;True
2019-01-22;8.0;6.0;-1.3;88.0;20.0;2.0;True
2019-01-22;8.0;6.0;-0.9;88.0;16.0;3.0;True
2019-01-22;0.0;6.0;-2.9;80.0;12.0;2.0;True
2019-01-23;0.0;5.0;-7.9;91.0;12.0;1.0;True
2019-01-23;0.0;6.0;-3.9;70.0;8.0;3.0;True
2019-01-23;8.0;6.0;-4.4;76.0;12.0;3.0;True
2019-01-24;7.0;6.0;-4.3;74.0;8.0;2.0;True
2019-01-24;7.0;6.0;-3.9;70.0;12.0;2.0;True
2019-01-24;8.0;6.0;-6.0;81.0;12.0;2.0;True
2019-01-25;8.0;6.0;-4.6;77.0;24.0;2.0;True
2019-01-25;8.0;6.0;-4.3;77.0;24.0;2.0;True
2019-01-25;8.0;6.0;-3.9;78.0;16.0;2.0;True
2019-01-26;8.0;5.0;-3.9;89.0;16.0;3.0;True
2019-01-26;8.0;6.0;-1.1;86.0;16.0;2.0;True
2019-01-26;8.0;4.0;0.1;97.0;16.0;3.0;True
2019-01-27;8.0;6.0;2.1;96.0;16.0;3.0;True
2019-01-27;8.0;7.0;3.4;94.0;16.0;3.0;True
2019-01-27;7.0;6.0;3.6;96.0;16.0;3.0;True
2019-01-28;8.0;6.0;3.5;96.0;20.0;3.0;True
2019-01-28;8.0;8.0;3.6;86.0;16.0;3.0;True
2019-01-28;8.0;8.0;2.5;89.0;16.0;2.0;True
2019-01-29;7.0;7.0;0.2;91.0;24.0;3.0;True
2019-01-29;7.0;8.0;1.0;85.0;20.0;3.0;True
2019-01-29;8.0;8.0;1.3;87.0;16.0;2.0;True
2019-01-30;7.0;7.0;0.3;92.0;12.0;2.0;True
2019-01-30;8.0;9.0;2.9;61.0;12.0;2.0;True
2019-01-30;8.0;8.0;0.1;75.0;8.0;3.0;True
2019-01-31;8.0;6.0;-1.5;87.0;12.0;3.0;True
2019-01-31;8.0;6.0;0.9;77.0;12.0;3.0;True
2019-01-31;8.0;6.0;0.2;82.0;8.0;2.0;True
2019-02-01;3.0;4.0;-2.1;93.0;8.0;2.0;True
2019-02-01;8.0;6.0;0.1;80.0;8.0;3.0;True
2019-02-01;8.0;6.0;0.7;79.0;12.0;2.0;True
2019-02-02;8.0;4.0;0.0;96.0;32.0;2.0;True
2019-02-02;8.0;3.0;0.5;97.0;32.0;2.0;True
2019-02-02;8.0;4.0;0.3;96.0;24.0;2.0;True
2019-02-03;8.0;6.0;1.1;93.0;24.0;2.0;True
2019-02-03;8.0;6.0;1.9;89.0;28.0;3.0;True
2019-02-03;8.0;8.0;1.1;89.0;28.0;3.0;True
2019-02-04;8.0;4.0;-0.5;98.0;24.0;2.0;True
2019-02-04;3.0;7.0;1.7;83.0;16.0;4.0;True
2019-02-04;8.0;6.0;0.4;91.0;16.0;4.0;True
2019-02-05;8.0;7.0;1.1;85.0;20.0;3.0;True
2019-02-05;8.0;7.0;3.8;79.0;20.0;4.0;True
2019-02-05;8.0;7.0;3.4;81.0;20.0;4.0;True
2019-02-06;8.0;6.0;2.4;86.0;20.0;2.0;True
2019-02-06;8.0;7.0;4.6;73.0;16.0;4.0;True
