MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1951010107;5.0;6.0;-4.7;68.0;16.0;4.0
1951010114;6.0;6.0;-3.9;82.0;14.0;4.0
1951010121;8.0;5.0;-3.1;94.0;16.0;5.0
1951010207;6.0;6.0;-1.3;93.0;16.0;3.0
1951010214;8.0;6.0;0.0;94.0;14.0;3.0
1951010221;8.0;7.0;1.2;72.0;14.0;6.0
1951010307;8.0;6.0;0.9;92.0;14.0;4.0
1951010314;8.0;7.0;-1.6;96.0;20.0;2.0
1951010321;8.0;3.0;-0.7;97.0;18.0;3.0
1951010407;8.0;5.0;0.7;88.0;20.0;5.0
1951010414;8.0;6.0;0.7;94.0;20.0;4.0
1951010421;8.0;6.0;0.3;88.0;16.0;4.0
1951010507;8.0;6.0;0.6;90.0;18.0;4.0
1951010514;8.0;6.0;1.4;96.0;18.0;4.0
1951010521;8.0;5.0;1.5;98.0;20.0;6.0
1951010607;8.0;7.0;1.8;94.0;26.0;5.0
1951010614;8.0;7.0;1.6;93.0;26.0;2.0
1951010621;8.0;7.0;0.4;97.0;12.0;3.0
1951010707;8.0;5.0;2.1;98.0;16.0;3.0
1951010714;8.0;7.0;4.4;93.0;20.0;4.0
1951010721;8.0;7.0;2.8;95.0;20.0;6.0
1951010807;8.0;8.0;2.6;98.0;24.0;3.0
1951010814;8.0;8.0;1.6;93.0;26.0;2.0
1951010821;7.0;8.0;-0.4;93.0;16.0;2.0
1951010907;8.0;7.0;2.9;99.0;20.0;4.0
1951010914;8.0;5.0;3.2;97.0;18.0;4.0
1951010921;8.0;7.0;3.4;96.0;22.0;6.0
1951011007;8.0;8.0;0.8;85.0;26.0;7.0
1951011014;7.0;8.0;0.0;83.0;24.0;3.0
1951011021;3.0;7.0;0.9;92.0;16.0;5.0
1951011107;8.0;6.0;0.8;97.0;16.0;5.0
1951011114;8.0;6.0;1.9;97.0;16.0;4.0
1951011121;8.0;8.0;4.6;96.0;22.0;4.0
1951011207;8.0;8.0;5.2;90.0;20.0;4.0
1951011214;8.0;8.0;6.0;87.0;18.0;3.0
1951011221;7.0;8.0;3.2;92.0;14.0;1.0
1951011307;7.0;8.0;2.6;96.0;16.0;2.0
1951011314;7.0;6.0;2.4;92.0;18.0;2.0
1951011321;7.0;7.0;2.4;85.0;20.0;3.0
1951011407;7.0;7.0;2.6;91.0;20.0;4.0
1951011414;8.0;6.0;3.2;88.0;20.0;4.0
1951011421;1.0;8.0;1.6;95.0;22.0;5.0
1951011507;5.0;8.0;0.4;93.0;22.0;4.0
1951011514;7.0;6.0;2.2;92.0;20.0;3.0
1951011521;8.0;8.0;2.2;81.0;24.0;3.0
1951011607;5.0;8.0;1.8;83.0;28.0;5.0
1951011614;8.0;8.0;1.6;83.0;28.0;4.0
1951011621;7.0;8.0;1.8;74.0;28.0;2.0
1951011707;7.0;7.0;0.4;96.0;20.0;3.0
1951011714;8.0;7.0;1.9;93.0;16.0;5.0
1951011721;8.0;5.0;1.5;96.0;18.0;6.0
1951011807;8.0;7.0;3.9;94.0;26.0;4.0
1951011814;8.0;6.0;4.2;97.0;18.0;2.0
1951011821;8.0;4.0;3.0;100.0;24.0;3.0
1951011907;8.0;7.0;3.4;97.0;24.0;4.0
1951011914;5.0;8.0;3.6;91.0;24.0;6.0
1951011921;8.0;8.0;3.2;88.0;24.0;6.0
1951012007;8.0;8.0;2.6;88.0;28.0;5.0
1951012014;8.0;8.0;2.6;86.0;28.0;5.0
1951012021;8.0;8.0;1.2;82.0;30.0;6.0
1951012107;4.0;8.0;-1.3;81.0;30.0;7.0
1951012114;0.0;9.0;-1.3;55.0;32.0;6.0
1951012121;1.0;9.0;-0.3;62.0;28.0;3.0
1951012207;8.0;9.0;-2.5;77.0;20.0;2.0
1951012214;8.0;8.0;-1.3;51.0;16.0;3.0
1951012221;8.0;7.0;-1.3;76.0;16.0;4.0
1951012307;8.0;6.0;-0.2;93.0;12.0;3.0
1951012314;8.0;5.0;-0.7;95.0;12.0;5.0
1951012321;8.0;7.0;-0.6;88.0;12.0;6.0
1951012407;8.0;7.0;-1.4;82.0;12.0;6.0
1951012414;5.0;8.0;-1.3;82.0;12.0;4.0
1951012421;1.0;8.0;-1.9;68.0;12.0;4.0
1951012507;0.0;8.0;-3.0;62.0;10.0;5.0
1951012514;1.0;8.0;-3.2;61.0;12.0;6.0
1951012521;2.0;8.0;-2.5;63.0;12.0;7.0
1951012607;8.0;8.0;-6.4;94.0;12.0;5.0
1951012614;8.0;7.0;-4.3;90.0;10.0;4.0
1951012621;8.0;7.0;-3.8;86.0;8.0;3.0
1951012707;8.0;6.0;-2.5;87.0;12.0;4.0
1951012714;8.0;6.0;-0.3;91.0;12.0;4.0
1951012721;8.0;6.0;-0.7;90.0;12.0;4.0
1951012807;8.0;7.0;-3.1;85.0;12.0;6.0
1951012814;8.0;7.0;-3.2;80.0;12.0;5.0
1951012821;8.0;6.0;-2.1;84.0;12.0;3.0
1951012907;8.0;7.0;0.0;92.0;10.0;2.0
1951012914;8.0;8.0;0.3;92.0;10.0;2.0
1951012921;8.0;8.0;0.2;89.0;14.0;2.0
1951013007;8.0;6.0;-0.8;83.0;12.0;1.0
1951013014;7.0;6.0;-2.1;79.0;10.0;6.0
1951013021;2.0;6.0;-3.1;68.0;12.0;4.0
1951013107;8.0;6.0;-5.1;80.0;12.0;5.0
1951013114;8.0;6.0;-3.9;86.0;10.0;4.0
1951013121;8.0;6.0;-3.7;80.0;10.0;4.0
1951020107;7.0;7.0;-3.2;80.0;12.0;2.0
1951020114;8.0;7.0;-2.0;81.0;12.0;2.0
1951020121;8.0;7.0;-1.5;88.0;8.0;3.0
1951020207;8.0;6.0;-2.0;89.0;12.0;3.0
1951020214;0.0;7.0;-2.5;79.0;12.0;4.0
1951020221;1.0;8.0;-1.6;78.0;12.0;5.0
1951020307;8.0;8.0;-4.3;78.0;12.0;6.0
1951020314;8.0;7.0;-5.0;81.0;10.0;6.0
1951020321;8.0;7.0;-3.2;77.0;10.0;5.0
1951020407;8.0;7.0;-3.5;82.0;10.0;4.0
1951020414;8.0;7.0;-2.9;86.0;12.0;5.0
1951020421;8.0;7.0;0.2;86.0;12.0;6.0
1951020507;6.0;7.0;-1.5;85.0;12.0;7.0
1951020514;8.0;7.0;-0.6;89.0;12.0;6.0
1951020521;8.0;7.0;0.0;94.0;12.0;4.0
1951020607;8.0;4.0;-0.1;99.0;20.0;2.0
1951020614;8.0;5.0;0.9;92.0;16.0;2.0
1951020621;2.0;5.0;0.7;96.0;16.0;3.0
1951020707;8.0;6.0;1.1;93.0;16.0;1.0
1951020714;6.0;6.0;2.3;89.0;16.0;1.0
1951020721;6.0;5.0;2.8;85.0;16.0;2.0
1951020807;6.0;5.0;1.6;94.0;16.0;3.0
1951020814;5.0;6.0;2.6;89.0;16.0;3.0
1951020821;8.0;5.0;1.6;95.0;14.0;5.0
1951020907;7.0;6.0;2.3;85.0;16.0;4.0
1951020914;7.0;6.0;5.3;80.0;16.0;5.0
1951020921;3.0;7.0;4.5;87.0;20.0;5.0
1951021007;8.0;3.0;0.5;100.0;12.0;3.0
1951021014;8.0;3.0;0.1;100.0;12.0;4.0
1951021021;8.0;5.0;1.8;94.0;12.0;2.0
1951021107;8.0;3.0;0.6;100.0;20.0;3.0
1951021114;8.0;8.0;0.8;93.0;16.0;1.0
1951021121;8.0;0.0;0.3;100.0;12.0;3.0
1951021207;8.0;1.0;0.6;100.0;8.0;2.0
1951021214;8.0;5.0;1.1;99.0;18.0;1.0
1951021221;8.0;1.0;0.6;100.0;22.0;3.0
1951021307;8.0;6.0;0.6;96.0;22.0;2.0
1951021314;8.0;7.0;1.0;86.0;0.0;0.0
1951021321;8.0;8.0;0.4;92.0;16.0;1.0
1951021407;8.0;7.0;1.1;81.0;6.0;6.0
1951021414;8.0;8.0;0.9;84.0;8.0;7.0
1951021421;8.0;6.0;0.3;94.0;8.0;7.0
1951021507;8.0;4.0;-0.4;99.0;8.0;7.0
1951021514;8.0;4.0;-0.6;99.0;8.0;6.0
1951021521;8.0;4.0;-1.0;99.0;8.0;6.0
1951021607;8.0;6.0;-1.4;97.0;10.0;3.0
1951021614;8.0;6.0;-0.8;95.0;8.0;3.0
1951021621;8.0;6.0;-0.8;95.0;10.0;3.0
1951021707;8.0;5.0;-1.2;98.0;12.0;4.0
1951021714;8.0;4.0;0.3;98.0;14.0;4.0
1951021721;8.0;6.0;2.6;87.0;14.0;5.0
1951021807;7.0;8.0;1.4;89.0;22.0;6.0
1951021814;8.0;8.0;2.0;85.0;22.0;7.0
1951021821;7.0;8.0;1.2;91.0;20.0;6.0
1951021907;8.0;8.0;1.2;89.0;20.0;5.0
1951021914;2.0;8.0;3.2;87.0;18.0;6.0
1951021921;8.0;8.0;2.5;82.0;18.0;4.0
1951022007;7.0;6.0;1.1;97.0;20.0;4.0
1951022014;5.0;7.0;3.2;87.0;20.0;4.0
1951022021;0.0;7.0;1.8;88.0;14.0;2.0
1951022107;8.0;7.0;1.6;93.0;14.0;5.0
1951022114;7.0;7.0;3.8;90.0;16.0;5.0
1951022121;8.0;8.0;1.8;97.0;20.0;4.0
1951022207;3.0;7.0;1.1;89.0;18.0;4.0
1951022214;8.0;7.0;4.6;84.0;20.0;5.0
1951022221;7.0;7.0;2.1;88.0;20.0;4.0
1951022307;0.0;7.0;-0.3;94.0;18.0;3.0
1951022314;8.0;6.0;1.8;94.0;18.0;2.0
1951022321;8.0;6.0;1.2;96.0;18.0;2.0
1951022407;8.0;7.0;1.8;94.0;22.0;5.0
1951022414;8.0;7.0;2.4;92.0;22.0;6.0
1951022421;0.0;7.0;0.0;96.0;22.0;2.0
1951022507;8.0;7.0;0.6;94.0;0.0;0.0
1951022514;8.0;0.0;0.0;100.0;8.0;3.0
1951022521;8.0;7.0;0.8;87.0;8.0;3.0
1951022607;8.0;7.0;0.8;84.0;0.0;0.0
1951022614;8.0;8.0;1.3;87.0;6.0;2.0
1951022621;8.0;7.0;0.6;92.0;6.0;3.0
1951022707;8.0;6.0;0.6;90.0;4.0;3.0
1951022714;8.0;8.0;0.9;77.0;4.0;6.0
1951022721;8.0;8.0;0.6;70.0;4.0;5.0
1951022807;8.0;8.0;-1.6;71.0;2.0;5.0
1951022814;7.0;8.0;-0.3;74.0;30.0;6.0
1951022821;6.0;8.0;-0.4;80.0;32.0;4.0
1951030107;8.0;8.0;-1.4;80.0;32.0;4.0
1951030114;7.0;8.0;-0.4;88.0;2.0;4.0
1951030121;8.0;7.0;0.3;92.0;4.0;4.0
1951030207;8.0;8.0;-0.6;75.0;8.0;5.0
1951030214;3.0;7.0;-0.2;85.0;12.0;6.0
1951030221;3.0;8.0;0.6;75.0;10.0;5.0
1951030307;7.0;8.0;-0.6;89.0;8.0;6.0
1951030314;4.0;8.0;0.6;78.0;8.0;6.0
1951030321;0.0;8.0;-0.5;90.0;8.0;5.0
1951030407;8.0;8.0;-1.2;87.0;10.0;3.0
1951030414;8.0;8.0;-0.6;82.0;4.0;2.0
1951030421;8.0;8.0;-0.9;89.0;8.0;2.0
1951030507;8.0;8.0;-1.1;83.0;6.0;3.0
