MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1946010107;8.0;8.0;-2.0;72.0;2.0;3.0
1946010114;8.0;8.0;-1.8;72.0;6.0;4.0
1946010121;3.0;8.0;-3.6;77.0;0.0;0.0
1946010207;8.0;8.0;-1.0;88.0;2.0;4.0
1946010214;2.0;8.0;-0.7;78.0;32.0;3.0
1946010221;0.0;8.0;-2.5;92.0;2.0;2.0
1946010307;8.0;8.0;-2.2;88.0;24.0;1.0
1946010314;7.0;8.0;-1.7;85.0;18.0;2.0
1946010321;0.0;7.0;-4.1;92.0;14.0;3.0
1946010407;8.0;6.0;-4.0;91.0;18.0;4.0
1946010414;8.0;6.0;-0.9;74.0;18.0;5.0
1946010421;8.0;6.0;-0.3;66.0;18.0;6.0
1946010507;8.0;7.0;0.6;83.0;20.0;6.0
1946010514;8.0;6.0;1.7;93.0;20.0;5.0
1946010521;8.0;5.0;2.4;97.0;20.0;4.0
1946010607;8.0;4.0;1.8;98.0;18.0;5.0
1946010614;8.0;3.0;2.0;97.0;18.0;4.0
1946010621;8.0;2.0;2.6;97.0;18.0;4.0
1946010707;8.0;3.0;1.6;100.0;20.0;4.0
1946010714;8.0;6.0;2.5;89.0;18.0;3.0
1946010721;8.0;6.0;2.0;88.0;16.0;2.0
1946010807;4.0;6.0;-2.0;90.0;16.0;3.0
1946010814;7.0;5.0;-1.2;88.0;18.0;4.0
1946010821;2.0;6.0;-1.8;94.0;18.0;3.0
1946010907;8.0;6.0;1.6;87.0;18.0;4.0
1946010914;7.0;6.0;4.6;83.0;16.0;5.0
1946010921;5.0;7.0;4.1;76.0;14.0;5.0
1946011007;8.0;7.0;6.8;93.0;18.0;6.0
1946011014;8.0;6.0;6.4;84.0;26.0;6.0
1946011021;2.0;7.0;5.1;90.0;20.0;5.0
1946011107;8.0;3.0;7.2;97.0;18.0;5.0
1946011114;8.0;6.0;9.4;96.0;20.0;5.0
1946011121;8.0;6.0;9.7;96.0;20.0;7.0
1946011207;7.0;7.0;6.4;94.0;20.0;5.0
1946011214;7.0;6.0;6.8;84.0;20.0;5.0
1946011221;5.0;7.0;4.6;63.0;26.0;6.0
1946011307;7.0;7.0;0.4;82.0;30.0;6.0
1946011314;7.0;9.0;-1.3;79.0;32.0;5.0
1946011321;4.0;8.0;-2.2;77.0;32.0;6.0
1946011407;1.0;8.0;-2.0;90.0;32.0;4.0
1946011414;3.0;8.0;-0.6;89.0;32.0;3.0
1946011421;2.0;8.0;-0.6;92.0;2.0;3.0
1946011507;1.0;8.0;-2.0;92.0;32.0;1.0
1946011514;8.0;8.0;-1.6;95.0;2.0;2.0
