MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1948010107;8.0;7.0;-0.8;89.0;6.0;1.0
1948010114;8.0;7.0;-0.7;94.0;10.0;3.0
1948010121;8.0;7.0;0.7;91.0;10.0;7.0
1948010207;8.0;3.0;1.3;98.0;14.0;3.0
1948010214;6.0;5.0;4.0;97.0;20.0;3.0
1948010221;8.0;7.0;5.0;97.0;20.0;3.0
1948010307;8.0;6.0;7.3;99.0;18.0;4.0
1948010314;8.0;6.0;6.5;90.0;20.0;3.0
1948010321;8.0;7.0;5.2;97.0;18.0;2.0
1948010407;8.0;6.0;5.8;99.0;12.0;3.0
1948010414;8.0;7.0;9.0;95.0;18.0;4.0
1948010421;8.0;6.0;7.4;90.0;20.0;2.0
1948010507;8.0;6.0;7.3;99.0;14.0;3.0
1948010514;8.0;7.0;7.3;97.0;16.0;3.0
1948010521;8.0;8.0;6.4;94.0;18.0;7.0
1948010607;5.0;8.0;3.3;83.0;20.0;7.0
1948010614;3.0;8.0;4.2;85.0;20.0;6.0
1948010621;0.0;8.0;2.5;89.0;18.0;2.0
1948010707;8.0;7.0;1.2;93.0;12.0;1.0
1948010714;8.0;5.0;1.2;98.0;8.0;6.0
1948010721;8.0;6.0;3.0;97.0;8.0;5.0
1948010807;8.0;7.0;1.2;97.0;16.0;4.0
1948010814;8.0;6.0;4.4;94.0;18.0;4.0
1948010821;8.0;8.0;3.5;92.0;14.0;1.0
1948010907;8.0;8.0;-1.6;92.0;28.0;6.0
1948010914;6.0;8.0;0.2;93.0;14.0;1.0
1948010921;8.0;5.0;1.2;95.0;16.0;1.0
1948011007;8.0;7.0;2.4;94.0;8.0;4.0
1948011014;8.0;7.0;1.8;87.0;28.0;6.0
1948011021;8.0;8.0;-1.0;63.0;24.0;6.0
1948011107;8.0;8.0;-4.0;78.0;32.0;3.0
1948011114;7.0;8.0;-1.5;79.0;8.0;5.0
1948011121;8.0;8.0;0.7;83.0;10.0;8.0
1948011207;8.0;6.0;-0.6;96.0;12.0;7.0
1948011214;8.0;7.0;3.5;92.0;18.0;4.0
1948011221;0.0;8.0;3.0;94.0;16.0;4.0
1948011307;8.0;7.0;4.4;97.0;18.0;4.0
1948011314;8.0;7.0;5.8;89.0;18.0;4.0
1948011321;8.0;7.0;3.8;97.0;18.0;1.0
1948011407;4.0;8.0;3.0;90.0;18.0;4.0
1948011414;6.0;8.0;4.8;85.0;22.0;5.0
1948011421;0.0;8.0;2.2;87.0;20.0;1.0
1948011507;2.0;8.0;-0.8;59.0;32.0;3.0
1948011514;5.0;8.0;-0.4;53.0;8.0;4.0
1948011521;0.0;8.0;-1.0;85.0;8.0;4.0
1948011607;4.0;8.0;-0.7;62.0;8.0;5.0
1948011614;6.0;8.0;0.8;83.0;8.0;5.0
1948011621;8.0;8.0;-0.7;65.0;10.0;3.0
1948011707;8.0;8.0;-0.7;91.0;14.0;2.0
1948011714;8.0;8.0;0.9;84.0;14.0;4.0
1948011721;5.0;8.0;0.3;91.0;14.0;5.0
1948011807;8.0;6.0;0.6;98.0;14.0;7.0
1948011814;3.0;8.0;2.2;93.0;16.0;3.0
1948011821;0.0;8.0;1.8;87.0;16.0;5.0
1948011907;6.0;8.0;1.2;86.0;16.0;4.0
1948011914;6.0;8.0;2.1;85.0;12.0;2.0
1948011921;6.0;8.0;1.4;90.0;12.0;1.0
1948012007;2.0;6.0;1.0;93.0;8.0;1.0
1948012014;8.0;5.0;1.4;93.0;6.0;1.0
1948012021;8.0;5.0;0.8;96.0;8.0;4.0
1948012107;8.0;5.0;-0.5;94.0;16.0;2.0
1948012114;8.0;5.0;0.2;95.0;16.0;1.0
1948012121;8.0;5.0;-0.3;95.0;16.0;1.0
1948012207;8.0;8.0;-1.3;83.0;16.0;1.0
1948012214;5.0;8.0;-0.4;75.0;12.0;3.0
1948012221;8.0;8.0;-0.3;95.0;8.0;4.0
1948012307;8.0;6.0;-0.5;93.0;6.0;1.0
1948012314;8.0;6.0;-0.7;98.0;8.0;1.0
1948012321;8.0;6.0;-0.2;89.0;10.0;1.0
1948012407;8.0;7.0;0.2;88.0;8.0;1.0
1948012414;8.0;6.0;0.9;88.0;8.0;3.0
1948012421;8.0;6.0;0.5;95.0;6.0;5.0
1948012507;8.0;8.0;1.8;87.0;6.0;5.0
1948012514;8.0;7.0;1.4;93.0;8.0;5.0
1948012521;8.0;6.0;1.3;95.0;8.0;4.0
1948012607;8.0;1.0;0.9;98.0;8.0;4.0
1948012614;8.0;2.0;0.4;100.0;14.0;2.0
1948012621;8.0;1.0;1.4;97.0;8.0;3.0
1948012707;8.0;1.0;0.1;98.0;16.0;1.0
1948012714;8.0;2.0;1.0;98.0;8.0;1.0
1948012721;8.0;1.0;0.4;100.0;8.0;2.0
1948012807;8.0;1.0;0.4;100.0;8.0;2.0
1948012814;7.0;6.0;2.5;95.0;8.0;2.0
1948012821;8.0;3.0;2.7;97.0;16.0;2.0
1948012907;6.0;7.0;1.2;97.0;12.0;3.0
1948012914;8.0;7.0;3.6;94.0;16.0;4.0
1948012921;8.0;7.0;3.3;95.0;16.0;1.0
1948013007;8.0;6.0;2.6;94.0;12.0;3.0
1948013014;8.0;6.0;5.7;93.0;16.0;3.0
1948013021;8.0;6.0;4.7;96.0;12.0;4.0
1948013107;6.0;8.0;7.0;91.0;20.0;5.0
1948013114;4.0;8.0;8.6;80.0;16.0;5.0
1948013121;0.0;8.0;6.0;89.0;16.0;5.0
1948020107;8.0;8.0;6.4;89.0;16.0;4.0
1948020114;8.0;8.0;6.4;89.0;18.0;4.0
1948020121;8.0;7.0;5.0;94.0;18.0;4.0
1948020207;8.0;7.0;4.8;96.0;14.0;2.0
1948020214;8.0;7.0;6.4;89.0;14.0;4.0
1948020221;6.0;8.0;8.4;90.0;16.0;5.0
1948020307;8.0;7.0;7.2;97.0;16.0;4.0
1948020314;8.0;8.0;7.4;82.0;20.0;6.0
1948020321;8.0;8.0;5.0;88.0;24.0;2.0
1948020407;6.0;8.0;4.8;88.0;24.0;6.0
1948020414;6.0;8.0;5.2;89.0;26.0;3.0
1948020421;8.0;7.0;4.4;91.0;24.0;4.0
1948020507;7.0;7.0;4.2;93.0;20.0;5.0
1948020514;2.0;8.0;5.8;83.0;24.0;5.0
1948020521;3.0;8.0;3.6;91.0;24.0;3.0
1948020607;8.0;7.0;3.6;97.0;16.0;4.0
1948020614;8.0;7.0;3.8;94.0;16.0;4.0
