MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1977110107;2.0;4.0;9.2;95.0;20.0;2.0
1977110114;5.0;7.0;10.8;77.0;24.0;1.0
1977110121;0.0;6.0;5.4;94.0;20.0;1.0
1977110207;1.0;6.0;3.8;94.0;16.0;2.0
1977110214;5.0;7.0;9.8;73.0;12.0;3.0
1977110221;8.0;6.0;7.5;93.0;12.0;4.0
1977110307;7.0;5.0;8.4;98.0;0.0;0.0
1977110314;2.0;6.0;12.0;80.0;20.0;2.0
1977110321;0.0;7.0;8.6;87.0;20.0;3.0
1977110407;5.0;7.0;8.0;85.0;20.0;3.0
1977110414;5.0;7.0;8.0;91.0;20.0;5.0
1977110421;8.0;6.0;5.2;96.0;24.0;2.0
1977110507;5.0;7.0;4.0;97.0;20.0;4.0
1977110514;7.0;7.0;9.0;91.0;20.0;5.0
1977110521;8.0;6.0;9.0;96.0;20.0;2.0
1977110607;6.0;6.0;8.4;87.0;12.0;3.0
1977110614;6.0;7.0;10.7;94.0;20.0;3.0
1977110621;0.0;7.0;8.0;95.0;20.0;2.0
1977110707;6.0;6.0;6.8;97.0;16.0;1.0
1977110714;8.0;6.0;12.3;86.0;20.0;2.0
1977110721;1.0;6.0;10.4;77.0;20.0;3.0
1977110807;7.0;7.0;11.0;78.0;20.0;5.0
1977110814;8.0;7.0;11.6;77.0;20.0;3.0
1977110821;0.0;6.0;8.5;94.0;20.0;2.0
1977110907;3.0;6.0;9.0;88.0;20.0;3.0
1977110914;8.0;6.0;8.1;94.0;24.0;3.0
1977110921;4.0;6.0;7.5;99.0;24.0;1.0
1977111007;8.0;7.0;9.6;89.0;24.0;2.0
1977111014;8.0;6.0;13.0;95.0;24.0;3.0
1977111021;0.0;6.0;12.3;94.0;24.0;2.0
1977111107;5.0;7.0;11.9;88.0;20.0;3.0
1977111114;8.0;6.0;13.4;87.0;20.0;3.0
1977111121;2.0;6.0;12.2;82.0;20.0;5.0
1977111207;4.0;6.0;11.0;65.0;20.0;7.0
1977111214;6.0;6.0;7.0;81.0;20.0;6.0
1977111221;8.0;6.0;5.7;85.0;20.0;3.0
1977111307;5.0;7.0;4.5;91.0;24.0;5.0
1977111314;6.0;7.0;6.0;89.0;20.0;5.0
1977111321;5.0;6.0;7.0;91.0;20.0;4.0
1977111407;8.0;6.0;3.0;94.0;20.0;7.0
1977111414;8.0;7.0;6.7;93.0;20.0;3.0
1977111421;8.0;7.0;7.4;92.0;20.0;6.0
1977111507;7.0;7.0;5.7;90.0;24.0;5.0
1977111514;8.0;7.0;6.1;93.0;20.0;3.0
1977111521;5.0;6.0;4.2;94.0;24.0;4.0
1977111607;7.0;6.0;5.1;96.0;24.0;3.0
1977111614;7.0;7.0;6.1;93.0;24.0;1.0
1977111621;6.0;6.0;4.1;97.0;24.0;1.0
1977111707;4.0;6.0;3.8;95.0;0.0;0.0
1977111714;6.0;7.0;5.9;85.0;20.0;1.0
1977111721;5.0;6.0;5.5;68.0;28.0;2.0
1977111807;5.0;6.0;0.6;96.0;0.0;0.0
1977111814;5.0;3.0;3.2;94.0;24.0;2.0
1977111821;4.0;6.0;3.0;92.0;0.0;0.0
1977111907;7.0;6.0;4.0;92.0;24.0;3.0
1977111914;8.0;6.0;4.9;93.0;24.0;3.0
1977111921;8.0;6.0;5.6;93.0;20.0;4.0
1977112007;8.0;6.0;6.6;79.0;20.0;6.0
1977112014;8.0;7.0;5.8;78.0;20.0;6.0
1977112021;8.0;6.0;5.6;82.0;20.0;4.0
1977112107;1.0;6.0;1.2;90.0;0.0;0.0
1977112114;8.0;7.0;3.8;79.0;12.0;2.0
1977112121;8.0;6.0;2.8;94.0;12.0;2.0
1977112207;8.0;6.0;1.4;97.0;20.0;2.0
1977112214;6.0;7.0;2.6;75.0;28.0;3.0
1977112221;8.0;6.0;1.9;85.0;24.0;3.0
1977112307;3.0;6.0;3.2;83.0;20.0;2.0
1977112314;5.0;7.0;5.7;85.0;20.0;4.0
1977112321;8.0;6.0;6.4;86.0;20.0;5.0
1977112407;6.0;6.0;5.0;88.0;28.0;4.0
1977112414;7.0;7.0;4.4;91.0;20.0;4.0
1977112421;2.0;6.0;2.9;94.0;20.0;3.0
1977112507;7.0;6.0;4.0;84.0;28.0;4.0
1977112514;8.0;6.0;5.1;86.0;28.0;5.0
1977112521;8.0;6.0;3.7;79.0;28.0;5.0
1977112607;8.0;6.0;3.4;82.0;28.0;7.0
1977112614;7.0;7.0;2.7;79.0;32.0;6.0
1977112621;8.0;7.0;2.1;77.0;28.0;6.0
1977112707;6.0;7.0;0.4;79.0;4.0;7.0
1977112714;6.0;7.0;0.6;54.0;4.0;5.0
1977112721;2.0;7.0;-0.1;59.0;4.0;4.0
1977112807;4.0;7.0;1.2;60.0;4.0;5.0
1977112814;7.0;7.0;2.9;73.0;4.0;3.0
1977112821;6.0;7.0;0.2;79.0;28.0;2.0
1977112907;8.0;6.0;1.1;95.0;20.0;3.0
1977112914;8.0;3.0;2.4;97.0;20.0;4.0
1977112921;8.0;5.0;4.7;93.0;20.0;3.0
1977113007;8.0;5.0;5.4;94.0;0.0;0.0
1977113014;8.0;6.0;4.2;88.0;32.0;2.0
1977113021;2.0;6.0;3.9;86.0;4.0;2.0
1977120107;7.0;7.0;3.5;88.0;4.0;4.0
1977120114;5.0;7.0;4.2;84.0;4.0;5.0
1977120121;8.0;7.0;4.1;70.0;4.0;4.0
1977120207;2.0;7.0;2.5;84.0;4.0;3.0
1977120214;4.0;7.0;3.6;77.0;28.0;2.0
1977120221;8.0;7.0;4.4;81.0;28.0;3.0
1977120307;8.0;6.0;3.1;92.0;4.0;2.0
1977120314;7.0;7.0;4.7;87.0;4.0;2.0
1977120321;8.0;6.0;3.9;86.0;28.0;1.0
1977120407;8.0;7.0;2.8;87.0;4.0;2.0
1977120414;8.0;7.0;1.9;93.0;4.0;2.0
1977120421;8.0;7.0;3.3;68.0;4.0;2.0
1977120507;8.0;7.0;2.5;75.0;8.0;2.0
1977120514;8.0;7.0;2.6;73.0;8.0;3.0
1977120521;8.0;6.0;1.2;85.0;8.0;4.0
1977120607;6.0;7.0;2.0;77.0;4.0;4.0
1977120614;6.0;7.0;3.2;83.0;4.0;5.0
1977120621;8.0;6.0;0.8;97.0;4.0;5.0
1977120707;3.0;7.0;-0.1;87.0;12.0;2.0
1977120714;6.0;6.0;-0.7;96.0;8.0;3.0
1977120721;0.0;7.0;1.3;81.0;12.0;5.0
1977120807;6.0;7.0;3.2;84.0;8.0;6.0
1977120814;8.0;6.0;3.2;81.0;8.0;5.0
1977120821;0.0;6.0;2.5;82.0;8.0;4.0
1977120907;6.0;6.0;2.4;84.0;8.0;5.0
1977120914;8.0;5.0;3.0;83.0;12.0;5.0
1977120921;8.0;5.0;3.4;85.0;12.0;5.0
1977121007;8.0;6.0;2.4;87.0;8.0;5.0
1977121014;8.0;5.0;0.6;88.0;8.0;6.0
1977121021;8.0;6.0;-0.2;78.0;8.0;5.0
1977121107;4.0;5.0;-1.6;83.0;12.0;6.0
1977121114;8.0;6.0;0.5;81.0;12.0;6.0
1977121121;8.0;6.0;2.3;87.0;12.0;4.0
