year;month;day;hour;value
2004;8;1;6;4
2004;8;1;12;3
2004;8;1;18;2
2004;8;2;6;3
2004;8;2;12;2
2004;8;2;18;2
2004;8;3;6;1
2004;8;3;12;5
2004;8;3;18;5
2004;8;4;6;1
2004;8;4;12;1
2004;8;4;18;1
2004;8;5;6;1
2004;8;5;12;5
2004;8;5;18;4
2004;8;6;6;1
2004;8;6;12;0
2004;8;6;18;6
2004;8;7;6;0
2004;8;7;12;3
2004;8;7;18;0
2004;8;8;6;0
2004;8;8;12;3
2004;8;8;18;0
2004;8;9;6;0
2004;8;9;12;0
2004;8;9;18;0
2004;8;10;6;0
2004;8;10;12;1
2004;8;10;18;0
2004;8;11;6;1
2004;8;11;12;2
2004;8;11;18;3
2004;8;12;6;3
2004;8;12;12;3
2004;8;12;18;5
2004;8;13;6;6
2004;8;13;12;4
2004;8;13;18;5
2004;8;14;6;5
2004;8;14;12;4
2004;8;14;18;3
2004;8;15;6;0
2004;8;15;12;4
2004;8;15;18;4
2004;8;16;6;5
2004;8;16;12;5
2004;8;16;18;6
2004;8;17;6;1
2004;8;17;12;4
2004;8;17;18;4
2004;8;18;6;5
2004;8;18;12;6
2004;8;18;18;1
2004;8;19;6;5
2004;8;19;12;3
2004;8;19;18;3
2004;8;20;6;4
2004;8;20;12;6
2004;8;20;18;6
2004;8;21;6;2
2004;8;21;12;5
2004;8;21;18;4
2004;8;22;6;2
2004;8;22;12;2
2004;8;22;18;1
2004;8;23;6;1
2004;8;23;12;2
2004;8;23;18;6
2004;8;24;6;5
2004;8;24;12;5
2004;8;24;18;6
2004;8;25;6;6
2004;8;25;12;4
2004;8;25;18;3
2004;8;26;6;6
2004;8;26;12;3
2004;8;26;18;3
2004;8;27;6;3
2004;8;27;12;7
2004;8;27;18;6
2004;8;28;6;3
2004;8;28;12;4
2004;8;28;18;3
2004;8;29;6;4
2004;8;29;12;4
2004;8;29;18;2
2004;8;30;6;6
2004;8;30;12;8
2004;8;30;18;3
2004;8;31;6;6
2004;8;31;12;4
2004;8;31;18;5
2004;9;1;6;4
2004;9;1;12;3
2004;9;1;18;4
2004;9;2;6;1
2004;9;2;12;1
2004;9;2;18;1
2004;9;3;6;1
2004;9;3;12;1
2004;9;3;18;1
2004;9;4;6;2
2004;9;4;12;1
2004;9;4;18;1
2004;9;5;6;2
2004;9;5;12;1
2004;9;5;18;1
2004;9;6;6;1
2004;9;6;12;1
2004;9;6;18;1
2004;9;7;6;1
2004;9;7;12;2
2004;9;7;18;1
2004;9;8;6;3
2004;9;8;12;3
2004;9;8;18;1
2004;9;9;6;1
2004;9;9;12;1
2004;9;9;18;1
2004;9;10;6;1
2004;9;10;12;2
2004;9;10;18;3
2004;9;11;6;2
2004;9;11;12;6
2004;9;11;18;6
2004;9;12;6;6
2004;9;12;12;4
2004;9;12;18;4
2004;9;13;6;5
2004;9;13;12;7
2004;9;13;18;5
2004;9;14;6;2
2004;9;14;12;3
2004;9;14;18;1
2004;9;15;6;2
2004;9;15;12;3
2004;9;15;18;3
2004;9;16;6;1
2004;9;16;12;3
2004;9;16;18;4
2004;9;17;6;1
2004;9;17;12;1
2004;9;17;18;1
2004;9;18;6;1
2004;9;18;12;2
2004;9;18;18;1
2004;9;19;6;1
2004;9;19;12;6
2004;9;19;18;6
2004;9;20;6;5
2004;9;20;12;4
2004;9;20;18;6
2004;9;21;6;3
2004;9;21;12;3
2004;9;21;18;3
2004;9;22;6;5
2004;9;22;12;2
2004;9;22;18;1
2004;9;23;6;3
2004;9;23;12;3
2004;9;23;18;1
2004;9;24;6;6
2004;9;24;12;7
2004;9;24;18;3
2004;9;25;6;1
