year;month;day;hour;value
1946;1;1;7;1
1946;1;1;14;2
1946;1;1;21;8
1946;1;2;7;6
1946;1;2;14;6
1946;1;2;21;8
1946;1;3;7;1
1946;1;3;14;2
1946;1;3;21;0
1946;1;4;7;0
1946;1;4;14;1
1946;1;4;21;0
1946;1;5;7;1
1946;1;5;14;4
1946;1;5;21;0
1946;1;6;7;4
1946;1;6;14;0
1946;1;6;21;0
1946;1;7;7;0
1946;1;7;14;0
1946;1;7;21;0
1946;1;8;7;0
1946;1;8;14;0
1946;1;8;21;0
1946;1;9;7;0
1946;1;9;14;2
1946;1;9;21;0
1946;1;10;7;3
1946;1;10;14;6
1946;1;10;21;8
1946;1;11;7;2
1946;1;11;14;4
1946;1;11;21;0
1946;1;12;7;4
1946;1;12;14;5
1946;1;12;21;2
1946;1;13;7;6
1946;1;13;14;8
1946;1;13;21;8
1946;1;14;7;8
1946;1;14;14;8
1946;1;14;21;8
1946;1;15;7;8
1946;1;15;14;8
1946;1;15;21;6
1946;1;16;7;7
1946;1;16;14;5
1946;1;16;21;6
1946;1;17;7;6
1946;1;17;14;2
1946;1;17;21;6
1946;1;18;7;6
1946;1;18;14;4
1946;1;18;21;6
1946;1;19;7;6
1946;1;19;14;7
1946;1;19;21;8
1946;1;20;7;6
1946;1;20;14;8
1946;1;20;21;7
1946;1;21;7;8
1946;1;21;14;8
1946;1;21;21;8
1946;1;22;7;8
1946;1;22;14;6
1946;1;22;21;8
1946;1;23;7;7
1946;1;23;14;6
1946;1;23;21;8
1946;1;24;7;6
1946;1;24;14;0
1946;1;24;21;0
1946;1;25;7;8
1946;1;25;14;8
1946;1;25;21;4
1946;1;26;7;8
1946;1;26;14;0
1946;1;26;21;0
1946;1;27;7;8
1946;1;27;14;2
1946;1;27;21;0
1946;1;28;7;8
1946;1;28;14;8
1946;1;28;21;8
1946;1;29;7;8
1946;1;29;14;8
1946;1;29;21;8
1946;1;30;7;8
1946;1;30;14;8
1946;1;30;21;8
1946;1;31;7;7
1946;1;31;14;8
1946;1;31;21;8
1946;2;1;7;2
1946;2;1;14;4
1946;2;1;21;0
1946;2;2;7;2
1946;2;2;14;6
1946;2;2;21;0
1946;2;3;7;2
1946;2;3;14;2
1946;2;3;21;8
1946;2;4;7;7
1946;2;4;14;6
1946;2;4;21;8
1946;2;5;7;7
1946;2;5;14;5
1946;2;5;21;8
1946;2;6;7;8
1946;2;6;14;6
1946;2;6;21;8
1946;2;7;7;8
1946;2;7;14;8
1946;2;7;21;8
1946;2;8;7;7
1946;2;8;14;6
1946;2;8;21;3
1946;2;9;7;7
1946;2;9;14;8
1946;2;9;21;8
1946;2;10;7;8
1946;2;10;14;4
1946;2;10;21;2
1946;2;11;7;8
1946;2;11;14;7
1946;2;11;21;7
1946;2;12;7;8
1946;2;12;14;8
1946;2;12;21;6
1946;2;13;7;4
1946;2;13;14;5
1946;2;13;21;6
1946;2;14;7;6
1946;2;14;14;7
1946;2;14;21;8
1946;2;15;7;8
1946;2;15;14;8
1946;2;15;21;8
1946;2;16;7;8
1946;2;16;14;6
1946;2;16;21;7
1946;2;17;7;8
1946;2;17;14;8
1946;2;17;21;8
1946;2;18;7;8
1946;2;18;14;8
1946;2;18;21;8
1946;2;19;7;8
1946;2;19;14;8
1946;2;19;21;8
1946;2;20;7;7
1946;2;20;14;8
