datetime,Arkona,Boltenhagen,Cuxhaven,Emden,Fehmarn,Konstanz,Ueckermünde
2012010100,8,8,8,8,8,7,8
2012010106,8,8,8,8,8,6,8
2012010112,8,7,7,8,8,8,7
2012010118,8,8,8,7,7,6,7
2012010200,7,8,7,7,7,7,8
2012010206,8,8,8,7,8,8,8
2012010212,8,8,7,7,7,8,8
2012010218,2,7,6,4,2,8,8
2012010300,6,8,7,7,6,7,6
2012010306,1,8,8,8,0,7,0
2012010312,8,8,8,8,8,3,7
2012010318,8,8,3,5,8,7,8
2012010400,6,7,7,6,6,6,5
2012010406,2,7,7,6,5,8,4
2012010412,7,3,7,2,5,5,6
2012010418,7,8,8,7,7,5,4
2012010500,7,7,5,6,7,7,6
2012010506,8,8,1,6,8,8,7
2012010512,6,7,7,6,6,8,7
2012010518,8,8,4,7,7,8,8
2012010600,6,7,4,5,5,7,6
2012010606,7,7,2,5,7,5,8
2012010612,1,4,3,2,1,8,8
2012010618,7,7,6,4,5,7,0
2012010700,7,7,5,6,6,7,7
2012010706,8,8,8,7,8,7,7
2012010712,8,7,7,7,8,8,8
2012010718,7,8,4,6,7,8,8
2012010800,8,8,7,7,7,8,7
2012010806,8,8,7,7,7,8,8
2012010812,8,7,7,7,8,7,8
2012010818,8,8,7,7,7,8,8
2012010900,8,8,7,7,7,8,8
2012010906,7,7,8,7,7,8,8
2012010912,8,8,8,8,8,8,8
2012010918,7,8,8,7,8,8,8
2012011000,7,5,6,7,6,6,8
2012011006,7,1,2,4,0,8,8
2012011012,7,0,4,7,5,7,7
2012011018,8,8,8,8,7,0,8
2012011100,6,6,7,7,5,7,8
2012011106,8,8,8,8,8,8,8
2012011112,6,7,8,8,7,8,8
2012011118,0,8,7,7,0,8,7
2012011200,6,7,8,6,6,6,7
2012011206,8,8,8,8,8,8,8
2012011212,8,7,8,7,8,8,8
2012011218,7,3,7,1,5,0,6
2012011300,4,5,6,6,4,5,6
2012011306,7,7,5,7,3,8,7
2012011312,1,7,6,7,2,3,7
2012011318,0,0,5,5,0,3,0
2012011400,2,4,5,6,2,3,5
2012011406,1,0,2,3,0,7,6
2012011412,1,1,5,7,2,2,2
2012011418,0,8,5,8,2,0,7
2012011500,3,4,3,3,3,1,5
2012011506,2,2,2,0,1,0,7
2012011512,6,1,1,0,3,0,7
2012011518,8,8,2,2,7,0,5
2012011600,6,6,5,5,6,0,7
2012011606,8,8,8,8,7,0,8
2012011612,7,7,8,8,8,1,7
2012011618,8,7,8,8,8,0,8
2012011700,8,8,6,7,6,1,8
2012011706,8,8,4,6,8,0,8
2012011712,8,8,7,8,7,4,8
2012011718,8,8,3,8,1,2,8
2012011800,8,7,5,8,7,3,6
2012011806,8,0,0,8,7,8,8
2012011812,7,8,8,8,8,4,0
2012011818,8,8,8,7,8,3,7
2012011900,8,7,6,8,7,6,7
2012011906,8,8,8,8,8,8,7
2012011912,8,8,8,8,8,8,8
2012011918,8,8,3,7,7,7,8
2012012000,7,7,5,7,7,7,7
2012012006,6,8,8,7,7,8,8
2012012012,4,8,3,5,6,4,7
2012012018,7,1,2,7,5,8,7
2012012100,7,7,5,7,7,7,7
2012012106,8,8,8,7,8,8,8
2012012112,8,7,8,8,8,8,8
2012012118,6,7,2,7,8,8,7
2012012200,7,7,6,7,8,7,7
2012012206,8,8,6,8,8,8,7
2012012212,7,8,8,7,7,6,8
2012012218,8,8,7,8,8,7,5
2012012300,6,7,7,7,5,8,6
2012012306,4,8,8,3,1,8,7
2012012312,6,4,6,7,4,8,5
2012012318,6,8,7,8,2,8,7
2012012400,5,3,7,7,2,7,4
2012012406,6,0,7,7,0,3,0
2012012412,3,0,7,7,1,6,0
2012012418,2,0,8,6,0,7,8
2012012500,6,3,7,7,1,6,3
2012012506,7,7,8,8,0,8,1
2012012512,7,0,8,8,3,4,8
2012012518,8,8,7,8,0,4,0
2012012600,7,2,6,8,2,7,4
2012012606,7,0,8,8,0,8,0
2012012612,7,0,1,8,5,8,8
2012012618,6,0,7,7,3,8,7
2012012700,7,5,7,7,5,8,6
2012012706,8,7,8,8,8,8,8
2012012712,7,8,8,7,8,8,8
2012012718,8,8,7,5,8,8,8
2012012800,7,7,8,7,7,8,7
2012012806,7,8,8,8,8,8,8
2012012812,7,8,7,8,6,7,7
2012012818,8,7,8,7,8,8,7
2012012900,6,8,8,8,8,8,5
2012012906,8,8,8,8,8,8,8
2012012912,7,8,8,8,8,8,0
2012012918,0,8,7,8,7,8,0
2012013000,3,5,6,6,5,8,1
2012013006,2,8,6,7,2,8,0
2012013012,1,3,7,8,3,8,0
2012013018,0,0,1,0,2,8,0
2012013100,2,2,2,2,3,8,0
2012013106,1,0,1,0,2,8,0
2012013112,5,0,0,0,3,7,0
2012013118,2,2,0,0,1,8,0
2012020100,5,0,1,0,5,8,0
2012020106,6,0,0,0,6,8,0
2012020112,8,0,2,0,7,8,0
2012020118,8,0,2,0,8,8,0
2012020200,7,4,1,0,6,8,4
2012020206,8,8,0,0,8,8,3
2012020212,7,5,2,0,5,8,8
2012020218,6,7,0,0,6,8,8
2012020300,5,6,2,3,6,4,5
2012020306,7,7,7,7,8,3,7
2012020312,2,8,1,8,2,2,0
2012020318,2,3,0,0,6,0,8
2012020400,5,7,2,3,3,2,7
2012020406,7,7,1,7,1,0,8
2012020412,7,7,3,2,1,5,7
2012020418,5,8,2,0,2,1,8
2012020500,6,5,3,4,3,1,6
2012020506,8,1,1,8,1,1,7
2012020512,6,0,4,1,2,1,8
2012020518,3,8,7,8,6,1,0
2012020600,4,2,3,5,2,2,2
2012020606,0,0,2,0,4,4,0
2012020612,5,3,4,8,2,3,0
2012020618,5,0,2,8,0,1,0
2012020700,6,5,5,5,5,5,4
2012020706,8,8,6,0,8,8,8
2012020712,7,7,7,7,7,6,7
2012020718,7,8,7,7,7,8,7
2012020800,7,7,7,5,6,6,5
2012020806,7,8,8,8,3,8,6
2012020812,7,8,8,8,6,6,0
2012020818,8,8,8,0,8,3,8
2012020900,7,7,5,6,6,7,5
2012020906,7,8,8,8,6,8,7
2012020912,8,5,2,6,7,7,8
2012020918,7,4,0,7,7,7,0
2012021000,7,7,4,5,7,7,5
2012021006,7,8,7,8,7,8,0
2012021012,7,6,7,6,8,6,8
2012021018,7,8,1,0,8,8,7
2012021100,7,7,6,7,7,7,2
2012021106,8,8,8,8,3,8,0
2012021112,7,7,7,8,8,5,0
2012021118,7,8,7,8,8,8,0
2012021200,8,8,6,8,7,4,5
2012021206,8,7,8,8,8,2,8
2012021212,8,8,8,8,8,1,8
2012021218,8,8,0,8,5,1,8
2012021300,8,8,6,8,6,6,7
2012021306,8,8,8,8,1,8,8
2012021312,8,7,6,8,6,8,7
2012021318,7,8,8,8,8,8,8
2012021400,8,8,7,8,7,8,6
2012021406,7,8,8,7,8,8,0
2012021412,7,8,7,8,8,8,8
2012021418,8,8,8,7,7,8,8
2012021500,5,4,4,7,4,8,6
2012021506,3,0,0,8,1,8,0
2012021512,1,1,1,8,1,8,8
2012021518,7,0,1,3,1,8,8
2012021600,5,5,4,7,4,7,6
2012021606,1,8,1,8,2,8,8
2012021612,7,8,8,8,7,6,3
2012021618,8,7,8,8,8,3,8
