Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
891;Cuxhaven;SH_TAG;31.12.1970;31.12.1970;1;;eor;                                                                                                                                                       
891;Cuxhaven;SH_TAG;16.06.2016;26.06.2016;11;;eor;                                                                                                                                                      
891;Cuxhaven;SH_TAG;17.09.2016;30.09.2016;14;;eor;                                                                                                                                                      
891;Cuxhaven;SH_TAG;05.11.2016;06.11.2016;2;;eor;                                                                                                                                                       
891;Cuxhaven;SH_TAG;08.12.2016;11.12.2016;4;;eor;                                                                                                                                                       
891;Cuxhaven;SH_TAG;24.12.2016;26.12.2016;3;;eor;                                                                                                                                                       
891;Cuxhaven;NSH_TAG;04.03.1949;27.01.1952;1060;;eor;                                                                                                                                                   
891;Cuxhaven;NSH_TAG;30.01.1952;05.03.1952;36;;eor;                                                                                                                                                     
891;Cuxhaven;NSH_TAG;07.03.1952;25.03.1952;19;;eor;                                                                                                                                                     
891;Cuxhaven;NSH_TAG;27.03.1952;30.03.1952;4;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;01.04.1952;24.11.1952;238;;eor;                                                                                                                                                    
891;Cuxhaven;NSH_TAG;26.11.1952;08.01.1953;44;;eor;                                                                                                                                                     
891;Cuxhaven;NSH_TAG;10.01.1953;02.02.1953;24;;eor;                                                                                                                                                     
891;Cuxhaven;NSH_TAG;04.02.1953;09.02.1953;6;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;11.02.1953;12.02.1953;2;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;15.02.1953;30.01.1954;350;;eor;                                                                                                                                                    
891;Cuxhaven;NSH_TAG;02.02.1954;03.02.1954;2;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;05.02.1954;08.02.1954;4;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;10.02.1954;10.02.1954;1;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;12.02.1954;12.02.1954;1;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;14.02.1954;15.02.1954;2;;eor;                                                                                                                                                      
891;Cuxhaven;NSH_TAG;17.02.1954;28.02.1954;12;;eor;                                                                                                                                                     
891;Cuxhaven;NSH_TAG;02.03.1954;07.12.1954;281;;eor;                                                                                                                                                    
