Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
5142;Ueckermünde;RS;07.06.1890;07.05.2023;724;Gesamt_Messzeitraum;eor;                                                                                                                                  
5142;Ueckermünde;RSF;07.06.1890;07.05.2023;724;Gesamt_Messzeitraum;eor;                                                                                                                                 
5142;Ueckermünde;SH_TAG;07.06.1890;07.05.2023;7757;Gesamt_Messzeitraum;eor;                                                                                                                             
5142;Ueckermünde;NSH_TAG;07.06.1890;30.07.2004;9437;Gesamt_Messzeitraum;eor;                                                                                                                            
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5142;Ueckermünde;RS;01.01.1934;30.01.1934;30;;eor;                                                                                                                                                      
5142;Ueckermünde;RS;30.11.1944;29.09.1946;669;Kriegsjahre;eor;                                                                                                                                          
5142;Ueckermünde;RS;30.11.1992;30.11.1992;1;;eor;                                                                                                                                                       
5142;Ueckermünde;RS;31.12.1992;31.12.1992;1;;eor;                                                                                                                                                       
5142;Ueckermünde;RSF;01.01.1934;30.01.1934;30;;eor;                                                                                                                                                     
5142;Ueckermünde;RSF;30.11.1944;29.09.1946;669;Kriegsjahre;eor;                                                                                                                                         
5142;Ueckermünde;RSF;30.11.1992;30.11.1992;1;;eor;                                                                                                                                                      
5142;Ueckermünde;RSF;31.12.1992;31.12.1992;1;;eor;                                                                                                                                                      
5142;Ueckermünde;SH_TAG;10.01.1928;16.01.1928;7;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;27.01.1928;26.01.1929;366;;eor;                                                                                                                                                 
5142;Ueckermünde;SH_TAG;29.01.1929;31.01.1929;3;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;16.03.1929;02.03.1931;717;;eor;                                                                                                                                                 
5142;Ueckermünde;SH_TAG;17.03.1931;18.12.1931;277;;eor;                                                                                                                                                 
5142;Ueckermünde;SH_TAG;22.12.1931;29.12.1931;8;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;06.01.1932;08.03.1932;63;;eor;                                                                                                                                                  
5142;Ueckermünde;SH_TAG;13.03.1932;21.01.1933;315;;eor;                                                                                                                                                 
5142;Ueckermünde;SH_TAG;01.02.1933;14.02.1933;14;;eor;                                                                                                                                                  
5142;Ueckermünde;SH_TAG;06.03.1933;26.12.1933;296;;eor;                                                                                                                                                 
5142;Ueckermünde;SH_TAG;28.12.1933;28.12.1933;1;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;01.01.1934;17.12.1935;716;;eor;                                                                                                                                                 
5142;Ueckermünde;SH_TAG;13.11.1937;13.11.1937;1;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;25.11.1937;25.11.1937;1;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;11.01.1938;13.01.1938;3;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;07.01.1939;08.01.1939;2;;eor;                                                                                                                                                   
5142;Ueckermünde;SH_TAG;25.11.1939;25.11.1939;1;Kriegsjahre;eor;                                                                                                                                        
5142;Ueckermünde;SH_TAG;26.12.1939;02.03.1940;68;Kriegsjahre;eor;                                                                                                                                       
5142;Ueckermünde;SH_TAG;06.03.1940;10.03.1940;5;Kriegsjahre;eor;                                                                                                                                        
5142;Ueckermünde;SH_TAG;15.03.1940;16.03.1940;2;Kriegsjahre;eor;                                                                                                                                        
5142;Ueckermünde;SH_TAG;08.01.1941;11.01.1941;4;Kriegsjahre;eor;                                                                                                                                        
5142;Ueckermünde;SH_TAG;09.02.1941;10.02.1941;2;Kriegsjahre;eor;                                                                                                                                        
5142;Ueckermünde;SH_TAG;30.03.1941;30.03.1941;1;Kriegsjahre;eor;                                                                                                                                        
5142;Ueckermünde;SH_TAG;25.12.1941;26.12.1941;2;Kriegsjahre;eor;                                                                                                                                        
