STATIONS_ID;MESS_DATUM;QN_4;VK_TER;eor
        596;1947010107;    5;   8;eor
        596;1947010114;    5;   7;eor
        596;1947010121;    5;   7;eor
        596;1947010207;    5;   6;eor
        596;1947010214;    5;   7;eor
        596;1947010221;    5;   7;eor
        596;1947010307;    5;   7;eor
        596;1947010314;    5;   6;eor
        596;1947010321;    5;   6;eor
        596;1947010407;    5;   7;eor
        596;1947010414;    5;   8;eor
        596;1947010421;    5;   8;eor
        596;1947010507;    5;   8;eor
        596;1947010514;    5;   8;eor
        596;1947010521;    5;   8;eor
        596;1947010607;    5;   8;eor
        596;1947010614;    5;   8;eor
        596;1947010621;    5;   7;eor
        596;1947010707;    5;   5;eor
        596;1947010714;    5;   8;eor
        596;1947010721;    5;   8;eor
        596;1947010807;    5;   8;eor
        596;1947010814;    5;   7;eor
        596;1947010821;    5;   8;eor
        596;1947010907;    5;   6;eor
        596;1947010914;    5;   6;eor
        596;1947010921;    5;   5;eor
        596;1947011007;    5;   6;eor
        596;1947011014;    5;   8;eor
        596;1947011021;    5;   8;eor
        596;1947011107;    5;   6;eor
        596;1947011114;    5;   6;eor
        596;1947011121;    5;   7;eor
        596;1947011207;    5;   4;eor
        596;1947011214;    5;   6;eor
        596;1947011221;    5;   6;eor
        596;1947011307;    5;   5;eor
        596;1947011314;    5;   5;eor
        596;1947011321;    5;   7;eor
        596;1947011407;    5;   7;eor
        596;1947011414;    5;   7;eor
        596;1947011421;    5;   7;eor
        596;1947011507;    5;   6;eor
        596;1947011514;    5;   7;eor
        596;1947011521;    5;   7;eor
        596;1947011607;    5;   6;eor
        596;1947011614;    5;   7;eor
        596;1947011621;    5;   8;eor
        596;1947011707;    5;   8;eor
        596;1947011714;    5;   7;eor
        596;1947011721;    5;   7;eor
        596;1947011807;    5;   7;eor
        596;1947011814;    5;   6;eor
        596;1947011821;    5;   7;eor
        596;1947011907;    5;   8;eor
        596;1947011914;    5;   7;eor
        596;1947011921;    5;   8;eor
        596;1947012007;    5;   7;eor
        596;1947012014;    5;   8;eor
        596;1947012021;    5;   8;eor
        596;1947012107;    5;   8;eor
