STATIONS_ID;MESS_DATUM;QN_4;VK_TER;eor
       3955;1950010107;    5;   5;eor
       3955;1950010114;    5;   6;eor
       3955;1950010121;    5;   6;eor
       3955;1950010207;    5;   2;eor
       3955;1950010214;    5;   5;eor
       3955;1950010221;    5;   6;eor
       3955;1950010307;    5;   6;eor
       3955;1950010314;    5;   6;eor
       3955;1950010321;    5;   7;eor
       3955;1950010407;    5;   6;eor
       3955;1950010414;    5;   6;eor
       3955;1950010421;    5;   6;eor
       3955;1950010507;    5;   6;eor
       3955;1950010514;    5;   6;eor
       3955;1950010521;    5;   4;eor
       3955;1950010607;    5;   3;eor
       3955;1950010614;    5;   6;eor
       3955;1950010621;    5;   5;eor
       3955;1950010707;    5;   4;eor
       3955;1950010714;    5;   5;eor
       3955;1950010721;    5;   3;eor
       3955;1950010807;    5;   3;eor
       3955;1950010814;    5;   6;eor
       3955;1950010821;    5;   6;eor
       3955;1950010907;    5;   4;eor
       3955;1950010914;    5;   2;eor
       3955;1950010921;    5;   5;eor
       3955;1950011007;    5;   6;eor
       3955;1950011014;    5;   6;eor
       3955;1950011021;    5;   4;eor
       3955;1950011107;    5;   2;eor
       3955;1950011114;    5;   5;eor
       3955;1950011121;    5;   4;eor
       3955;1950011207;    5;   5;eor
       3955;1950011214;    5;   6;eor
       3955;1950011221;    5;   5;eor
       3955;1950011307;    5;   1;eor
       3955;1950011314;    5;   6;eor
       3955;1950011321;    5;   6;eor
       3955;1950011407;    5;   4;eor
       3955;1950011414;    5;   7;eor
       3955;1950011421;    5;   6;eor
       3955;1950011507;    5;   6;eor
       3955;1950011514;    5;   6;eor
       3955;1950011521;    5;   6;eor
       3955;1950011607;    5;   6;eor
       3955;1950011614;    5;   6;eor
       3955;1950011621;    5;   6;eor
       3955;1950011707;    5;   6;eor
       3955;1950011714;    5;   5;eor
       3955;1950011721;    5;   6;eor
       3955;1950011807;    5;   6;eor
       3955;1950011814;    5;   5;eor
       3955;1950011821;    5;   6;eor
       3955;1950011907;    5;   6;eor
       3955;1950011914;    5;   6;eor
       3955;1950011921;    5;   7;eor
       3955;1950012007;    5;   6;eor
       3955;1950012014;    5;   6;eor
       3955;1950012021;    5;   6;eor
       3955;1950012107;    5;   2;eor
       3955;1950012114;    5;   5;eor
       3955;1950012121;    5;   5;eor
       3955;1950012207;    5;   2;eor
       3955;1950012214;    5;   2;eor
       3955;1950012221;    5;   5;eor
       3955;1950012307;    5;   6;eor
       3955;1950012314;    5;   6;eor
       3955;1950012321;    5;   6;eor
       3955;1950012407;    5;   6;eor
       3955;1950012414;    5;   6;eor
