STATIONS_ID;MESS_DATUM;QN_4;VK_TER;eor
       4005;1946010107;    5;   2;eor
       4005;1946010114;    5;   8;eor
       4005;1946010121;    5;   0;eor
       4005;1946010207;    5;   2;eor
       4005;1946010214;    5;   8;eor
       4005;1946010221;    5;   0;eor
       4005;1946010307;    5;   2;eor
       4005;1946010314;    5;   7;eor
       4005;1946010321;    5;   0;eor
       4005;1946010407;    5;   4;eor
       4005;1946010414;    5;   7;eor
       4005;1946010421;    5;   0;eor
       4005;1946010507;    5;   4;eor
       4005;1946010514;    5;   8;eor
       4005;1946010521;    5;   0;eor
       4005;1946010607;    5;   4;eor
       4005;1946010614;    5;   8;eor
       4005;1946010621;    5;   0;eor
       4005;1946010707;    5;   5;eor
       4005;1946010714;    5;   7;eor
       4005;1946010721;    5;   0;eor
       4005;1946010807;    5;   5;eor
       4005;1946010814;    5;   7;eor
       4005;1946010821;    5;   0;eor
       4005;1946010907;    5;   6;eor
       4005;1946010914;    5;   8;eor
       4005;1946010921;    5;   0;eor
       4005;1946011007;    5;   4;eor
       4005;1946011014;    5;   7;eor
       4005;1946011021;    5;   0;eor
       4005;1946011107;    5;   3;eor
       4005;1946011114;    5;   9;eor
       4005;1946011121;    5;-999;eor
       4005;1946011207;    5;   3;eor
       4005;1946011214;    5;   9;eor
       4005;1946011221;    5;   1;eor
       4005;1946011307;    5;   3;eor
       4005;1946011314;    5;   6;eor
       4005;1946011321;    5;   1;eor
       4005;1946011407;    5;   1;eor
       4005;1946011414;    5;   4;eor
       4005;1946011421;    5;   2;eor
       4005;1946011507;    5;   1;eor
       4005;1946011514;    5;   6;eor
       4005;1946011521;    5;   3;eor
       4005;1946011607;    5;   3;eor
       4005;1946011614;    5;   7;eor
       4005;1946011621;    5;   4;eor
       4005;1946011707;    5;   6;eor
       4005;1946011714;    5;   7;eor
       4005;1946011721;    5;   5;eor
       4005;1946011807;    5;   6;eor
       4005;1946011814;    5;   7;eor
       4005;1946011821;    5;   2;eor
       4005;1946011907;    5;   6;eor
       4005;1946011914;    5;   7;eor
       4005;1946011921;    5;   0;eor
       4005;1946012007;    5;   3;eor
       4005;1946012014;    5;   6;eor
       4005;1946012021;    5;   0;eor
       4005;1946012107;    5;   2;eor
       4005;1946012114;    5;   6;eor
       4005;1946012121;    5;   0;eor
       4005;1946012207;    5;   2;eor
       4005;1946012214;    5;   6;eor
       4005;1946012221;    5;   0;eor
       4005;1946012307;    5;   2;eor
       4005;1946012314;    5;   5;eor
       4005;1946012321;    5;   0;eor
       4005;1946012407;    5;   2;eor
       4005;1946012414;    5;   6;eor
       4005;1946012421;    5;   0;eor
       4005;1946012507;    5;   1;eor
       4005;1946012514;    5;   3;eor
       4005;1946012521;    5;   0;eor
       4005;1946012607;    5;   1;eor
       4005;1946012614;    5;   5;eor
       4005;1946012621;    5;   0;eor
       4005;1946012707;    5;   1;eor
       4005;1946012714;    5;   6;eor
       4005;1946012721;    5;   0;eor
       4005;1946012807;    5;   2;eor
       4005;1946012814;    5;   3;eor
       4005;1946012821;    5;   0;eor
       4005;1946012907;    5;   1;eor
       4005;1946012914;    5;   5;eor
       4005;1946012921;    5;   0;eor
       4005;1946013007;    5;   3;eor
       4005;1946013014;    5;   7;eor
       4005;1946013021;    5;   0;eor
       4005;1946013107;    5;   4;eor
       4005;1946013114;    5;   5;eor
       4005;1946013121;    5;   0;eor
       4005;1946020107;    5;   7;eor
       4005;1946020114;    5;   8;eor
       4005;1946020121;    5;-999;eor
       4005;1946020207;    5;   7;eor
       4005;1946020214;    5;   8;eor
       4005;1946020221;    5;-999;eor
       4005;1946020307;    5;   8;eor
       4005;1946020314;    5;   8;eor
       4005;1946020321;    5;-999;eor
       4005;1946020407;    5;   5;eor
       4005;1946020414;    5;   8;eor
       4005;1946020421;    5;-999;eor
       4005;1946020507;    5;   5;eor
       4005;1946020514;    5;   8;eor
       4005;1946020521;    5;-999;eor
       4005;1946020607;    5;   5;eor
       4005;1946020614;    5;   8;eor
       4005;1946020621;    5;-999;eor
       4005;1946020707;    5;   5;eor
       4005;1946020714;    5;   6;eor
       4005;1946020721;    5;-999;eor
       4005;1946020807;    5;   5;eor
       4005;1946020814;    5;   8;eor
       4005;1946020821;    5;-999;eor
       4005;1946020907;    5;   5;eor
       4005;1946020914;    5;   7;eor
       4005;1946020921;    5;-999;eor
       4005;1946021007;    5;   5;eor
       4005;1946021014;    5;   7;eor
       4005;1946021021;    5;-999;eor
       4005;1946021107;    5;   6;eor
       4005;1946021114;    5;   7;eor
       4005;1946021121;    5;-999;eor
       4005;1946021207;    5;   5;eor
       4005;1946021214;    5;   1;eor
       4005;1946021221;    5;-999;eor
       4005;1946021307;    5;   6;eor
       4005;1946021314;    5;   7;eor
       4005;1946021321;    5;-999;eor
       4005;1946021407;    5;   6;eor
       4005;1946021414;    5;   7;eor
       4005;1946021421;    5;-999;eor
       4005;1946021507;    5;   2;eor
       4005;1946021514;    5;   7;eor
       4005;1946021521;    5;-999;eor
       4005;1946021607;    5;   5;eor
       4005;1946021614;    5;   7;eor
       4005;1946021621;    5;-999;eor
       4005;1946021707;    5;   4;eor
       4005;1946021714;    5;   6;eor
       4005;1946021721;    5;-999;eor
       4005;1946021807;    5;   4;eor
       4005;1946021814;    5;   6;eor
       4005;1946021821;    5;-999;eor
       4005;1946021907;    5;   5;eor
       4005;1946021914;    5;   6;eor
       4005;1946021921;    5;-999;eor
       4005;1946022007;    5;   7;eor
       4005;1946022014;    5;   2;eor
       4005;1946022021;    5;-999;eor
       4005;1946022107;    5;   5;eor
       4005;1946022114;    5;   1;eor
       4005;1946022121;    5;-999;eor
       4005;1946022207;    5;   6;eor
       4005;1946022214;    5;   6;eor
       4005;1946022221;    5;-999;eor
       4005;1946022307;    5;   5;eor
       4005;1946022314;    5;   7;eor
       4005;1946022321;    5;-999;eor
       4005;1946022407;    5;   1;eor
       4005;1946022414;    5;   6;eor
       4005;1946022421;    5;-999;eor
       4005;1946022507;    5;   4;eor
       4005;1946022514;    5;   6;eor
       4005;1946022521;    5;-999;eor
       4005;1946022607;    5;   3;eor
       4005;1946022614;    5;   6;eor
       4005;1946022621;    5;-999;eor
       4005;1946022707;    5;   8;eor
       4005;1946022714;    5;   9;eor
       4005;1946022721;    5;-999;eor
       4005;1946022807;    5;   8;eor
       4005;1946022814;    5;   9;eor
       4005;1946022821;    5;-999;eor
       4005;1946030107;    5;   9;eor
       4005;1946030114;    5;   8;eor
       4005;1946030121;    5;-999;eor
       4005;1946030207;    5;   5;eor
       4005;1946030214;    5;   6;eor
       4005;1946030221;    5;-999;eor
       4005;1946030307;    5;   5;eor
       4005;1946030314;    5;   6;eor
       4005;1946030321;    5;-999;eor
       4005;1946030407;    5;   3;eor
       4005;1946030414;    5;   6;eor
       4005;1946030421;    5;-999;eor
       4005;1946030507;    5;   5;eor
       4005;1946030514;    5;   6;eor
       4005;1946030521;    5;-999;eor
       4005;1946030607;    5;   5;eor
       4005;1946030614;    5;   8;eor
       4005;1946030621;    5;-999;eor
       4005;1946030707;    5;   1;eor
       4005;1946030714;    5;   6;eor
       4005;1946030721;    5;-999;eor
       4005;1946030807;    5;   5;eor
       4005;1946030814;    5;   6;eor
       4005;1946030821;    5;-999;eor
       4005;1946030907;    5;   5;eor
       4005;1946030914;    5;   7;eor
       4005;1946030921;    5;-999;eor
       4005;1946031007;    5;   5;eor
       4005;1946031014;    5;   8;eor
       4005;1946031021;    5;-999;eor
       4005;1946031107;    5;   5;eor
       4005;1946031114;    5;   8;eor
       4005;1946031121;    5;-999;eor
       4005;1946031207;    5;   6;eor
       4005;1946031214;    5;   7;eor
       4005;1946031221;    5;-999;eor
       4005;1946031307;    5;   3;eor
       4005;1946031314;    5;   8;eor
       4005;1946031321;    5;-999;eor
       4005;1946031407;    5;   5;eor
       4005;1946031414;    5;   5;eor
       4005;1946031421;    5;-999;eor
       4005;1946031507;    5;   7;eor
       4005;1946031514;    5;   7;eor
       4005;1946031521;    5;-999;eor
       4005;1946031607;    5;   6;eor
       4005;1946031614;    5;   7;eor
       4005;1946031621;    5;-999;eor
       4005;1946031707;    5;   6;eor
       4005;1946031714;    5;   7;eor
       4005;1946031721;    5;-999;eor
       4005;1946031807;    5;   6;eor
       4005;1946031814;    5;   8;eor
       4005;1946031821;    5;-999;eor
       4005;1946031907;    5;   8;eor
       4005;1946031914;    5;   8;eor
       4005;1946031921;    5;-999;eor
       4005;1946032007;    5;   8;eor
       4005;1946032014;    5;   9;eor
       4005;1946032021;    5;-999;eor
       4005;1946032107;    5;   7;eor
       4005;1946032114;    5;   8;eor
       4005;1946032121;    5;-999;eor
       4005;1946032207;    5;   8;eor
       4005;1946032214;    5;   9;eor
       4005;1946032221;    5;-999;eor
       4005;1946032307;    5;   8;eor
       4005;1946032314;    5;   9;eor
       4005;1946032321;    5;-999;eor
       4005;1946032407;    5;   9;eor
       4005;1946032414;    5;   9;eor
       4005;1946032421;    5;-999;eor
       4005;1946032507;    5;   6;eor
       4005;1946032514;    5;   6;eor
       4005;1946032521;    5;-999;eor
       4005;1946032607;    5;   6;eor
       4005;1946032614;    5;   7;eor
       4005;1946032621;    5;-999;eor
       4005;1946032707;    5;   3;eor
       4005;1946032714;    5;   8;eor
       4005;1946032721;    5;-999;eor
