STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       2306;1977110107;    5;    9.2;  95.0;eor
       2306;1977110114;    5;   10.8;  77.0;eor
       2306;1977110121;    5;    5.4;  94.0;eor
       2306;1977110207;    5;    3.8;  94.0;eor
       2306;1977110214;    5;    9.8;  73.0;eor
       2306;1977110221;    5;    7.5;  93.0;eor
       2306;1977110307;    5;    8.4;  98.0;eor
       2306;1977110314;    5;   12.0;  80.0;eor
       2306;1977110321;    5;    8.6;  87.0;eor
       2306;1977110407;    5;    8.0;  85.0;eor
       2306;1977110414;    5;    8.0;  91.0;eor
       2306;1977110421;    5;    5.2;  96.0;eor
       2306;1977110507;    5;    4.0;  97.0;eor
       2306;1977110514;    5;    9.0;  91.0;eor
       2306;1977110521;    5;    9.0;  96.0;eor
       2306;1977110607;    5;    8.4;  87.0;eor
       2306;1977110614;    5;   10.7;  94.0;eor
       2306;1977110621;    5;    8.0;  95.0;eor
       2306;1977110707;    5;    6.8;  97.0;eor
       2306;1977110714;    5;   12.3;  86.0;eor
       2306;1977110721;    5;   10.4;  77.0;eor
       2306;1977110807;    5;   11.0;  78.0;eor
       2306;1977110814;    5;   11.6;  77.0;eor
       2306;1977110821;    5;    8.5;  94.0;eor
       2306;1977110907;    5;    9.0;  88.0;eor
       2306;1977110914;    5;    8.1;  94.0;eor
       2306;1977110921;    5;    7.5;  99.0;eor
       2306;1977111007;    5;    9.6;  89.0;eor
       2306;1977111014;    5;   13.0;  95.0;eor
       2306;1977111021;    5;   12.3;  94.0;eor
       2306;1977111107;    5;   11.9;  88.0;eor
       2306;1977111114;    5;   13.4;  87.0;eor
       2306;1977111121;    5;   12.2;  82.0;eor
       2306;1977111207;    5;   11.0;  65.0;eor
       2306;1977111214;    5;    7.0;  81.0;eor
       2306;1977111221;    5;    5.7;  85.0;eor
       2306;1977111307;    5;    4.5;  91.0;eor
       2306;1977111314;    5;    6.0;  89.0;eor
       2306;1977111321;    5;    7.0;  91.0;eor
       2306;1977111407;    5;    3.0;  94.0;eor
       2306;1977111414;    5;    6.7;  93.0;eor
       2306;1977111421;    5;    7.4;  92.0;eor
       2306;1977111507;    5;    5.7;  90.0;eor
       2306;1977111514;    5;    6.1;  93.0;eor
       2306;1977111521;    5;    4.2;  94.0;eor
       2306;1977111607;    5;    5.1;  96.0;eor
       2306;1977111614;    5;    6.1;  93.0;eor
       2306;1977111621;    5;    4.1;  97.0;eor
       2306;1977111707;    5;    3.8;  95.0;eor
       2306;1977111714;    5;    5.9;  85.0;eor
       2306;1977111721;    5;    5.5;  68.0;eor
       2306;1977111807;    5;    0.6;  96.0;eor
       2306;1977111814;    5;    3.2;  94.0;eor
       2306;1977111821;    5;    3.0;  92.0;eor
       2306;1977111907;    5;    4.0;  92.0;eor
       2306;1977111914;    5;    4.9;  93.0;eor
       2306;1977111921;    5;    5.6;  93.0;eor
       2306;1977112007;    5;    6.6;  79.0;eor
       2306;1977112014;    5;    5.8;  78.0;eor
       2306;1977112021;    5;    5.6;  82.0;eor
       2306;1977112107;    5;    1.2;  90.0;eor
       2306;1977112114;    5;    3.8;  79.0;eor
       2306;1977112121;    5;    2.8;  94.0;eor
       2306;1977112207;    5;    1.4;  97.0;eor
       2306;1977112214;    5;    2.6;  75.0;eor
       2306;1977112221;    5;    1.9;  85.0;eor
       2306;1977112307;    5;    3.2;  83.0;eor
       2306;1977112314;    5;    5.7;  85.0;eor
       2306;1977112321;    5;    6.4;  86.0;eor
       2306;1977112407;    5;    5.0;  88.0;eor
       2306;1977112414;    5;    4.4;  91.0;eor
       2306;1977112421;    5;    2.9;  94.0;eor
       2306;1977112507;    5;    4.0;  84.0;eor
       2306;1977112514;    5;    5.1;  86.0;eor
       2306;1977112521;    5;    3.7;  79.0;eor
       2306;1977112607;    5;    3.4;  82.0;eor
       2306;1977112614;    5;    2.7;  79.0;eor
       2306;1977112621;    5;    2.1;  77.0;eor
       2306;1977112707;    5;    0.4;  79.0;eor
       2306;1977112714;    5;    0.6;  54.0;eor
       2306;1977112721;    5;   -0.1;  59.0;eor
       2306;1977112807;    5;    1.2;  60.0;eor
       2306;1977112814;    5;    2.9;  73.0;eor
       2306;1977112821;    5;    0.2;  79.0;eor
       2306;1977112907;    5;    1.1;  95.0;eor
       2306;1977112914;    5;    2.4;  97.0;eor
       2306;1977112921;    5;    4.7;  93.0;eor
       2306;1977113007;    5;    5.4;  94.0;eor
       2306;1977113014;    5;    4.2;  88.0;eor
       2306;1977113021;    5;    3.9;  86.0;eor
       2306;1977120107;    5;    3.5;  88.0;eor
       2306;1977120114;    5;    4.2;  84.0;eor
       2306;1977120121;    5;    4.1;  70.0;eor
       2306;1977120207;    5;    2.5;  84.0;eor
       2306;1977120214;    5;    3.6;  77.0;eor
       2306;1977120221;    5;    4.4;  81.0;eor
       2306;1977120307;    5;    3.1;  92.0;eor
       2306;1977120314;    5;    4.7;  87.0;eor
       2306;1977120321;    5;    3.9;  86.0;eor
       2306;1977120407;    5;    2.8;  87.0;eor
       2306;1977120414;    5;    1.9;  93.0;eor
       2306;1977120421;    5;    3.3;  68.0;eor
       2306;1977120507;    5;    2.5;  75.0;eor
       2306;1977120514;    5;    2.6;  73.0;eor
       2306;1977120521;    5;    1.2;  85.0;eor
       2306;1977120607;    5;    2.0;  77.0;eor
       2306;1977120614;    5;    3.2;  83.0;eor
       2306;1977120621;    5;    0.8;  97.0;eor
       2306;1977120707;    5;   -0.1;  87.0;eor
       2306;1977120714;    5;   -0.7;  96.0;eor
       2306;1977120721;    5;    1.3;  81.0;eor
       2306;1977120807;    5;    3.2;  84.0;eor
       2306;1977120814;    5;    3.2;  81.0;eor
       2306;1977120821;    5;    2.5;  82.0;eor
       2306;1977120907;    5;    2.4;  84.0;eor
       2306;1977120914;    5;    3.0;  83.0;eor
       2306;1977120921;    5;    3.4;  85.0;eor
       2306;1977121007;    5;    2.4;  87.0;eor
       2306;1977121014;    5;    0.6;  88.0;eor
       2306;1977121021;    5;   -0.2;  78.0;eor
       2306;1977121107;    5;   -1.6;  83.0;eor
       2306;1977121114;    5;    0.5;  81.0;eor
       2306;1977121121;    5;    2.3;  87.0;eor
       2306;1977121207;    5;    3.5;  95.0;eor
       2306;1977121214;    5;    5.0;  97.0;eor
       2306;1977121221;    5;    5.0;  96.0;eor
       2306;1977121307;    5;    7.1;  99.0;eor
       2306;1977121314;    5;    6.7;  96.0;eor
       2306;1977121321;    5;    6.3;  89.0;eor
       2306;1977121407;    5;    6.9;  97.0;eor
       2306;1977121414;    5;    8.1;  96.0;eor
       2306;1977121421;    5;    7.6;  97.0;eor
       2306;1977121507;    5;    6.8;  99.0;eor
       2306;1977121514;    5;    7.8;  99.0;eor
       2306;1977121521;    5;    7.0;  99.0;eor
       2306;1977121607;    5;    0.8;  98.0;eor
       2306;1977121614;    5;    2.4;  97.0;eor
       2306;1977121621;    5;    4.4;  97.0;eor
       2306;1977121707;    5;    4.2;  94.0;eor
       2306;1977121714;    5;    3.8;  92.0;eor
