STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       6310;2004080106;   10;   17.1;  94.0;eor
       6310;2004080112;   10;   23.1;  63.0;eor
       6310;2004080118;   10;   20.2;  82.0;eor
       6310;2004080206;   10;   17.7;  97.0;eor
       6310;2004080212;   10;   21.9;  67.0;eor
       6310;2004080218;   10;   20.3;  75.0;eor
       6310;2004080306;   10;   18.8;  94.0;eor
       6310;2004080312;   10;   21.5;  69.0;eor
       6310;2004080318;   10;   19.5;  82.0;eor
       6310;2004080406;   10;   17.8;  96.0;eor
       6310;2004080412;   10;   22.5;  73.0;eor
       6310;2004080418;   10;   20.8;  85.0;eor
       6310;2004080506;   10;   20.8;  91.0;eor
       6310;2004080512;   10;   20.3;  91.0;eor
       6310;2004080518;   10;   20.8;  89.0;eor
       6310;2004080606;   10;   20.3;  71.0;eor
       6310;2004080612;   10;   23.4;  66.0;eor
       6310;2004080618;   10;   21.5;  77.0;eor
       6310;2004080706;   10;   20.2;  76.0;eor
       6310;2004080712;   10;   22.2;  71.0;eor
       6310;2004080718;   10;   21.5;  77.0;eor
       6310;2004080806;   10;   20.3;  79.0;eor
       6310;2004080812;   10;   23.3;  68.0;eor
       6310;2004080818;   10;   21.3;  78.0;eor
       6310;2004080906;   10;   20.2;  83.0;eor
       6310;2004080912;   10;   22.7;  80.0;eor
       6310;2004080918;   10;   21.3;  82.0;eor
       6310;2004081006;   10;   20.7;  85.0;eor
       6310;2004081012;   10;   22.7;  77.0;eor
       6310;2004081018;   10;   20.2;  86.0;eor
       6310;2004081106;   10;   18.3;  82.0;eor
       6310;2004081112;   10;   20.7;  74.0;eor
       6310;2004081118;   10;   19.7;  83.0;eor
       6310;2004081206;   10;   20.0;  88.0;eor
       6310;2004081212;   10;   23.6;  65.0;eor
       6310;2004081218;   10;   20.1;  81.0;eor
       6310;2004081306;   10;   18.8;  82.0;eor
       6310;2004081312;   10;   20.7;  78.0;eor
       6310;2004081318;   10;   18.1;  82.0;eor
       6310;2004081406;   10;   18.5;  79.0;eor
       6310;2004081412;   10;   19.4;  67.0;eor
       6310;2004081418;   10;   18.3;  68.0;eor
       6310;2004081506;   10;   15.2;  81.0;eor
       6310;2004081512;   10;   22.3;  65.0;eor
       6310;2004081518;   10;   20.0;  70.0;eor
       6310;2004081606;   10;   16.2;  90.0;eor
       6310;2004081612;   10;   24.5;  54.0;eor
       6310;2004081618;   10;   20.6;  71.0;eor
       6310;2004081706;   10;   17.6;  93.0;eor
       6310;2004081712;   10;   24.4;  61.0;eor
       6310;2004081718;   10;   19.0;  85.0;eor
       6310;2004081806;   10;   18.6;  96.0;eor
       6310;2004081812;   10;   22.0;  78.0;eor
       6310;2004081818;   10;   21.2;  82.0;eor
       6310;2004081906;   10;   20.0;  79.0;eor
       6310;2004081912;   10;   23.6;  60.0;eor
       6310;2004081918;   10;   23.5;  49.0;eor
       6310;2004082006;   10;   16.9;  84.0;eor
       6310;2004082012;   10;   22.1;  62.0;eor
       6310;2004082018;   10;   18.6;  82.0;eor
