Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2712;Konstanz;TT_TER;14.09.2017-07:00;15.09.2017-05:00;2;;eor;                                                                                                                                          
2712;Konstanz;TT_TER;15.09.2017-07:00;16.09.2017-05:00;2;;eor;                                                                                                                                          
2712;Konstanz;TT_TER;16.09.2017-13:00;17.09.2017-05:00;1;;eor;                                                                                                                                          
2712;Konstanz;TT_TER;17.09.2017-13:00;18.09.2017-05:00;1;;eor;                                                                                                                                          
2712;Konstanz;TT_TER;19.10.2020-07:00;20.10.2020-11:00;3;;eor;                                                                                                                                          
2712;Konstanz;RF_TER;14.09.2017-07:00;15.09.2017-05:00;2;;eor;                                                                                                                                          
2712;Konstanz;RF_TER;15.09.2017-07:00;16.09.2017-05:00;2;;eor;                                                                                                                                          
2712;Konstanz;RF_TER;16.09.2017-13:00;17.09.2017-05:00;1;;eor;                                                                                                                                          
2712;Konstanz;RF_TER;17.09.2017-13:00;18.09.2017-05:00;1;;eor;                                                                                                                                          
2712;Konstanz;RF_TER;19.10.2020-07:00;20.10.2020-17:00;4;;eor;                                                                                                                                          
generiert: 09.05.2023 --  Deutscher Wetterdienst  --                                                                                                                                                    
