datetime;value
2012010107;-999
2012010114;-999
2012010121;-999
2012010207;-999
2012010214;-999
2012010221;-999
2012010307;-999
2012010314;-999
2012010321;-999
2012010407;-999
2012010414;-999
2012010421;-999
2012010507;-999
2012010514;-999
2012010521;-999
2012010607;-999
2012010614;-999
2012010621;-999
2012010707;-999
2012010714;-999
2012010721;-999
2012010807;-999
2012010814;-999
2012010821;-999
2012010907;-999
2012010914;-999
2012010921;-999
2012011007;-999
2012011014;-999
2012011021;-999
2012011107;-999
2012011114;-999
2012011121;-999
2012011207;-999
2012011214;-999
2012011221;-999
2012011307;-999
2012011314;-999
2012011321;-999
2012011407;-999
2012011414;-999
2012011421;-999
2012011507;-999
2012011514;-999
2012011521;-999
2012011607;-999
2012011614;-999
2012011621;-999
2012011707;-999
2012011714;-999
2012011721;-999
2012011807;-999
2012011814;-999
2012011821;-999
2012011907;-999
2012011914;-999
2012011921;-999
2012012007;-999
2012012014;-999
2012012021;-999
2012012107;-999
2012012114;-999
2012012121;-999
2012012207;-999
2012012214;-999
2012012221;-999
2012012307;-999
2012012314;-999
2012012321;-999
2012012407;-999
2012012414;-999
2012012421;-999
2012012507;-999
2012012514;-999
2012012521;-999
2012012607;-999
2012012614;-999
2012012621;-999
2012012707;-999
2012012714;-999
2012012721;-999
2012012807;-999
2012012814;-999
2012012821;-999
2012012907;-999
2012012914;-999
2012012921;-999
2012013007;-999
2012013014;-999
2012013021;-999
2012013107;-999
2012013114;-999
2012013121;-999
2012020107;-999
2012020114;-999
2012020121;-999
2012020207;-999
2012020214;-999
2012020221;-999
2012020307;-999
2012020314;-999
2012020321;-999
2012020407;-999
2012020414;-999
2012020421;-999
2012020507;-999
2012020514;-999
2012020521;-999
2012020607;-999
2012020614;-999
2012020621;-999
2012020707;-999
2012020714;-999
2012020721;-999
2012020807;-999
2012020814;-999
2012020821;-999
2012020907;-999
2012020914;-999
2012020921;-999
2012021007;-999
2012021014;-999
2012021021;-999
2012021107;-999
2012021114;-999
2012021121;-999
2012021207;-999
2012021214;-999
2012021221;-999
2012021307;-999
2012021314;-999
2012021321;-999
2012021407;-999
