Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
596;Boltenhagen;FK_TER;01.01.1947;08.05.2023;781;Gesamt_Messzeitraum;eor;                                                                                                                               
596;Boltenhagen;DK_TER;01.01.1947;08.05.2023;748;Gesamt_Messzeitraum;eor;                                                                                                                               
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
596;Boltenhagen;FK_TER;22.01.1950-22:00;23.01.1950-13:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;26.01.1950-15:00;27.01.1950-13:00;2;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;18.02.1950-22:00;19.02.1950-13:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;19.02.1950-15:00;20.02.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;25.02.1950-08:00;25.02.1950-20:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;28.02.1950-15:00;01.03.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;04.03.1950-15:00;05.03.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;10.03.1950-15:00;11.03.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;20.03.1950-15:00;21.03.1950-13:00;2;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;21.03.1950-15:00;22.03.1950-13:00;2;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;22.03.1950-15:00;23.03.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;23.03.1950-15:00;24.03.1950-13:00;2;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;25.03.1950-22:00;26.03.1950-13:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;27.03.1950-22:00;28.03.1950-13:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;28.03.1950-15:00;29.03.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;29.03.1950-22:00;30.03.1950-13:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;30.03.1950-15:00;31.03.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;18.04.1950-22:00;19.04.1950-13:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;08.07.1950-15:00;09.07.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;09.07.1950-15:00;10.07.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;15.07.1950-15:00;16.07.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;13.10.1950-08:00;14.10.1950-06:00;2;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;14.10.1950-22:00;16.10.1950-13:00;4;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;23.10.1950-15:00;24.10.1950-06:00;1;;eor;                                                                                                                                        
596;Boltenhagen;FK_TER;24.10.1950-08:00;24.10.1950-20:00;1;;eor;                                                                                                                                        
