STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       2712;1972110107;    5;  24;   1;eor
       2712;1972110114;    5;  20;   1;eor
       2712;1972110121;    5;   8;   1;eor
       2712;1972110207;    5;   0;   0;eor
       2712;1972110214;    5;   0;   0;eor
       2712;1972110221;    5;   0;   0;eor
       2712;1972110307;    5;   0;   0;eor
       2712;1972110314;    5;   0;   0;eor
       2712;1972110321;    5;   0;   0;eor
       2712;1972110407;    5;  32;   1;eor
       2712;1972110414;    5;   0;   0;eor
       2712;1972110421;    5;   0;   0;eor
       2712;1972110507;    5;   0;   0;eor
       2712;1972110514;    5;   0;   0;eor
       2712;1972110521;    5;   0;   0;eor
       2712;1972110607;    5;   0;   0;eor
       2712;1972110614;    5;   0;   0;eor
       2712;1972110621;    5;   0;   0;eor
       2712;1972110707;    5;   0;   0;eor
       2712;1972110714;    5;   0;   0;eor
       2712;1972110721;    5;   0;   0;eor
       2712;1972110807;    5;   0;   0;eor
       2712;1972110814;    5;  24;   1;eor
       2712;1972110821;    5;   0;   0;eor
       2712;1972110907;    5;   0;   0;eor
       2712;1972110914;    5;   0;   0;eor
       2712;1972110921;    5;   0;   0;eor
       2712;1972111007;    5;  20;   1;eor
       2712;1972111014;    5;   8;   1;eor
       2712;1972111021;    5;  12;   1;eor
       2712;1972111107;    5;  24;   3;eor
       2712;1972111114;    5;  24;   3;eor
       2712;1972111121;    5;  20;   3;eor
       2712;1972111207;    5;  20;   3;eor
       2712;1972111214;    5;  20;   3;eor
       2712;1972111221;    5;  20;   2;eor
       2712;1972111307;    5;  20;   5;eor
       2712;1972111314;    5;  24;   4;eor
       2712;1972111321;    5;  20;   2;eor
       2712;1972111407;    5;  32;   2;eor
       2712;1972111414;    5;   0;   0;eor
       2712;1972111421;    5;  28;   3;eor
       2712;1972111507;    5;   0;   0;eor
       2712;1972111514;    5;  20;   3;eor
       2712;1972111521;    5;  20;   2;eor
       2712;1972111607;    5;   0;   0;eor
       2712;1972111614;    5;  16;   1;eor
       2712;1972111621;    5;  20;   5;eor
       2712;1972111707;    5;  20;   5;eor
       2712;1972111714;    5;  20;   4;eor
       2712;1972111721;    5;  20;   4;eor
       2712;1972111807;    5;  28;   3;eor
       2712;1972111814;    5;  20;   3;eor
       2712;1972111821;    5;  20;   1;eor
       2712;1972111907;    5;   8;   1;eor
       2712;1972111914;    5;  24;   1;eor
       2712;1972111921;    5;  24;   1;eor
       2712;1972112007;    5;  28;   1;eor
       2712;1972112014;    5;  20;   3;eor
       2712;1972112021;    5;  20;   4;eor
       2712;1972112107;    5;  20;   3;eor
       2712;1972112114;    5;  24;   3;eor
       2712;1972112121;    5;  24;   2;eor
       2712;1972112207;    5;  20;   2;eor
       2712;1972112214;    5;  20;   2;eor
       2712;1972112221;    5;   0;   0;eor
       2712;1972112307;    5;   0;   0;eor
       2712;1972112314;    5;  28;   1;eor
       2712;1972112321;    5;   0;   0;eor
       2712;1972112407;    5;  24;   2;eor
       2712;1972112414;    5;  24;   3;eor
       2712;1972112421;    5;  28;   2;eor
       2712;1972112507;    5;  24;   1;eor
       2712;1972112514;    5;  32;   1;eor
       2712;1972112521;    5;  24;   1;eor
       2712;1972112607;    5;   4;   1;eor
       2712;1972112614;    5;  12;   1;eor
       2712;1972112621;    5;  32;   1;eor
       2712;1972112707;    5;  16;   1;eor
       2712;1972112714;    5;   0;   0;eor
       2712;1972112721;    5;  24;   1;eor
       2712;1972112807;    5;  16;   1;eor
       2712;1972112814;    5;   0;   0;eor
       2712;1972112821;    5;   0;   0;eor
       2712;1972112907;    5;   0;   0;eor
       2712;1972112914;    5;   0;   0;eor
       2712;1972112921;    5;   4;   1;eor
       2712;1972113007;    5;  28;   1;eor
       2712;1972113014;    5;  32;   1;eor
       2712;1972113021;    5;  24;   1;eor
       2712;1972120107;    5;   0;   0;eor
       2712;1972120114;    5;   0;   0;eor
       2712;1972120121;    5;   0;   0;eor
       2712;1972120207;    5;  24;   1;eor
       2712;1972120214;    5;   0;   0;eor
       2712;1972120221;    5;   8;   1;eor
       2712;1972120307;    5;   0;   0;eor
       2712;1972120314;    5;   4;   1;eor
       2712;1972120321;    5;   0;   0;eor
       2712;1972120407;    5;   0;   0;eor
       2712;1972120414;    5;   8;   1;eor
       2712;1972120421;    5;   0;   0;eor
       2712;1972120507;    5;  20;   1;eor
       2712;1972120514;    5;  20;   3;eor
       2712;1972120521;    5;   0;   0;eor
       2712;1972120607;    5;   0;   0;eor
       2712;1972120614;    5;   0;   0;eor
       2712;1972120621;    5;  28;   1;eor
       2712;1972120707;    5;   4;   1;eor
       2712;1972120714;    5;  24;   3;eor
       2712;1972120721;    5;  24;   2;eor
       2712;1972120807;    5;   8;   1;eor
       2712;1972120814;    5;  12;   1;eor
       2712;1972120821;    5;  32;   1;eor
       2712;1972120907;    5;  24;   1;eor
       2712;1972120914;    5;  20;   2;eor
       2712;1972120921;    5;   0;   0;eor
       2712;1972121007;    5;   0;   0;eor
       2712;1972121014;    5;   0;   0;eor
       2712;1972121021;    5;  24;   2;eor
       2712;1972121107;    5;   0;   0;eor
       2712;1972121114;    5;  16;   1;eor
       2712;1972121121;    5;   0;   0;eor
       2712;1972121207;    5;  24;   1;eor
       2712;1972121214;    5;   0;   0;eor
       2712;1972121221;    5;  32;   1;eor
       2712;1972121307;    5;  24;   1;eor
       2712;1972121314;    5;   0;   0;eor
       2712;1972121321;    5;  16;   1;eor
       2712;1972121407;    5;   0;   0;eor
       2712;1972121414;    5;   0;   0;eor
       2712;1972121421;    5;  32;   1;eor
       2712;1972121507;    5;  20;   1;eor
       2712;1972121514;    5;  12;   1;eor
