MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1997070107;3.0;7.0;14.2;82.0;20.0;3.0
1997070114;7.0;7.0;17.2;72.0;12.0;3.0
1997070121;7.0;6.0;12.9;89.0;4.0;1.0
1997070207;1.0;7.0;14.1;87.0;16.0;3.0
1997070214;5.0;8.0;21.3;57.0;16.0;3.0
1997070221;8.0;7.0;16.0;87.0;12.0;4.0
1997070307;3.0;7.0;14.2;79.0;20.0;3.0
1997070314;4.0;7.0;20.3;52.0;16.0;3.0
1997070321;1.0;7.0;13.9;85.0;32.0;1.0
1997070407;3.0;7.0;16.0;81.0;20.0;2.0
1997070414;7.0;7.0;16.4;80.0;24.0;2.0
1997070421;6.0;7.0;14.4;88.0;4.0;2.0
1997070507;3.0;6.0;15.6;83.0;32.0;3.0
1997070514;5.0;8.0;18.4;64.0;32.0;3.0
1997070521;5.0;6.0;13.7;85.0;32.0;2.0
1997070607;2.0;8.0;15.3;68.0;28.0;3.0
1997070614;8.0;7.0;16.1;75.0;28.0;4.0
1997070621;8.0;7.0;15.3;89.0;28.0;2.0
1997070707;7.0;7.0;15.8;86.0;28.0;3.0
1997070714;6.0;8.0;19.0;79.0;28.0;4.0
1997070721;7.0;7.0;15.1;89.0;28.0;2.0
1997070807;7.0;7.0;15.0;86.0;28.0;3.0
1997070814;7.0;8.0;16.7;82.0;28.0;3.0
1997070821;8.0;7.0;14.4;91.0;32.0;2.0
1997070907;8.0;8.0;15.1;87.0;28.0;2.0
1997070914;5.0;8.0;18.0;66.0;32.0;3.0
1997070921;2.0;8.0;14.1;90.0;28.0;2.0
1997071007;1.0;7.0;17.5;89.0;4.0;2.0
1997071014;2.0;8.0;23.4;50.0;4.0;3.0
1997071021;1.0;8.0;14.8;81.0;32.0;2.0
1997071107;1.0;8.0;18.9;71.0;8.0;1.0
1997071114;3.0;9.0;24.6;42.0;32.0;3.0
1997071121;3.0;8.0;16.8;85.0;4.0;2.0
1997071207;1.0;8.0;19.0;73.0;8.0;2.0
1997071214;2.0;8.0;26.0;44.0;8.0;3.0
1997071221;3.0;8.0;16.3;84.0;4.0;1.0
1997071307;0.0;7.0;18.6;83.0;12.0;1.0
1997071314;6.0;8.0;26.2;43.0;20.0;3.0
1997071321;7.0;8.0;18.7;85.0;8.0;1.0
1997071407;7.0;7.0;18.4;86.0;12.0;2.0
1997071414;5.0;7.0;24.7;54.0;20.0;3.0
1997071421;5.0;7.0;18.5;82.0;28.0;2.0
1997071507;3.0;5.0;17.8;90.0;24.0;2.0
1997071514;1.0;8.0;21.4;55.0;24.0;3.0
