MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
2005070106;6.0;7.0;16.0;77.0;8.0;3.0
2005070112;8.0;7.0;19.1;70.0;12.0;2.0
2005070118;4.0;8.0;20.0;73.0;16.0;2.0
2005070206;7.0;6.0;15.7;100.0;12.0;1.0
2005070212;3.0;8.0;20.4;68.0;24.0;2.0
2005070218;3.0;8.0;21.8;55.0;20.0;2.0
2005070306;8.0;7.0;18.1;83.0;16.0;2.0
2005070312;8.0;7.0;22.4;76.0;20.0;2.0
2005070318;7.0;7.0;20.9;78.0;20.0;2.0
2005070406;3.0;6.0;20.2;85.0;12.0;3.0
2005070412;3.0;8.0;27.7;45.0;12.0;5.0
2005070418;7.0;8.0;26.7;41.0;12.0;4.0
2005070506;6.0;7.0;16.2;82.0;20.0;3.0
2005070512;8.0;8.0;17.4;70.0;20.0;3.0
2005070518;7.0;8.0;16.4;76.0;20.0;2.0
2005070606;5.0;6.0;13.9;96.0;12.0;2.0
2005070612;7.0;7.0;18.9;70.0;12.0;3.0
2005070618;6.0;8.0;17.4;76.0;8.0;3.0
2005070706;7.0;7.0;14.4;93.0;12.0;2.0
2005070712;7.0;8.0;18.7;74.0;12.0;3.0
2005070718;7.0;8.0;17.8;84.0;8.0;2.0
2005070806;6.0;7.0;17.1;93.0;8.0;2.0
2005070812;5.0;8.0;21.7;69.0;4.0;3.0
2005070818;6.0;8.0;20.6;74.0;20.0;1.0
2005070906;3.0;6.0;18.3;96.0;4.0;2.0
2005070912;3.0;8.0;26.2;58.0;4.0;3.0
2005070918;3.0;8.0;24.6;52.0;4.0;2.0
2005071006;2.0;8.0;19.8;72.0;4.0;2.0
2005071012;5.0;8.0;28.7;41.0;32.0;3.0
2005071018;6.0;9.0;22.1;73.0;32.0;3.0
2005071106;4.0;7.0;17.4;93.0;28.0;2.0
2005071112;2.0;8.0;26.2;52.0;4.0;2.0
2005071118;0.0;9.0;23.5;73.0;32.0;1.0
2005071206;0.0;8.0;18.1;92.0;4.0;2.0
2005071212;0.0;8.0;27.8;38.0;4.0;1.0
2005071218;1.0;8.0;24.1;57.0;28.0;1.0
2005071306;7.0;6.0;16.9;96.0;28.0;2.0
2005071312;7.0;8.0;19.9;80.0;28.0;2.0
2005071318;7.0;8.0;18.9;80.0;28.0;3.0
2005071406;8.0;6.0;16.3;89.0;24.0;1.0
2005071412;7.0;8.0;20.2;73.0;24.0;2.0
2005071418;4.0;8.0;19.8;76.0;20.0;2.0
2005071506;6.0;6.0;18.1;86.0;12.0;3.0
2005071512;4.0;7.0;24.4;57.0;20.0;4.0
2005071518;4.0;8.0;19.2;77.0;28.0;3.0
2005071606;6.0;8.0;16.1;75.0;24.0;3.0
2005071612;6.0;8.0;17.7;70.0;28.0;3.0
2005071618;6.0;8.0;15.9;76.0;28.0;3.0
2005071706;7.0;8.0;15.5;71.0;24.0;3.0
2005071712;8.0;8.0;16.7;82.0;24.0;4.0
2005071718;7.0;8.0;17.9;85.0;24.0;3.0
2005071806;7.0;8.0;18.2;89.0;24.0;2.0
2005071812;8.0;8.0;21.0;73.0;24.0;1.0
2005071818;8.0;8.0;21.3;75.0;0.0;0.0
2005071906;8.0;6.0;17.1;94.0;20.0;2.0
2005071912;6.0;8.0;19.5;67.0;24.0;4.0
2005071918;5.0;8.0;17.3;71.0;24.0;5.0
2005072006;6.0;8.0;16.4;75.0;20.0;4.0
2005072012;7.0;7.0;14.8;81.0;20.0;5.0
2005072018;6.0;8.0;15.6;75.0;24.0;4.0
2005072106;8.0;6.0;15.0;96.0;28.0;5.0
2005072112;8.0;6.0;15.8;95.0;28.0;5.0
2005072118;8.0;7.0;16.8;91.0;28.0;5.0
2005072206;6.0;6.0;15.8;96.0;28.0;4.0
2005072212;4.0;8.0;19.4;73.0;28.0;4.0
2005072218;5.0;8.0;16.6;86.0;28.0;3.0
2005072306;6.0;8.0;16.0;86.0;28.0;3.0
2005072312;6.0;8.0;17.4;76.0;24.0;4.0
2005072318;8.0;8.0;15.6;80.0;24.0;4.0
2005072406;8.0;6.0;14.0;73.0;24.0;4.0
2005072412;7.0;8.0;16.1;73.0;28.0;3.0
2005072418;4.0;8.0;15.2;73.0;24.0;1.0
2005072506;8.0;6.0;12.1;97.0;24.0;1.0
2005072512;8.0;7.0;14.9;91.0;28.0;2.0
2005072518;7.0;8.0;15.5;84.0;32.0;2.0
2005072606;7.0;7.0;14.1;85.0;28.0;1.0
2005072612;6.0;8.0;17.3;69.0;28.0;3.0
2005072618;4.0;8.0;15.1;79.0;24.0;2.0
2005072706;3.0;8.0;16.3;78.0;28.0;1.0
2005072712;4.0;8.0;17.9;54.0;20.0;1.0
2005072718;7.0;8.0;18.9;65.0;0.0;0.0
2005072806;8.0;7.0;16.2;95.0;16.0;2.0
2005072812;6.0;7.0;22.2;80.0;20.0;1.0
2005072818;4.0;7.0;22.9;81.0;28.0;1.0
2005072906;3.0;6.0;18.8;96.0;12.0;2.0
2005072912;6.0;7.0;24.5;78.0;24.0;2.0
2005072918;4.0;8.0;22.0;83.0;24.0;3.0
2005073006;8.0;5.0;17.8;100.0;24.0;2.0
2005073012;6.0;6.0;17.5;94.0;24.0;3.0
2005073018;6.0;8.0;18.1;83.0;20.0;3.0
2005073106;2.0;8.0;15.3;87.0;20.0;4.0
2005073112;8.0;6.0;15.7;91.0;16.0;5.0
2005073118;7.0;6.0;15.7;94.0;20.0;5.0
2005080106;8.0;6.0;15.8;91.0;24.0;4.0
2005080112;8.0;7.0;15.8;86.0;20.0;4.0
2005080118;8.0;6.0;15.8;96.0;20.0;2.0
2005080206;7.0;7.0;14.9;93.0;24.0;1.0
2005080212;5.0;8.0;16.7;71.0;24.0;3.0
2005080218;4.0;8.0;16.5;70.0;24.0;1.0
2005080306;2.0;7.0;13.5;88.0;16.0;2.0
2005080312;7.0;7.0;18.3;71.0;16.0;3.0
2005080318;6.0;7.0;16.1;93.0;20.0;1.0
2005080406;2.0;8.0;16.2;84.0;24.0;2.0
2005080412;4.0;8.0;17.1;70.0;24.0;4.0
2005080418;5.0;8.0;15.8;74.0;28.0;4.0
2005080506;8.0;6.0;13.4;94.0;20.0;3.0
2005080512;8.0;8.0;15.0;91.0;16.0;3.0
2005080518;7.0;6.0;14.3;96.0;24.0;3.0
2005080606;6.0;7.0;14.1;82.0;20.0;4.0
2005080612;5.0;8.0;16.4;73.0;28.0;4.0
2005080618;5.0;8.0;14.7;72.0;28.0;3.0
2005080706;5.0;6.0;11.4;96.0;28.0;1.0
2005080712;3.0;8.0;16.7;63.0;28.0;3.0
2005080718;3.0;8.0;15.9;71.0;24.0;3.0
2005080806;3.0;2.0;11.8;100.0;24.0;1.0
2005080812;7.0;8.0;16.5;70.0;24.0;3.0
2005080818;7.0;8.0;14.4;92.0;24.0;3.0
2005080906;8.0;7.0;14.2;91.0;28.0;1.0
2005080912;6.0;8.0;17.0;77.0;28.0;3.0
2005080918;5.0;8.0;16.6;80.0;28.0;3.0
2005081006;8.0;7.0;14.9;90.0;28.0;3.0
2005081012;8.0;8.0;16.2;78.0;28.0;5.0
2005081018;8.0;8.0;15.3;87.0;24.0;5.0
2005081106;8.0;7.0;14.8;82.0;28.0;5.0
2005081112;8.0;7.0;14.9;81.0;28.0;5.0
2005081118;8.0;8.0;14.7;77.0;28.0;4.0
2005081206;8.0;6.0;13.8;91.0;28.0;4.0
2005081212;7.0;8.0;15.9;75.0;24.0;4.0
2005081218;7.0;8.0;14.9;78.0;24.0;3.0
2005081306;7.0;8.0;14.0;77.0;28.0;3.0
2005081312;4.0;8.0;16.8;69.0;28.0;4.0
