MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
2004080106;4.0;8.0;17.1;94.0;8.0;1.0
2004080112;3.0;8.0;23.1;63.0;28.0;2.0
2004080118;2.0;8.0;20.2;82.0;4.0;1.0
2004080206;3.0;7.0;17.7;97.0;8.0;1.0
2004080212;2.0;8.0;21.9;67.0;4.0;2.0
2004080218;2.0;8.0;20.3;75.0;4.0;2.0
2004080306;1.0;8.0;18.8;94.0;28.0;2.0
2004080312;5.0;8.0;21.5;69.0;28.0;5.0
2004080318;5.0;8.0;19.5;82.0;28.0;3.0
2004080406;1.0;7.0;17.8;96.0;8.0;1.0
2004080412;1.0;8.0;22.5;73.0;4.0;2.0
2004080418;1.0;8.0;20.8;85.0;4.0;3.0
2004080506;1.0;8.0;20.8;91.0;8.0;1.0
2004080512;5.0;7.0;20.3;91.0;4.0;3.0
2004080518;4.0;8.0;20.8;89.0;4.0;3.0
2004080606;1.0;8.0;20.3;71.0;8.0;1.0
2004080612;0.0;8.0;23.4;66.0;4.0;5.0
2004080618;6.0;8.0;21.5;77.0;4.0;6.0
2004080706;0.0;8.0;20.2;76.0;8.0;1.0
2004080712;3.0;8.0;22.2;71.0;8.0;4.0
2004080718;0.0;8.0;21.5;77.0;4.0;5.0
2004080806;0.0;8.0;20.3;79.0;8.0;1.0
2004080812;3.0;8.0;23.3;68.0;8.0;4.0
2004080818;0.0;8.0;21.3;78.0;4.0;5.0
2004080906;0.0;8.0;20.2;83.0;8.0;1.0
2004080912;0.0;8.0;22.7;80.0;8.0;3.0
2004080918;0.0;8.0;21.3;82.0;8.0;3.0
2004081006;0.0;8.0;20.7;85.0;8.0;1.0
2004081012;1.0;8.0;22.7;77.0;8.0;3.0
2004081018;0.0;8.0;20.2;86.0;8.0;5.0
2004081106;1.0;8.0;18.3;82.0;8.0;2.0
2004081112;2.0;8.0;20.7;74.0;8.0;3.0
2004081118;3.0;8.0;19.7;83.0;8.0;3.0
2004081206;3.0;8.0;20.0;88.0;8.0;1.0
2004081212;3.0;8.0;23.6;65.0;4.0;3.0
2004081218;5.0;8.0;20.1;81.0;4.0;5.0
2004081306;6.0;8.0;18.8;82.0;20.0;1.0
2004081312;4.0;8.0;20.7;78.0;20.0;1.0
2004081318;5.0;8.0;18.1;82.0;20.0;1.0
2004081406;5.0;8.0;18.5;79.0;28.0;2.0
2004081412;4.0;8.0;19.4;67.0;32.0;2.0
2004081418;3.0;8.0;18.3;68.0;32.0;1.0
2004081506;0.0;8.0;15.2;81.0;20.0;1.0
2004081512;4.0;8.0;22.3;65.0;20.0;1.0
2004081518;4.0;8.0;20.0;70.0;20.0;2.0
2004081606;5.0;8.0;16.2;90.0;20.0;1.0
2004081612;5.0;8.0;24.5;54.0;16.0;1.0
2004081618;6.0;8.0;20.6;71.0;20.0;1.0
2004081706;1.0;8.0;17.6;93.0;20.0;1.0
2004081712;4.0;8.0;24.4;61.0;20.0;2.0
2004081718;4.0;8.0;19.0;85.0;20.0;1.0
2004081806;5.0;8.0;18.6;96.0;20.0;1.0
2004081812;6.0;8.0;22.0;78.0;12.0;2.0
2004081818;1.0;8.0;21.2;82.0;12.0;1.0
2004081906;5.0;8.0;20.0;79.0;12.0;1.0
2004081912;3.0;8.0;23.6;60.0;12.0;2.0
2004081918;3.0;8.0;23.5;49.0;20.0;2.0
2004082006;4.0;8.0;16.9;84.0;20.0;1.0
2004082012;6.0;8.0;22.1;62.0;20.0;4.0
2004082018;6.0;8.0;18.6;82.0;20.0;2.0
2004082106;2.0;8.0;15.2;86.0;20.0;1.0
2004082112;5.0;8.0;19.7;67.0;20.0;2.0
2004082118;4.0;8.0;15.5;90.0;20.0;1.0
2004082206;2.0;8.0;13.0;83.0;20.0;1.0
2004082212;2.0;8.0;17.0;51.0;20.0;2.0
2004082218;1.0;8.0;15.7;58.0;20.0;1.0
2004082306;1.0;8.0;11.4;91.0;12.0;1.0
2004082312;2.0;8.0;17.5;63.0;12.0;1.0
2004082318;6.0;8.0;16.6;70.0;8.0;2.0
2004082406;5.0;8.0;15.4;79.0;8.0;1.0
2004082412;5.0;8.0;22.1;60.0;12.0;3.0
2004082418;6.0;8.0;18.2;84.0;12.0;4.0
2004082506;6.0;8.0;14.5;92.0;20.0;1.0
2004082512;4.0;8.0;18.1;74.0;20.0;2.0
2004082518;3.0;8.0;15.5;93.0;20.0;2.0
2004082606;6.0;8.0;14.3;91.0;20.0;1.0
2004082612;3.0;8.0;18.7;74.0;20.0;2.0
2004082618;3.0;8.0;15.9;85.0;20.0;2.0
2004082706;3.0;8.0;14.6;95.0;20.0;1.0
2004082712;7.0;8.0;18.1;61.0;20.0;3.0
2004082718;6.0;8.0;15.0;90.0;20.0;2.0
2004082806;3.0;8.0;15.5;90.0;20.0;1.0
2004082812;4.0;8.0;19.1;62.0;20.0;1.0
2004082818;3.0;8.0;15.3;78.0;20.0;1.0
2004082906;4.0;8.0;10.6;100.0;8.0;1.0
2004082912;4.0;8.0;19.6;61.0;12.0;2.0
2004082918;2.0;8.0;14.4;90.0;12.0;1.0
2004083006;6.0;8.0;14.9;96.0;16.0;1.0
2004083012;8.0;7.0;16.2;93.0;20.0;1.0
2004083018;3.0;8.0;14.7;86.0;20.0;1.0
2004083106;6.0;8.0;11.5;92.0;20.0;1.0
2004083112;4.0;8.0;14.3;83.0;20.0;3.0
2004083118;5.0;8.0;13.8;87.0;20.0;1.0
2004090106;4.0;8.0;13.7;85.0;20.0;2.0
2004090112;3.0;8.0;17.6;67.0;24.0;3.0
2004090118;4.0;8.0;15.6;77.0;24.0;1.0
2004090206;1.0;8.0;11.9;91.0;20.0;1.0
2004090212;1.0;8.0;18.5;60.0;20.0;1.0
2004090218;1.0;8.0;15.2;78.0;8.0;1.0
2004090306;1.0;8.0;11.5;100.0;16.0;1.0
2004090312;1.0;8.0;18.3;64.0;16.0;1.0
