MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;range;wind_dir;wind_str;prec
2004080106;2;2004;8;1;6;1.0;6.123233995736766e-17;17.1;94.0;17.1;94.0;2;4;8.0;8.0;1.0;0.0
2004080112;2;2004;8;1;12;1.2246467991473532e-16;-1.0;17.1;94.0;23.1;63.0;1;3;8.0;28.0;2.0;0.0
2004080118;2;2004;8;1;18;-1.0;-1.8369701987210297e-16;23.1;63.0;20.2;82.0;1;2;8.0;4.0;1.0;0.0
2004080206;2;2004;8;2;6;1.0;6.123233995736766e-17;20.2;82.0;17.7;97.0;1;3;7.0;8.0;1.0;0.0
2004080212;2;2004;8;2;12;1.2246467991473532e-16;-1.0;17.7;97.0;21.9;67.0;1;2;8.0;4.0;2.0;0.0
2004080218;2;2004;8;2;18;-1.0;-1.8369701987210297e-16;21.9;67.0;20.3;75.0;1;2;8.0;4.0;2.0;0.0
2004080306;2;2004;8;3;6;1.0;6.123233995736766e-17;20.3;75.0;18.8;94.0;1;1;8.0;28.0;2.0;0.0
2004080312;2;2004;8;3;12;1.2246467991473532e-16;-1.0;18.8;94.0;21.5;69.0;2;5;8.0;28.0;5.0;0.0
2004080318;2;2004;8;3;18;-1.0;-1.8369701987210297e-16;21.5;69.0;19.5;82.0;2;5;8.0;28.0;3.0;0.0
2004080406;2;2004;8;4;6;1.0;6.123233995736766e-17;19.5;82.0;17.8;96.0;1;1;7.0;8.0;1.0;0.0
2004080412;2;2004;8;4;12;1.2246467991473532e-16;-1.0;17.8;96.0;22.5;73.0;1;1;8.0;4.0;2.0;0.0
2004080418;2;2004;8;4;18;-1.0;-1.8369701987210297e-16;22.5;73.0;20.8;85.0;1;1;8.0;4.0;3.0;0.0
2004080506;2;2004;8;5;6;1.0;6.123233995736766e-17;20.8;85.0;20.8;91.0;1;1;8.0;8.0;1.0;0.0
2004080512;2;2004;8;5;12;1.2246467991473532e-16;-1.0;20.8;91.0;20.3;91.0;2;5;7.0;4.0;3.0;0.0
2004080518;2;2004;8;5;18;-1.0;-1.8369701987210297e-16;20.3;91.0;20.8;89.0;2;4;8.0;4.0;3.0;0.0
2004080606;2;2004;8;6;6;1.0;6.123233995736766e-17;20.8;89.0;20.3;71.0;1;1;8.0;8.0;1.0;0.0
2004080612;2;2004;8;6;12;1.2246467991473532e-16;-1.0;20.3;71.0;23.4;66.0;0;0;8.0;4.0;5.0;0.0
