MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1972110107;8.0;2.0;5.3;99.0;24.0;1.0
1972110114;7.0;4.0;7.8;86.0;20.0;1.0
1972110121;8.0;2.0;6.2;100.0;8.0;1.0
1972110207;8.0;1.0;4.0;100.0;0.0;0.0
1972110214;8.0;2.0;6.2;97.0;0.0;0.0
1972110221;8.0;1.0;5.6;97.0;0.0;0.0
1972110307;8.0;1.0;4.3;100.0;0.0;0.0
1972110314;8.0;2.0;5.5;99.0;0.0;0.0
1972110321;8.0;2.0;5.0;98.0;0.0;0.0
1972110407;8.0;2.0;3.7;99.0;32.0;1.0
1972110414;8.0;4.0;6.6;89.0;0.0;0.0
1972110421;8.0;1.0;5.3;99.0;0.0;0.0
1972110507;8.0;1.0;4.0;98.0;0.0;0.0
1972110514;7.0;4.0;7.2;91.0;0.0;0.0
1972110521;8.0;1.0;5.1;99.0;0.0;0.0
1972110607;8.0;1.0;4.2;99.0;0.0;0.0
1972110614;8.0;3.0;6.7;99.0;0.0;0.0
1972110621;8.0;2.0;5.0;98.0;0.0;0.0
1972110707;8.0;1.0;3.6;99.0;0.0;0.0
1972110714;8.0;3.0;4.7;99.0;0.0;0.0
1972110721;8.0;2.0;4.2;99.0;0.0;0.0
1972110807;8.0;4.0;4.4;99.0;0.0;0.0
1972110814;7.0;4.0;7.1;90.0;24.0;1.0
1972110821;8.0;4.0;6.8;95.0;0.0;0.0
1972110907;8.0;4.0;6.0;96.0;0.0;0.0
1972110914;8.0;5.0;7.6;92.0;0.0;0.0
1972110921;8.0;5.0;6.7;96.0;0.0;0.0
1972111007;8.0;5.0;5.6;96.0;20.0;1.0
1972111014;1.0;5.0;8.0;85.0;8.0;1.0
1972111021;8.0;7.0;7.0;95.0;12.0;1.0
1972111107;8.0;7.0;9.3;87.0;24.0;3.0
1972111114;6.0;8.0;5.8;81.0;24.0;3.0
1972111121;7.0;8.0;3.0;88.0;20.0;3.0
1972111207;7.0;8.0;3.3;84.0;20.0;3.0
1972111214;8.0;7.0;2.9;89.0;20.0;3.0
1972111221;8.0;7.0;3.9;93.0;20.0;2.0
1972111307;8.0;8.0;8.9;75.0;20.0;5.0
1972111314;8.0;9.0;10.0;88.0;24.0;4.0
1972111321;8.0;6.0;5.5;89.0;20.0;2.0
1972111407;8.0;7.0;4.0;96.0;32.0;2.0
1972111414;8.0;6.0;5.0;97.0;0.0;0.0
1972111421;8.0;7.0;7.2;92.0;28.0;3.0
1972111507;7.0;7.0;3.1;86.0;0.0;0.0
1972111514;7.0;8.0;5.5;62.0;20.0;3.0
1972111521;2.0;8.0;0.8;90.0;20.0;2.0
1972111607;8.0;6.0;0.0;91.0;0.0;0.0
1972111614;8.0;3.0;0.3;95.0;16.0;1.0
1972111621;7.0;8.0;10.3;86.0;20.0;5.0
1972111707;8.0;8.0;12.1;79.0;20.0;5.0
1972111714;6.0;9.0;14.6;59.0;20.0;4.0
1972111721;5.0;9.0;12.5;63.0;20.0;4.0
1972111807;8.0;6.0;2.4;84.0;28.0;3.0
1972111814;7.0;8.0;3.1;61.0;20.0;3.0
1972111821;6.0;8.0;1.2;80.0;20.0;1.0
1972111907;7.0;7.0;-0.3;81.0;8.0;1.0
1972111914;8.0;8.0;1.8;70.0;24.0;1.0
1972111921;8.0;7.0;1.4;79.0;24.0;1.0
1972112007;8.0;6.0;1.8;97.0;28.0;1.0
1972112014;7.0;9.0;9.3;69.0;20.0;3.0
1972112021;7.0;9.0;6.8;79.0;20.0;4.0
1972112107;7.0;8.0;5.8;84.0;20.0;3.0
1972112114;7.0;9.0;6.2;84.0;24.0;3.0
1972112121;8.0;8.0;5.3;90.0;24.0;2.0
1972112207;8.0;7.0;5.5;93.0;20.0;2.0
1972112214;8.0;7.0;4.4;93.0;20.0;2.0
1972112221;8.0;7.0;2.2;94.0;0.0;0.0
1972112307;8.0;6.0;0.5;97.0;0.0;0.0
1972112314;8.0;7.0;3.0;91.0;28.0;1.0
1972112321;7.0;8.0;2.3;95.0;0.0;0.0
1972112407;7.0;6.0;0.8;90.0;24.0;2.0
1972112414;7.0;7.0;1.7;89.0;24.0;3.0
1972112421;7.0;7.0;1.2;90.0;28.0;2.0
1972112507;8.0;7.0;0.1;88.0;24.0;1.0
1972112514;8.0;7.0;1.8;76.0;32.0;1.0
1972112521;8.0;7.0;0.3;91.0;24.0;1.0
1972112607;6.0;7.0;-0.6;89.0;4.0;1.0
1972112614;4.0;7.0;1.1;65.0;12.0;1.0
1972112621;1.0;7.0;-2.0;92.0;32.0;1.0
1972112707;8.0;6.0;-2.6;86.0;16.0;1.0
1972112714;7.0;6.0;-0.9;73.0;0.0;0.0
1972112721;5.0;5.0;-3.7;95.0;24.0;1.0
1972112807;8.0;2.0;-3.9;97.0;16.0;1.0
1972112814;3.0;4.0;1.4;77.0;0.0;0.0
1972112821;8.0;2.0;-1.0;99.0;0.0;0.0
1972112907;8.0;2.0;-2.3;98.0;0.0;0.0
1972112914;1.0;5.0;4.0;81.0;0.0;0.0
1972112921;8.0;1.0;1.5;98.0;4.0;1.0
1972113007;7.0;5.0;1.0;96.0;28.0;1.0
1972113014;1.0;6.0;8.2;60.0;32.0;1.0
1972113021;8.0;6.0;2.6;91.0;24.0;1.0
1972120107;8.0;5.0;3.0;95.0;0.0;0.0
1972120114;8.0;4.0;5.0;94.0;0.0;0.0
1972120121;8.0;1.0;4.4;99.0;0.0;0.0
1972120207;8.0;2.0;2.0;100.0;24.0;1.0
1972120214;8.0;2.0;2.2;100.0;0.0;0.0
1972120221;8.0;2.0;1.9;100.0;8.0;1.0
1972120307;8.0;3.0;1.0;100.0;0.0;0.0
1972120314;8.0;5.0;2.6;97.0;4.0;1.0
1972120321;7.0;5.0;2.2;94.0;0.0;0.0
1972120407;7.0;5.0;3.9;97.0;0.0;0.0
1972120414;7.0;6.0;5.9;90.0;8.0;1.0
1972120421;8.0;6.0;4.9;96.0;0.0;0.0
1972120507;8.0;8.0;5.9;88.0;20.0;1.0
1972120514;5.0;8.0;8.4;68.0;20.0;3.0
1972120521;0.0;8.0;4.1;81.0;0.0;0.0
1972120607;3.0;8.0;0.5;96.0;0.0;0.0
1972120614;6.0;7.0;7.6;52.0;0.0;0.0
1972120621;7.0;8.0;2.0;90.0;28.0;1.0
1972120707;5.0;8.0;1.6;94.0;4.0;1.0
1972120714;7.0;6.0;5.9;79.0;24.0;3.0
1972120721;8.0;8.0;6.6;84.0;24.0;2.0
1972120807;7.0;7.0;5.5;96.0;8.0;1.0
1972120814;8.0;6.0;6.3;92.0;12.0;1.0
1972120821;8.0;8.0;5.6;84.0;32.0;1.0
1972120907;8.0;5.0;0.7;97.0;24.0;1.0
1972120914;8.0;7.0;2.7;89.0;20.0;2.0
1972120921;8.0;7.0;2.9;91.0;0.0;0.0
1972121007;8.0;7.0;1.4;97.0;0.0;0.0
1972121014;8.0;5.0;1.2;92.0;0.0;0.0
1972121021;8.0;7.0;0.5;90.0;24.0;2.0
1972121107;6.0;7.0;-0.2;93.0;0.0;0.0
1972121114;7.0;5.0;3.7;79.0;16.0;1.0
1972121121;0.0;5.0;0.0;97.0;0.0;0.0
1972121207;8.0;4.0;-0.3;95.0;24.0;1.0
1972121214;1.0;5.0;4.0;72.0;0.0;0.0
1972121221;1.0;4.0;-0.2;96.0;32.0;1.0
1972121307;8.0;1.0;-1.5;98.0;24.0;1.0
1972121314;8.0;2.0;-1.4;99.0;0.0;0.0
1972121321;8.0;1.0;-2.0;98.0;16.0;1.0
1972121407;8.0;2.0;-1.8;98.0;0.0;0.0
1972121414;8.0;5.0;-1.4;91.0;0.0;0.0
1972121421;8.0;5.0;-1.5;97.0;32.0;1.0
1972121507;8.0;6.0;-2.5;92.0;20.0;1.0
1972121514;8.0;5.0;-1.5;91.0;12.0;1.0
1972121521;8.0;4.0;-1.6;93.0;12.0;1.0
1972121607;8.0;4.0;-2.4;96.0;28.0;1.0
1972121614;8.0;4.0;-1.5;95.0;32.0;1.0
1972121621;8.0;5.0;-2.2;94.0;32.0;1.0
1972121707;8.0;4.0;-4.3;96.0;32.0;1.0
1972121714;7.0;5.0;-3.9;86.0;32.0;1.0
1972121721;8.0;5.0;-3.3;91.0;0.0;0.0
1972121807;8.0;5.0;-2.8;93.0;12.0;1.0
1972121814;8.0;5.0;-2.6;86.0;16.0;1.0
1972121821;8.0;6.0;-3.1;87.0;8.0;1.0
1972121907;8.0;6.0;-3.0;86.0;8.0;1.0
1972121914;7.0;6.0;0.5;84.0;4.0;3.0
1972121921;8.0;7.0;1.0;80.0;4.0;3.0
1972122007;7.0;7.0;0.7;81.0;8.0;2.0
1972122014;7.0;7.0;0.2;80.0;4.0;3.0
1972122021;8.0;7.0;-1.1;78.0;8.0;2.0
1972122107;8.0;6.0;-2.2;79.0;0.0;0.0
1972122114;1.0;7.0;0.6;76.0;0.0;0.0
1972122121;6.0;6.0;-2.8;92.0;28.0;1.0
1972122207;8.0;5.0;-2.7;94.0;32.0;1.0
1972122214;8.0;4.0;-2.8;92.0;32.0;1.0
1972122221;8.0;5.0;-3.2;93.0;0.0;0.0
1972122307;8.0;5.0;-4.1;92.0;20.0;1.0
1972122314;7.0;4.0;-2.8;86.0;0.0;0.0
1972122321;7.0;4.0;-3.8;92.0;0.0;0.0
1972122407;8.0;4.0;-4.6;96.0;0.0;0.0
1972122414;7.0;4.0;-4.0;92.0;0.0;0.0
1972122421;8.0;3.0;-4.1;96.0;0.0;0.0
1972122507;8.0;4.0;-3.9;97.0;24.0;1.0
1972122514;8.0;4.0;-3.0;95.0;32.0;1.0
1972122521;8.0;4.0;-2.7;94.0;32.0;1.0
1972122607;8.0;3.0;-4.8;95.0;32.0;1.0
1972122614;7.0;4.0;-2.8;80.0;0.0;0.0
1972122621;0.0;5.0;-3.7;92.0;0.0;0.0
1972122707;2.0;5.0;-5.6;95.0;24.0;2.0
1972122714;7.0;5.0;-0.8;77.0;24.0;1.0
1972122721;7.0;5.0;-2.6;88.0;24.0;1.0
1972122807;6.0;4.0;-3.4;95.0;24.0;1.0
1972122814;7.0;5.0;0.5;84.0;24.0;1.0
1972122821;2.0;6.0;-1.3;94.0;28.0;1.0
1972122907;8.0;2.0;-2.0;98.0;28.0;1.0
1972122914;1.0;6.0;1.0;70.0;0.0;0.0
1972122921;7.0;8.0;-2.7;75.0;28.0;1.0
1972123007;1.0;8.0;-4.8;77.0;24.0;1.0
1972123014;1.0;8.0;1.0;51.0;4.0;1.0
1972123021;0.0;8.0;-2.6;75.0;24.0;1.0
1972123107;1.0;8.0;-5.7;90.0;24.0;1.0
1972123114;1.0;6.0;2.1;56.0;16.0;1.0
1972123121;0.0;6.0;-2.5;83.0;28.0;1.0
1973010107;2.0;6.0;-4.1;84.0;28.0;1.0
1973010114;7.0;6.0;-0.2;78.0;0.0;0.0
1973010121;5.0;6.0;-2.8;86.0;24.0;2.0
1973010207;1.0;6.0;-4.2;92.0;24.0;2.0
1973010214;7.0;4.0;1.4;70.0;0.0;0.0
1973010221;7.0;5.0;-0.4;87.0;0.0;0.0
1973010307;8.0;5.0;-0.2;86.0;28.0;1.0
1973010314;7.0;5.0;2.4;66.0;24.0;1.0
1973010321;6.0;4.0;-1.0;89.0;28.0;1.0
1973010407;7.0;5.0;-1.6;91.0;32.0;2.0
1973010414;5.0;6.0;2.2;73.0;32.0;2.0
1973010421;5.0;6.0;-0.5;85.0;4.0;2.0
1973010507;0.0;6.0;-0.7;87.0;4.0;3.0
1973010514;7.0;5.0;1.2;78.0;4.0;2.0
1973010521;8.0;5.0;0.2;86.0;8.0;2.0
1973010607;8.0;5.0;-1.0;87.0;8.0;1.0
1973010614;8.0;5.0;-0.4;79.0;4.0;2.0
1973010621;8.0;6.0;-1.0;85.0;4.0;2.0
1973010707;8.0;6.0;-1.6;84.0;4.0;2.0
1973010714;7.0;6.0;-0.4;79.0;4.0;1.0
1973010721;8.0;6.0;-0.7;85.0;0.0;0.0
1973010807;8.0;6.0;-1.8;91.0;28.0;1.0
1973010814;8.0;6.0;-1.7;89.0;24.0;1.0
1973010821;8.0;6.0;-2.1;90.0;32.0;1.0
1973010907;8.0;7.0;-3.2;89.0;0.0;0.0
1973010914;8.0;7.0;-1.7;84.0;8.0;1.0
1973010921;8.0;6.0;-1.3;83.0;8.0;1.0
1973011007;0.0;6.0;-3.5;91.0;8.0;1.0
1973011014;8.0;7.0;-0.7;77.0;4.0;1.0
1973011021;8.0;7.0;-1.1;76.0;4.0;2.0
1973011107;8.0;7.0;-1.8;78.0;4.0;1.0
1973011114;1.0;6.0;0.4;71.0;16.0;1.0
1973011121;0.0;6.0;-3.2;89.0;32.0;1.0
1973011207;8.0;5.0;-4.5;94.0;32.0;1.0
1973011214;8.0;4.0;-4.1;90.0;32.0;1.0
1973011221;8.0;5.0;-4.2;90.0;8.0;1.0
1973011307;8.0;6.0;-3.9;90.0;32.0;1.0
1973011314;8.0;5.0;-3.1;91.0;16.0;1.0
1973011321;8.0;5.0;-3.1;89.0;28.0;1.0
1973011407;8.0;4.0;-4.8;98.0;0.0;0.0
1973011414;5.0;5.0;-2.0;91.0;20.0;1.0
1973011421;7.0;5.0;-1.3;95.0;0.0;0.0
1973011507;8.0;4.0;-1.4;97.0;24.0;1.0
1973011514;8.0;5.0;0.9;90.0;12.0;1.0
1973011521;8.0;4.0;0.9;97.0;24.0;1.0
1973011607;8.0;5.0;1.4;93.0;20.0;1.0
1973011614;7.0;7.0;3.6;82.0;24.0;1.0
1973011621;8.0;2.0;0.0;98.0;32.0;2.0
