MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1950010107;8;5.0;-1.1;83.0;0;0
1950010114;8;6.0;-0.7;76.0;18;2
1950010121;7;6.0;-0.4;78.0;24;3
1950010207;8;2.0;2.6;100.0;24;4
1950010214;8;5.0;5.7;92.0;28;3
1950010221;4;6.0;5.4;89.0;28;4
1950010307;8;6.0;4.4;81.0;28;4
1950010314;5;6.0;4.2;81.0;28;4
1950010321;0;7.0;2.0;90.0;28;4
1950010407;6;6.0;0.7;91.0;2;3
1950010414;3;6.0;0.2;74.0;2;4
1950010421;2;6.0;-2.3;77.0;2;2
1950010507;8;6.0;-2.6;86.0;12;3
1950010514;8;6.0;-2.8;88.0;12;4
1950010521;8;4.0;-3.4;93.0;12;4
1950010607;8;3.0;-3.3;95.0;14;6
1950010614;8;6.0;2.3;95.0;24;3
1950010621;8;5.0;2.3;98.0;24;1
1950010707;8;4.0;4.9;97.0;24;2
1950010714;8;5.0;6.3;99.0;24;4
1950010721;8;3.0;6.5;99.0;24;2
1950010807;8;3.0;6.9;100.0;24;2
1950010814;7;6.0;7.1;85.0;24;1
1950010821;6;6.0;6.8;89.0;24;1
1950010907;8;4.0;4.6;97.0;24;2
1950010914;8;2.0;5.4;100.0;24;1
1950010921;8;5.0;4.4;100.0;12;3
1950011007;8;6.0;1.0;90.0;12;5
1950011014;8;6.0;-0.3;98.0;14;3
1950011021;8;4.0;-0.5;100.0;14;2
1950011107;8;2.0;-0.6;99.0;14;3
1950011114;8;5.0;-2.1;96.0;14;2
1950011121;8;4.0;-3.0;97.0;14;2
1950011207;8;5.0;-0.4;96.0;14;2
1950011214;6;6.0;6.6;86.0;28;3
1950011221;0;5.0;4.8;90.0;28;4
1950011307;8;1.0;3.8;100.0;28;1
1950011314;8;6.0;3.2;87.0;20;1
1950011321;8;6.0;3.5;86.0;28;1
1950011407;8;4.0;5.6;96.0;28;3
1950011414;7;7.0;6.4;84.0;24;3
1950011421;8;6.0;5.3;90.0;24;3
1950011507;8;6.0;4.0;89.0;22;2
1950011514;8;6.0;7.6;88.0;22;2
1950011521;8;6.0;7.0;95.0;24;2
1950011607;2;6.0;4.3;91.0;24;1
