date;prev_temp;prev_hum;temp;humidity;coverage;coverage_percent;range;wind_dir;wind_str;wind_str_metric;prec
010100;6.9;100.0;7.1;100.0;8;100.0;2.0;24;5;9.35;6.4
010106;3.433333333333333;89.28571428571429;3.1714285714285713;89.04761904761905;6;79.76190476190476;6.714285714285714;20;4;7.2476190476190485;1.9523809523809523
010107;0.9634146341463414;88.14634146341463;0.2926829268292683;89.90243902439025;6;80.79268292682927;4.121951219512195;17;4;7.451219512195122;2.148780487804878
010112;3.1714285714285713;89.04761904761905;3.6238095238095234;88.04761904761905;7;86.30952380952381;6.809523809523809;18;4;7.542857142857143;1.9523809523809523
010114;0.3622222222222222;89.5111111111111;1.151111111111111;86.75555555555556;6;79.44444444444444;5.866666666666666;18;4;7.638888888888889;2.197777777777778
010118;3.6238095238095234;88.04761904761905;3.6523809523809527;90.28571428571429;7;84.52380952380952;6.666666666666667;18;4;7.019047619047619;1.9523809523809523
010121;1.1219512195121952;87.17073170731707;0.597560975609756;90.48780487804878;6;76.82926829268293;3.8292682926829267;19;4;7.7560975609756095;2.148780487804878
010200;10.0;99.0;10.7;88.0;8;100.0;8.0;20;4;6.7;7.4
010206;3.685714285714286;89.76190476190476;2.961904761904762;89.0952380952381;7;83.33333333333333;6.857142857142857;20;4;7.845238095238095;1.5476190476190477
010207;0.597560975609756;90.48780487804878;0.5219512195121951;90.8048780487805;6;78.96341463414635;3.951219512195122;18;4;7.835365853658536;1.5317073170731708
010212;2.961904761904762;89.0952380952381;3.104761904761905;83.80952380952381;6;69.04761904761905;7.285714285714286;19;4;7.464285714285714;1.5476190476190477
010214;0.6044444444444445;90.06666666666666;1.5133333333333332;88.84444444444445;6;77.22222222222223;5.933333333333334;18;4;7.311111111111111;1.9044444444444446
010218;3.104761904761905;83.80952380952381;2.395238095238095;85.71428571428571;6;70.83333333333333;7.380952380952381;18;5;8.742857142857142;1.5476190476190477
010221;1.526829268292683;88.26829268292683;1.102439024390244;89.73170731707317;6;73.17073170731707;4.121951219512195;18;4;7.330487804878049;1.5317073170731708
010300;7.5;92.0;7.1;94.0;8;100.0;8.0;20;3;4.4;0.5
010306;2.376190476190476;85.80952380952381;1.7428571428571429;85.9047619047619;6;69.04761904761905;7.523809523809524;17;5;8.445238095238095;2.0666666666666664
010307;1.102439024390244;89.73170731707317;1.1487804878048782;92.07317073170732;6;73.17073170731707;4.048780487804878;19;4;7.5097560975609765;1.353658536585366
010312;1.7428571428571429;85.9047619047619;2.376190476190476;86.9047619047619;7;88.0952380952381;7.285714285714286;19;5;8.6;2.0666666666666664
010314;1.1688888888888889;92.31111111111112;1.74;86.57777777777778;7;84.44444444444444;5.866666666666666;19;4;8.248888888888889;1.3333333333333333
010318;2.376190476190476;86.9047619047619;2.5285714285714285;88.71428571428571;7;85.71428571428571;7.238095238095238;20;4;8.107142857142858;2.0666666666666664
