MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;range;wind_dir;wind_str;prec
1977110107;3;1977;11;1;7;0.9659258262890683;-0.25881904510252063;9.2;95.0;9.2;95.0;1;2;4.0;20.0;2.0;0.3
1977110114;3;1977;11;1;14;-0.4999999999999997;-0.8660254037844388;9.2;95.0;10.8;77.0;2;5;7.0;24.0;1.0;0.3
1977110121;3;1977;11;1;21;-0.7071067811865477;0.7071067811865474;10.8;77.0;5.4;94.0;0;0;6.0;20.0;1.0;0.3
1977110207;3;1977;11;2;7;0.9659258262890683;-0.25881904510252063;5.4;94.0;3.8;94.0;1;1;6.0;16.0;2.0;1.7
1977110214;3;1977;11;2;14;-0.4999999999999997;-0.8660254037844388;3.8;94.0;9.8;73.0;2;5;7.0;12.0;3.0;1.7
1977110221;3;1977;11;2;21;-0.7071067811865477;0.7071067811865474;9.8;73.0;7.5;93.0;4;8;6.0;12.0;4.0;1.7
1977110307;3;1977;11;3;7;0.9659258262890683;-0.25881904510252063;7.5;93.0;8.4;98.0;3;7;5.0;0.0;0.0;0.6
1977110314;3;1977;11;3;14;-0.4999999999999997;-0.8660254037844388;8.4;98.0;12.0;80.0;1;2;6.0;20.0;2.0;0.6
1977110321;3;1977;11;3;21;-0.7071067811865477;0.7071067811865474;12.0;80.0;8.6;87.0;0;0;7.0;20.0;3.0;0.6
1977110407;3;1977;11;4;7;0.9659258262890683;-0.25881904510252063;8.6;87.0;8.0;85.0;2;5;7.0;20.0;3.0;6.6
1977110414;3;1977;11;4;14;-0.4999999999999997;-0.8660254037844388;8.0;85.0;8.0;91.0;2;5;7.0;20.0;5.0;6.6
1977110421;3;1977;11;4;21;-0.7071067811865477;0.7071067811865474;8.0;91.0;5.2;96.0;4;8;6.0;24.0;2.0;6.6
1977110507;3;1977;11;5;7;0.9659258262890683;-0.25881904510252063;5.2;96.0;4.0;97.0;2;5;7.0;20.0;4.0;0.8
1977110514;3;1977;11;5;14;-0.4999999999999997;-0.8660254037844388;4.0;97.0;9.0;91.0;3;7;7.0;20.0;5.0;0.8
1977110521;3;1977;11;5;21;-0.7071067811865477;0.7071067811865474;9.0;91.0;9.0;96.0;4;8;6.0;20.0;2.0;0.8
1977110607;3;1977;11;6;7;0.9659258262890683;-0.25881904510252063;9.0;96.0;8.4;87.0;2;6;6.0;12.0;3.0;1.7
1977110614;3;1977;11;6;14;-0.4999999999999997;-0.8660254037844388;8.4;87.0;10.7;94.0;2;6;7.0;20.0;3.0;1.7
1977110621;3;1977;11;6;21;-0.7071067811865477;0.7071067811865474;10.7;94.0;8.0;95.0;0;0;7.0;20.0;2.0;1.7
1977110707;3;1977;11;7;7;0.9659258262890683;-0.25881904510252063;8.0;95.0;6.8;97.0;2;6;6.0;16.0;1.0;0.0
1977110714;3;1977;11;7;14;-0.4999999999999997;-0.8660254037844388;6.8;97.0;12.3;86.0;4;8;6.0;20.0;2.0;0.0
1977110721;3;1977;11;7;21;-0.7071067811865477;0.7071067811865474;12.3;86.0;10.4;77.0;1;1;6.0;20.0;3.0;0.0
1977110807;3;1977;11;8;7;0.9659258262890683;-0.25881904510252063;10.4;77.0;11.0;78.0;3;7;7.0;20.0;5.0;0.8
1977110814;3;1977;11;8;14;-0.4999999999999997;-0.8660254037844388;11.0;78.0;11.6;77.0;4;8;7.0;20.0;3.0;0.8
1977110821;3;1977;11;8;21;-0.7071067811865477;0.7071067811865474;11.6;77.0;8.5;94.0;0;0;6.0;20.0;2.0;0.8
1977110907;3;1977;11;9;7;0.9659258262890683;-0.25881904510252063;8.5;94.0;9.0;88.0;1;3;6.0;20.0;3.0;11.2
1977110914;3;1977;11;9;14;-0.4999999999999997;-0.8660254037844388;9.0;88.0;8.1;94.0;4;8;6.0;24.0;3.0;11.2
1977110921;3;1977;11;9;21;-0.7071067811865477;0.7071067811865474;8.1;94.0;7.5;99.0;2;4;6.0;24.0;1.0;11.2
1977111007;3;1977;11;10;7;0.9659258262890683;-0.25881904510252063;7.5;99.0;9.6;89.0;4;8;7.0;24.0;2.0;0.7
1977111014;3;1977;11;10;14;-0.4999999999999997;-0.8660254037844388;9.6;89.0;13.0;95.0;4;8;6.0;24.0;3.0;0.7
1977111021;3;1977;11;10;21;-0.7071067811865477;0.7071067811865474;13.0;95.0;12.3;94.0;0;0;6.0;24.0;2.0;0.7
1977111107;3;1977;11;11;7;0.9659258262890683;-0.25881904510252063;12.3;94.0;11.9;88.0;2;5;7.0;20.0;3.0;1.1
1977111114;3;1977;11;11;14;-0.4999999999999997;-0.8660254037844388;11.9;88.0;13.4;87.0;4;8;6.0;20.0;3.0;1.1
1977111121;3;1977;11;11;21;-0.7071067811865477;0.7071067811865474;13.4;87.0;12.2;82.0;1;2;6.0;20.0;5.0;1.1
1977111207;3;1977;11;12;7;0.9659258262890683;-0.25881904510252063;12.2;82.0;11.0;65.0;2;4;6.0;20.0;7.0;15.5
1977111214;3;1977;11;12;14;-0.4999999999999997;-0.8660254037844388;11.0;65.0;7.0;81.0;2;6;6.0;20.0;6.0;15.5
1977111221;3;1977;11;12;21;-0.7071067811865477;0.7071067811865474;7.0;81.0;5.7;85.0;4;8;6.0;20.0;3.0;15.5
1977111307;3;1977;11;13;7;0.9659258262890683;-0.25881904510252063;5.7;85.0;4.5;91.0;2;5;7.0;24.0;5.0;8.3
1977111314;3;1977;11;13;14;-0.4999999999999997;-0.8660254037844388;4.5;91.0;6.0;89.0;2;6;7.0;20.0;5.0;8.3
1977111321;3;1977;11;13;21;-0.7071067811865477;0.7071067811865474;6.0;89.0;7.0;91.0;2;5;6.0;20.0;4.0;8.3
1977111407;3;1977;11;14;7;0.9659258262890683;-0.25881904510252063;7.0;91.0;3.0;94.0;4;8;6.0;20.0;7.0;29.9
1977111414;3;1977;11;14;14;-0.4999999999999997;-0.8660254037844388;3.0;94.0;6.7;93.0;4;8;7.0;20.0;3.0;29.9
1977111421;3;1977;11;14;21;-0.7071067811865477;0.7071067811865474;6.7;93.0;7.4;92.0;4;8;7.0;20.0;6.0;29.9
1977111507;3;1977;11;15;7;0.9659258262890683;-0.25881904510252063;7.4;92.0;5.7;90.0;3;7;7.0;24.0;5.0;11.7
1977111514;3;1977;11;15;14;-0.4999999999999997;-0.8660254037844388;5.7;90.0;6.1;93.0;4;8;7.0;20.0;3.0;11.7
1977111521;3;1977;11;15;21;-0.7071067811865477;0.7071067811865474;6.1;93.0;4.2;94.0;2;5;6.0;24.0;4.0;11.7
1977111607;3;1977;11;16;7;0.9659258262890683;-0.25881904510252063;4.2;94.0;5.1;96.0;3;7;6.0;24.0;3.0;1.1
1977111614;3;1977;11;16;14;-0.4999999999999997;-0.8660254037844388;5.1;96.0;6.1;93.0;3;7;7.0;24.0;1.0;1.1
1977111621;3;1977;11;16;21;-0.7071067811865477;0.7071067811865474;6.1;93.0;4.1;97.0;2;6;6.0;24.0;1.0;1.1
1977111707;3;1977;11;17;7;0.9659258262890683;-0.25881904510252063;4.1;97.0;3.8;95.0;2;4;6.0;0.0;0.0;0.8
1977111714;3;1977;11;17;14;-0.4999999999999997;-0.8660254037844388;3.8;95.0;5.9;85.0;2;6;7.0;20.0;1.0;0.8
1977111721;3;1977;11;17;21;-0.7071067811865477;0.7071067811865474;5.9;85.0;5.5;68.0;2;5;6.0;28.0;2.0;0.8
1977111807;3;1977;11;18;7;0.9659258262890683;-0.25881904510252063;5.5;68.0;0.6;96.0;2;5;6.0;0.0;0.0;4.4
1977111814;3;1977;11;18;14;-0.4999999999999997;-0.8660254037844388;0.6;96.0;3.2;94.0;2;5;3.0;24.0;2.0;4.4
1977111821;3;1977;11;18;21;-0.7071067811865477;0.7071067811865474;3.2;94.0;3.0;92.0;2;4;6.0;0.0;0.0;4.4
1977111907;3;1977;11;19;7;0.9659258262890683;-0.25881904510252063;3.0;92.0;4.0;92.0;3;7;6.0;24.0;3.0;3.4
1977111914;3;1977;11;19;14;-0.4999999999999997;-0.8660254037844388;4.0;92.0;4.9;93.0;4;8;6.0;24.0;3.0;3.4
1977111921;3;1977;11;19;21;-0.7071067811865477;0.7071067811865474;4.9;93.0;5.6;93.0;4;8;6.0;20.0;4.0;3.4
1977112007;3;1977;11;20;7;0.9659258262890683;-0.25881904510252063;5.6;93.0;6.6;79.0;4;8;6.0;20.0;6.0;0.2
1977112014;3;1977;11;20;14;-0.4999999999999997;-0.8660254037844388;6.6;79.0;5.8;78.0;4;8;7.0;20.0;6.0;0.2
1977112021;3;1977;11;20;21;-0.7071067811865477;0.7071067811865474;5.8;78.0;5.6;82.0;4;8;6.0;20.0;4.0;0.2
1977112107;3;1977;11;21;7;0.9659258262890683;-0.25881904510252063;5.6;82.0;1.2;90.0;1;1;6.0;0.0;0.0;6.1
1977112114;3;1977;11;21;14;-0.4999999999999997;-0.8660254037844388;1.2;90.0;3.8;79.0;4;8;7.0;12.0;2.0;6.1
1977112121;3;1977;11;21;21;-0.7071067811865477;0.7071067811865474;3.8;79.0;2.8;94.0;4;8;6.0;12.0;2.0;6.1
1977112207;3;1977;11;22;7;0.9659258262890683;-0.25881904510252063;2.8;94.0;1.4;97.0;4;8;6.0;20.0;2.0;4.7
1977112214;3;1977;11;22;14;-0.4999999999999997;-0.8660254037844388;1.4;97.0;2.6;75.0;2;6;7.0;28.0;3.0;4.7
1977112221;3;1977;11;22;21;-0.7071067811865477;0.7071067811865474;2.6;75.0;1.9;85.0;4;8;6.0;24.0;3.0;4.7
1977112307;3;1977;11;23;7;0.9659258262890683;-0.25881904510252063;1.9;85.0;3.2;83.0;1;3;6.0;20.0;2.0;8.4
1977112314;3;1977;11;23;14;-0.4999999999999997;-0.8660254037844388;3.2;83.0;5.7;85.0;2;5;7.0;20.0;4.0;8.4
1977112321;3;1977;11;23;21;-0.7071067811865477;0.7071067811865474;5.7;85.0;6.4;86.0;4;8;6.0;20.0;5.0;8.4
1977112407;3;1977;11;24;7;0.9659258262890683;-0.25881904510252063;6.4;86.0;5.0;88.0;2;6;6.0;28.0;4.0;2.4
1977112414;3;1977;11;24;14;-0.4999999999999997;-0.8660254037844388;5.0;88.0;4.4;91.0;3;7;7.0;20.0;4.0;2.4
1977112421;3;1977;11;24;21;-0.7071067811865477;0.7071067811865474;4.4;91.0;2.9;94.0;1;2;6.0;20.0;3.0;2.4
1977112507;3;1977;11;25;7;0.9659258262890683;-0.25881904510252063;2.9;94.0;4.0;84.0;3;7;6.0;28.0;4.0;1.1
1977112514;3;1977;11;25;14;-0.4999999999999997;-0.8660254037844388;4.0;84.0;5.1;86.0;4;8;6.0;28.0;5.0;1.1
1977112521;3;1977;11;25;21;-0.7071067811865477;0.7071067811865474;5.1;86.0;3.7;79.0;4;8;6.0;28.0;5.0;1.1
1977112607;3;1977;11;26;7;0.9659258262890683;-0.25881904510252063;3.7;79.0;3.4;82.0;4;8;6.0;28.0;7.0;0.5
1977112614;3;1977;11;26;14;-0.4999999999999997;-0.8660254037844388;3.4;82.0;2.7;79.0;3;7;7.0;32.0;6.0;0.5
1977112621;3;1977;11;26;21;-0.7071067811865477;0.7071067811865474;2.7;79.0;2.1;77.0;4;8;7.0;28.0;6.0;0.5
1977112707;3;1977;11;27;7;0.9659258262890683;-0.25881904510252063;2.1;77.0;0.4;79.0;2;6;7.0;4.0;7.0;0.0
1977112714;3;1977;11;27;14;-0.4999999999999997;-0.8660254037844388;0.4;79.0;0.6;54.0;2;6;7.0;4.0;5.0;0.0
1977112721;3;1977;11;27;21;-0.7071067811865477;0.7071067811865474;0.6;54.0;-0.1;59.0;1;2;7.0;4.0;4.0;0.0
1977112807;3;1977;11;28;7;0.9659258262890683;-0.25881904510252063;-0.1;59.0;1.2;60.0;2;4;7.0;4.0;5.0;0.0
1977112814;3;1977;11;28;14;-0.4999999999999997;-0.8660254037844388;1.2;60.0;2.9;73.0;3;7;7.0;4.0;3.0;0.0
1977112821;3;1977;11;28;21;-0.7071067811865477;0.7071067811865474;2.9;73.0;0.2;79.0;2;6;7.0;28.0;2.0;0.0
