MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1946010107;1;2;-8.2;-999;0;0
1946010114;2;8;-2.7;-999;0;0
1946010121;8;0;-5.9;-999;4;1
1946010207;6;2;-8.3;-999;0;0
1946010214;6;8;-4.2;-999;32;1
1946010221;8;0;-6.3;-999;0;0
1946010307;1;2;-7.7;-999;0;0
1946010314;2;7;-3.9;-999;8;2
1946010321;0;0;-12.0;-999;24;1
1946010407;0;4;-14.3;-999;0;0
1946010414;1;7;-3.3;-999;12;2
1946010421;0;0;-11.2;-999;12;1
1946010507;1;4;-14.0;-999;0;0
1946010514;4;8;-1.9;-999;12;2
1946010521;0;0;-10.0;-999;0;0
1946010607;4;4;-7.1;-999;0;0
1946010614;0;8;0.0;-999;0;0
1946010621;0;0;-9.1;-999;0;0
1946010707;0;5;-11.5;-999;0;0
1946010714;0;7;0.8;-999;0;0
1946010721;0;0;-8.2;-999;0;0
1946010807;0;5;-9.9;-999;0;0
1946010814;0;7;3.7;-999;0;0
1946010821;0;0;-6.9;-999;24;1
1946010907;0;6;-9.3;-999;24;1
1946010914;2;8;0.0;-999;0;0
1946010921;0;0;-7.0;-999;0;0
1946011007;3;4;-4.4;-999;16;3
1946011014;6;7;5.2;-999;20;4
1946011021;8;0;6.0;-999;24;1
1946011107;2;3;8.0;-999;24;4
1946011114;4;9;11.9;-999;24;4
1946011121;0;-999;3.3;-999;20;3
1946011207;4;3;0.2;-999;28;1
1946011214;5;9;11.1;-999;20;4
1946011221;2;1;5.0;-999;24;5
1946011307;6;3;2.2;-999;24;5
1946011314;8;6;4.1;-999;28;6
1946011321;8;1;-1.1;-999;24;4
1946011407;8;1;-6.5;-999;28;4
1946011414;8;4;-5.1;-999;24;3
1946011421;8;2;-5.9;-999;24;2
1946011507;8;1;-9.5;-999;4;3
1946011514;8;6;-7.2;-999;4;4
1946011521;6;3;-8.0;-999;8;2
1946011607;7;3;-8.9;-999;8;4
1946011614;5;7;-8.3;-999;8;6
1946011621;6;4;-9.1;-999;8;4
1946011707;6;6;-13.0;-999;12;1
1946011714;2;7;-7.2;-999;16;2
1946011721;6;5;-9.9;-999;12;2
1946011807;6;6;-6.0;-999;12;2
1946011814;4;7;1.1;-999;16;2
1946011821;6;2;-3.9;-999;0;0
1946011907;6;6;-4.0;-999;28;1
1946011914;7;7;1.9;-999;28;1
1946011921;8;0;-2.0;-999;0;0
1946012007;6;3;-1.3;-999;0;0
1946012014;8;6;0.9;-999;0;0
1946012021;7;0;-1.8;-999;0;0
1946012107;8;2;-1.8;-999;0;0
1946012114;8;6;-2.1;-999;8;4
1946012121;8;0;-4.3;-999;8;4
1946012207;8;2;-7.0;-999;0;0
1946012214;6;6;-5.2;-999;0;0
1946012221;8;0;-6.1;-999;0;0
1946012307;7;2;-7.1;-999;0;0
1946012314;6;5;-4.2;-999;24;1
1946012321;8;0;-6.5;-999;0;0
1946012407;6;2;-7.0;-999;24;1
1946012414;0;6;-0.8;-999;0;0
1946012421;0;0;-7.7;-999;0;0
1946012507;8;1;-10.3;-999;0;0
1946012514;8;3;-6.2;-999;0;0
1946012521;4;0;-9.2;-999;0;0
1946012607;8;1;-9.7;-999;24;1
1946012614;0;5;-3.2;-999;0;0
1946012621;0;0;-8.9;-999;0;0
1946012707;8;1;-9.7;-999;24;1
1946012714;2;6;-2.6;-999;0;0
1946012721;0;0;-7.3;-999;0;0
1946012807;8;2;-8.8;-999;0;0
1946012814;8;3;-4.4;-999;16;2
1946012821;8;0;-2.0;-999;0;0
1946012907;8;1;-2.0;-999;0;0
1946012914;8;5;1.1;-999;24;2
1946012921;8;0;3.5;-999;28;2
1946013007;8;3;-3.9;-999;24;2
1946013014;8;7;6.1;-999;28;4
1946013021;8;0;1.7;-999;28;6
1946013107;7;4;1.0;-999;28;4
1946013114;8;5;0.0;-999;28;4
1946013121;8;0;0.0;-999;24;3
1946020107;2;7;0.0;-999;20;4
1946020114;4;8;7.7;-999;20;4
1946020121;0;-999;7.1;-999;24;2
1946020207;2;7;0.3;-999;0;0
1946020214;6;8;9.0;-999;20;2
1946020221;0;-999;5.5;-999;24;4
1946020307;2;8;0.5;-999;20;2
1946020314;2;8;9.2;-999;24;2
1946020321;8;-999;2.7;-999;0;0
1946020407;7;5;9.3;-999;24;2
1946020414;6;8;10.3;-999;20;1
1946020421;8;-999;11.0;-999;24;3
1946020507;7;5;4.2;-999;24;7
1946020514;5;8;7.0;-999;28;6
1946020521;8;-999;5.1;-999;24;5
1946020607;8;5;4.1;-999;28;4
1946020614;6;8;6.9;-999;24;4
1946020621;8;-999;3.1;-999;24;1
1946020707;8;5;4.3;-999;24;4
1946020714;8;6;6.2;-999;28;5
1946020721;8;-999;6.2;-999;24;4
1946020807;7;5;9.0;-999;24;4
1946020814;6;8;11.8;-999;28;6
1946020821;3;-999;8.9;-999;24;5
1946020907;7;5;6.5;-999;24;4
1946020914;8;7;2.9;-999;28;7
1946020921;8;-999;1.0;-999;24;4
1946021007;8;5;-0.8;-999;28;5
1946021014;4;7;1.3;-999;24;3
1946021021;2;-999;0.7;-999;24;1
1946021107;8;6;2.0;-999;28;4
1946021114;7;7;4.3;-999;28;5
1946021121;7;-999;3.4;-999;28;4
1946021207;8;5;3.1;-999;24;4
1946021214;8;1;0.0;-999;32;4
1946021221;6;-999;-0.4;-999;24;4
1946021307;4;6;-3.0;-999;24;3
1946021314;5;7;-0.9;-999;24;2
1946021321;6;-999;-2.0;-999;28;1
1946021407;6;6;-2.8;-999;28;1
1946021414;7;7;0.0;-999;28;1
1946021421;8;-999;-1.9;-999;24;2
1946021507;8;2;-1.8;-999;28;4
1946021514;8;7;1.9;-999;28;4
1946021521;8;-999;1.3;-999;24;2
1946021607;8;5;1.3;-999;24;2
1946021614;6;7;4.3;-999;24;1
1946021621;7;-999;2.9;-999;28;3
1946021707;8;4;2.0;-999;28;6
1946021714;8;6;1.9;-999;24;5
1946021721;8;-999;0.8;-999;24;5
1946021807;8;4;0.9;-999;24;6
1946021814;8;6;4.1;-999;24;7
1946021821;8;-999;3.2;-999;24;6
1946021907;8;5;3.0;-999;24;3
1946021914;8;6;4.1;-999;24;4
1946021921;8;-999;4.0;-999;24;5
1946022007;7;7;5.8;-999;28;7
1946022014;8;2;0.0;-999;24;6
1946022021;8;-999;-1.0;-999;24;4
1946022107;8;5;-0.8;-999;24;4
1946022114;8;1;-0.3;-999;28;4
1946022121;8;-999;-2.8;-999;20;3
1946022207;8;6;-3.0;-999;24;1
1946022214;8;6;-2.9;-999;24;4
1946022221;8;-999;-3.0;-999;24;5
1946022307;8;5;-1.8;-999;24;5
1946022314;8;7;4.1;-999;16;3
1946022321;8;-999;3.7;-999;20;2
1946022407;8;1;-1.5;-999;24;6
1946022414;7;6;0.2;-999;24;4
1946022421;8;-999;-1.3;-999;24;2
1946022507;8;4;-1.9;-999;20;2
1946022514;8;6;-1.9;-999;20;2
1946022521;8;-999;-2.4;-999;24;1
1946022607;8;3;-2.0;-999;0;0
1946022614;8;6;1.8;-999;0;0
1946022621;4;-999;0.4;-999;0;0
1946022707;2;8;1.8;-999;16;5
1946022714;3;9;10.5;-999;16;4
1946022721;0;-999;3.0;-999;0;0
1946022807;2;8;-2.0;-999;0;0
1946022814;2;9;10.0;-999;0;0
1946022821;0;-999;3.1;-999;20;1
1946030107;0;9;1.1;-999;0;0
1946030114;7;8;4.9;-999;24;1
1946030121;8;-999;3.9;-999;24;2
1946030207;8;5;-1.1;-999;24;2
1946030214;8;6;0.9;-999;28;2
1946030221;8;-999;1.9;-999;24;1
1946030307;8;5;-1.0;-999;32;1
1946030314;7;6;1.8;-999;28;1
1946030321;7;-999;1.1;-999;0;0
1946030407;8;3;-0.9;-999;0;0
1946030414;4;6;3.1;-999;4;1
1946030421;8;-999;2.1;-999;32;2
1946030507;8;5;0.3;-999;0;0
1946030514;8;6;3.3;-999;32;1
1946030521;0;-999;0.5;-999;0;0
1946030607;5;5;-2.3;-999;0;0
1946030614;1;8;7.7;-999;4;1
1946030621;0;-999;2.0;-999;0;0
1946030707;8;1;-2.6;-999;0;0
1946030714;8;6;1.5;-999;0;0
1946030721;8;-999;1.2;-999;0;0
1946030807;8;5;0.9;-999;24;1
1946030814;8;6;4.0;-999;0;0
1946030821;8;-999;3.1;-999;0;0
1946030907;8;5;1.7;-999;0;0
1946030914;5;7;5.4;-999;32;1
1946030921;8;-999;4.0;-999;0;0
1946031007;7;5;3.0;-999;0;0
1946031014;4;8;8.8;-999;0;0
1946031021;2;-999;5.4;-999;0;0
1946031107;8;5;3.8;-999;0;0
1946031114;3;8;9.1;-999;8;2
1946031121;2;-999;4.0;-999;0;0
1946031207;4;6;0.0;-999;0;0
1946031214;4;7;9.2;-999;8;1
1946031221;1;-999;3.0;-999;0;0
1946031307;0;3;-2.6;-999;0;0
1946031314;3;8;9.4;-999;8;3
1946031321;2;-999;3.3;-999;0;0
1946031407;8;5;-0.3;-999;24;2
1946031414;7;5;6.2;-999;32;4
1946031421;2;-999;3.9;-999;28;3
1946031507;8;7;2.2;-999;0;0
1946031514;5;7;6.9;-999;28;2
1946031521;8;-999;3.0;-999;4;2
1946031607;8;6;1.5;-999;0;0
1946031614;8;7;4.0;-999;8;3
1946031621;8;-999;2.1;-999;8;2
1946031707;8;6;0.0;-999;8;2
1946031714;8;7;2.0;-999;8;2
1946031721;8;-999;0.1;-999;4;2
1946031807;8;6;-2.6;-999;4;2
1946031814;1;8;5.5;-999;4;2
1946031821;0;-999;-2.0;-999;0;0
1946031907;1;8;-5.1;-999;0;0
1946031914;0;8;9.5;-999;8;2
1946031921;0;-999;0.0;-999;0;0
1946032007;0;8;-2.9;-999;0;0
1946032014;0;9;12.1;-999;8;2
1946032021;0;-999;2.8;-999;0;0
1946032107;4;7;2.1;-999;24;2
1946032114;8;8;15.3;-999;28;3
1946032121;8;-999;10.8;-999;0;0
1946032207;1;8;4.1;-999;20;1
1946032214;3;9;19.9;-999;20;2
1946032221;0;-999;10.8;-999;20;2
1946032307;6;8;8.0;-999;20;3
1946032314;3;9;13.5;-999;20;6
1946032321;0;-999;7.6;-999;24;2
1946032407;7;9;2.0;-999;32;1
1946032414;8;9;8.9;-999;32;1
1946032421;8;-999;6.1;-999;0;0
1946032507;8;6;8.9;-999;24;2
1946032514;6;6;10.1;-999;24;2
1946032521;8;-999;8.8;-999;24;3
1946032607;8;6;7.0;-999;28;2
1946032614;7;7;10.2;-999;28;2
1946032621;6;-999;5.9;-999;24;1
1946032707;0;3;1.7;-999;0;0
1946032714;0;8;10.3;-999;8;3
1946032721;0;-999;5.5;-999;8;1
1946032807;0;7;0.1;-999;0;0
1946032814;0;8;10.8;-999;12;1
1946032821;0;-999;5.3;-999;0;0
1946032907;0;1;1.1;-999;0;0
1946032914;4;8;14.8;-999;8;2
1946032921;0;-999;6.0;-999;0;0
1946033007;3;6;2.5;-999;0;0
1946033014;5;7;12.4;-999;8;2
1946033021;0;-999;6.0;-999;0;0
1946033107;0;0;1.2;-999;0;0
1946033114;1;8;19.3;-999;8;1
1946033121;0;-999;8.0;-999;0;0
1946040107;0;2;2.9;-999;0;0
1946040114;1;8;19.9;-999;32;1
1946040121;0;-999;10.0;-999;0;0
1946040207;0;5;5.8;-999;0;0
1946040214;0;7;18.2;-999;8;1
1946040221;0;-999;6.9;-999;0;0
1946040307;0;6;4.9;-999;0;0
1946040314;0;8;21.0;-999;8;2
1946040321;0;-999;8.9;-999;0;0
1946040407;0;6;11.2;-999;32;2
1946040414;0;8;20.3;-999;8;2
1946040421;0;-999;10.0;-999;0;0
1946040507;2;8;9.3;-999;4;2
1946040514;4;9;20.8;-999;4;2
1946040521;4;-999;15.9;-999;28;2
1946040607;4;8;11.9;-999;28;3
1946040614;5;8;17.0;-999;24;4
1946040621;8;-999;6.9;-999;20;3
1946040707;8;7;2.9;-999;28;3
1946040714;1;8;7.1;-999;12;2
1946040721;0;-999;3.2;-999;0;0
1946040807;4;7;0.3;-999;0;0
1946040814;3;8;15.0;-999;12;2
1946040821;0;-999;7.1;-999;28;2
1946040907;3;7;9.7;-999;28;3
1946040914;6;8;15.5;-999;28;3
1946040921;7;-999;10.7;-999;24;2
1946041007;8;5;6.8;-999;0;0
1946041014;8;6;7.1;-999;4;2
1946041021;7;-999;4.9;-999;32;2
1946041107;7;8;1.0;-999;0;0
1946041114;0;8;7.7;-999;4;2
1946041121;0;-999;1.1;-999;28;2
1946041207;2;8;2.3;-999;28;1
1946041214;3;9;13.5;-999;0;0
1946041221;7;-999;9.0;-999;24;1
1946041307;1;8;2.2;-999;0;0
1946041314;0;9;17.8;-999;8;2
1946041321;1;-999;9.0;-999;0;0
1946041407;3;7;2.2;-999;0;0
1946041414;1;8;15.5;-999;8;2
1946041421;1;-999;10.2;-999;0;0
1946041507;0;7;4.0;-999;8;1
1946041514;1;8;18.9;-999;8;2
1946041521;3;-999;16.1;-999;24;2
1946041607;0;7;4.8;-999;0;0
1946041614;1;8;21.0;-999;8;1
1946041621;1;-999;12.5;-999;0;0
1946041707;0;8;6.1;-999;0;0
1946041714;3;8;20.5;-999;24;3
1946041721;1;-999;14.3;-999;24;1
1946041807;2;7;6.9;-999;0;0
1946041814;2;8;19.4;-999;8;2
1946041821;8;-999;12.0;-999;24;1
1946041907;8;6;10.9;-999;24;3
1946041914;8;6;5.9;-999;28;3
1946041921;3;-999;3.4;-999;24;1
1946042007;8;1;0.0;-999;0;0
1946042014;0;8;10.6;-999;8;4
1946042021;0;-999;8.7;-999;8;2
1946042107;0;8;-0.3;-999;0;0
1946042114;0;9;13.3;-999;12;3
1946042121;0;-999;9.2;-999;0;0
1946042207;2;7;2.1;-999;0;0
1946042214;3;8;17.2;-999;28;3
1946042221;7;-999;10.3;-999;28;4
1946042307;8;5;5.0;-999;28;2
1946042314;7;6;9.2;-999;28;2
1946042321;0;-999;5.8;-999;0;0
1946042407;8;1;1.1;-999;0;0
1946042414;1;7;13.8;-999;12;2
1946042421;0;-999;9.1;-999;0;0
1946042507;3;6;4.7;-999;12;1
1946042514;2;7;18.2;-999;12;2
1946042521;1;-999;13.0;-999;24;1
1946042607;0;7;4.6;-999;0;0
1946042614;1;8;18.2;-999;4;3
1946042621;0;-999;13.3;-999;8;1
1946042707;2;8;3.5;-999;0;0
1946042714;4;8;21.2;-999;32;2
1946042721;2;-999;12.0;-999;28;1
1946042807;5;7;11.0;-999;28;2
1946042814;2;8;19.7;-999;4;3
1946042821;1;-999;14.3;-999;24;1
1946042907;1;8;8.3;-999;0;0
1946042914;2;8;19.0;-999;16;4
1946042921;1;-999;10.5;-999;0;0
1946043007;4;8;4.9;-999;0;0
1946043014;4;8;20.7;-999;20;3
1946043021;4;-999;17.2;-999;20;5
1946050107;1;8;7.2;-999;0;0
1946050114;2;9;18.9;-999;12;2
1946050121;1;-999;16.0;-999;0;0
1946050207;0;9;8.0;-999;0;0
1946050214;2;9;24.8;-999;8;2
1946050221;4;-999;19.3;-999;0;0
1946050307;3;8;11.2;-999;24;2
1946050314;1;9;24.7;-999;8;2
1946050321;1;-999;17.1;-999;20;1
1946050407;0;7;7.9;-999;0;0
1946050414;2;8;23.3;-999;12;2
1946050421;6;-999;16.0;-999;20;2
1946050507;3;7;8.5;-999;24;1
1946050514;4;7;18.8;-999;8;2
1946050521;2;-999;13.3;-999;24;1
1946050607;6;7;9.9;-999;24;1
1946050614;2;8;16.3;-999;32;2
1946050621;2;-999;12.4;-999;24;1
1946050707;8;1;9.2;-999;0;0
1946050714;3;8;22.0;-999;8;2
1946050721;5;-999;16.2;-999;28;4
1946050807;8;7;11.3;-999;28;3
1946050814;6;8;13.1;-999;24;4
1946050821;7;-999;12.1;-999;24;3
1946050907;7;7;10.8;-999;0;0
1946050914;2;8;16.5;-999;4;3
1946050921;0;-999;13.3;-999;8;1
1946051007;1;8;6.0;-999;8;1
1946051014;0;8;18.1;-999;4;3
1946051021;0;-999;11.6;-999;8;1
1946051107;1;7;5.9;-999;24;1
1946051114;2;8;20.0;-999;24;2
1946051121;2;-999;13.0;-999;28;1
1946051207;1;7;9.8;-999;0;0
1946051214;6;8;21.1;-999;8;3
1946051221;1;-999;15.9;-999;8;2
1946051307;6;8;17.2;-999;16;5
1946051314;3;8;24.3;-999;16;4
1946051321;2;-999;18.0;-999;0;0
1946051407;6;8;13.1;-999;24;1
1946051414;4;8;17.8;-999;24;3
1946051421;8;-999;12.5;-999;24;3
1946051507;8;5;7.1;-999;24;1
1946051514;8;6;8.8;-999;24;3
1946051521;8;-999;6.5;-999;28;2
1946051607;7;6;5.5;-999;8;2
1946051614;7;7;8.0;-999;28;3
1946051621;7;-999;5.3;-999;28;2
1946051707;7;5;5.2;-999;28;1
1946051714;7;6;11.3;-999;0;0
1946051721;8;-999;8.9;-999;28;3
1946051807;1;7;5.7;-999;0;0
1946051814;1;8;17.2;-999;8;3
1946051821;1;-999;16.1;-999;0;0
1946051907;1;8;6.9;-999;0;0
1946051914;0;8;21.8;-999;8;3
1946051921;1;-999;17.9;-999;0;0
1946052007;1;8;9.0;-999;0;0
1946052014;1;9;23.2;-999;4;2
1946052021;2;-999;16.4;-999;0;0
1946052107;4;8;14.2;-999;16;4
1946052114;4;8;19.7;-999;4;2
1946052121;7;6;16.2;-999;8;2
1946052207;7;7;12.7;-999;24;2
1946052214;5;8;18.5;-999;28;2
1946052221;7;5;11.9;-999;20;2
1946052307;2;7;11.3;-999;0;0
1946052314;3;7;16.6;-999;4;3
1946052321;6;6;13.0;-999;24;2
1946052407;8;2;8.3;-999;0;0
1946052414;4;7;20.9;-999;8;2
1946052421;8;5;15.8;-999;0;0
1946052507;8;1;11.1;-999;0;0
1946052514;3;8;22.8;-999;4;3
1946052521;3;3;15.2;-999;24;2
1946052607;5;8;13.9;-999;24;2
1946052614;6;7;18.8;-999;28;3
1946052621;8;5;14.3;-999;24;3
1946052707;8;6;10.4;-999;24;3
1946052714;8;6;11.3;-999;20;3
1946052721;7;5;11.6;-999;24;2
1946052807;4;8;10.3;-999;0;0
1946052814;1;9;21.1;-999;8;2
1946052821;1;7;15.5;-999;0;0
1946052907;0;8;10.1;-999;0;0
1946052914;2;9;23.4;-999;8;3
1946052921;3;6;19.7;-999;28;3
1946053007;1;8;12.0;-999;0;0
1946053014;6;9;19.9;-999;4;3
1946053021;8;5;13.3;-999;24;2
1946053107;7;8;12.1;-999;24;3
1946053114;5;9;19.8;-999;4;3
1946053121;2;7;13.0;-999;24;1
1946060107;7;8;14.1;-999;0;0
1946060114;3;9;19.9;-999;12;4
1946060121;2;8;18.5;-999;28;2
1946060207;8;7;13.9;-999;28;3
1946060214;8;8;12.2;-999;28;2
1946060221;2;8;11.0;-999;20;3
1946060307;6;9;10.8;-999;32;1
1946060314;3;9;19.0;-999;32;3
1946060321;8;6;10.9;-999;28;3
1946060407;5;8;11.3;-999;24;5
1946060414;5;8;14.0;-999;24;6
1946060421;2;8;11.5;-999;28;1
1946060507;7;8;10.1;-999;24;1
1946060514;2;9;19.9;-999;12;3
1946060521;0;8;15.3;-999;0;0
1946060607;0;9;11.9;-999;0;0
1946060614;2;9;25.3;-999;32;2
1946060621;2;8;18.6;-999;0;0
1946060707;3;8;14.4;-999;0;0
1946060714;2;9;25.7;-999;0;0
1946060721;4;8;18.0;-999;16;1
1946060807;1;9;15.0;-999;0;0
1946060814;1;9;26.7;-999;0;0
1946060821;1;9;20.9;-999;16;1
1946060907;5;8;19.8;-999;24;2
1946060914;7;8;20.0;-999;16;2
1946060921;1;8;18.5;-999;12;2
1946061007;5;8;15.2;-999;28;2
