MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;range;wind_dir;wind_str;prec
1946010107;4;1946;1;1;7;0.9659258262890683;-0.25881904510252063;-8.2;-999.0;-8.2;-999.0;1;1;2.0;0.0;0.0;0.0
1946010114;4;1946;1;1;14;-0.4999999999999997;-0.8660254037844388;-8.2;-999.0;-2.7;-999.0;1;2;8.0;0.0;0.0;0.0
1946010121;4;1946;1;1;21;-0.7071067811865477;0.7071067811865474;-2.7;-999.0;-5.9;-999.0;4;8;0.0;4.0;1.0;0.0
1946010207;4;1946;1;2;7;0.9659258262890683;-0.25881904510252063;-5.9;-999.0;-8.3;-999.0;2;6;2.0;0.0;0.0;0.0
1946010214;4;1946;1;2;14;-0.4999999999999997;-0.8660254037844388;-8.3;-999.0;-4.2;-999.0;2;6;8.0;32.0;1.0;0.0
1946010221;4;1946;1;2;21;-0.7071067811865477;0.7071067811865474;-4.2;-999.0;-6.3;-999.0;4;8;0.0;0.0;0.0;0.0
1946010307;4;1946;1;3;7;0.9659258262890683;-0.25881904510252063;-6.3;-999.0;-7.7;-999.0;1;1;2.0;0.0;0.0;0.0
1946010314;4;1946;1;3;14;-0.4999999999999997;-0.8660254037844388;-7.7;-999.0;-3.9;-999.0;1;2;7.0;8.0;2.0;0.0
1946010321;4;1946;1;3;21;-0.7071067811865477;0.7071067811865474;-3.9;-999.0;-12.0;-999.0;0;0;0.0;24.0;1.0;0.0
1946010407;4;1946;1;4;7;0.9659258262890683;-0.25881904510252063;-12.0;-999.0;-14.3;-999.0;0;0;4.0;0.0;0.0;0.0
1946010414;4;1946;1;4;14;-0.4999999999999997;-0.8660254037844388;-14.3;-999.0;-3.3;-999.0;1;1;7.0;12.0;2.0;0.0
1946010421;4;1946;1;4;21;-0.7071067811865477;0.7071067811865474;-3.3;-999.0;-11.2;-999.0;0;0;0.0;12.0;1.0;0.0
1946010507;4;1946;1;5;7;0.9659258262890683;-0.25881904510252063;-11.2;-999.0;-14.0;-999.0;1;1;4.0;0.0;0.0;0.0
1946010514;4;1946;1;5;14;-0.4999999999999997;-0.8660254037844388;-14.0;-999.0;-1.9;-999.0;2;4;8.0;12.0;2.0;0.0
1946010521;4;1946;1;5;21;-0.7071067811865477;0.7071067811865474;-1.9;-999.0;-10.0;-999.0;0;0;0.0;0.0;0.0;0.0
1946010607;4;1946;1;6;7;0.9659258262890683;-0.25881904510252063;-10.0;-999.0;-7.1;-999.0;2;4;4.0;0.0;0.0;0.0
1946010614;4;1946;1;6;14;-0.4999999999999997;-0.8660254037844388;-7.1;-999.0;0.0;-999.0;0;0;8.0;0.0;0.0;0.0
1946010621;4;1946;1;6;21;-0.7071067811865477;0.7071067811865474;0.0;-999.0;-9.1;-999.0;0;0;0.0;0.0;0.0;0.0
1946010707;4;1946;1;7;7;0.9659258262890683;-0.25881904510252063;-9.1;-999.0;-11.5;-999.0;0;0;5.0;0.0;0.0;0.0
1946010714;4;1946;1;7;14;-0.4999999999999997;-0.8660254037844388;-11.5;-999.0;0.8;-999.0;0;0;7.0;0.0;0.0;0.0
1946010721;4;1946;1;7;21;-0.7071067811865477;0.7071067811865474;0.8;-999.0;-8.2;-999.0;0;0;0.0;0.0;0.0;0.0
1946010807;4;1946;1;8;7;0.9659258262890683;-0.25881904510252063;-8.2;-999.0;-9.9;-999.0;0;0;5.0;0.0;0.0;0.0
1946010814;4;1946;1;8;14;-0.4999999999999997;-0.8660254037844388;-9.9;-999.0;3.7;-999.0;0;0;7.0;0.0;0.0;0.0
1946010821;4;1946;1;8;21;-0.7071067811865477;0.7071067811865474;3.7;-999.0;-6.9;-999.0;0;0;0.0;24.0;1.0;0.0
1946010907;4;1946;1;9;7;0.9659258262890683;-0.25881904510252063;-6.9;-999.0;-9.3;-999.0;0;0;6.0;24.0;1.0;0.0
1946010914;4;1946;1;9;14;-0.4999999999999997;-0.8660254037844388;-9.3;-999.0;0.0;-999.0;1;2;8.0;0.0;0.0;0.0
1946010921;4;1946;1;9;21;-0.7071067811865477;0.7071067811865474;0.0;-999.0;-7.0;-999.0;0;0;0.0;0.0;0.0;0.0
1946011007;4;1946;1;10;7;0.9659258262890683;-0.25881904510252063;-7.0;-999.0;-4.4;-999.0;1;3;4.0;16.0;3.0;6.0
1946011014;4;1946;1;10;14;-0.4999999999999997;-0.8660254037844388;-4.4;-999.0;5.2;-999.0;2;6;7.0;20.0;4.0;6.0
1946011021;4;1946;1;10;21;-0.7071067811865477;0.7071067811865474;5.2;-999.0;6.0;-999.0;4;8;0.0;24.0;1.0;6.0
1946011107;4;1946;1;11;7;0.9659258262890683;-0.25881904510252063;6.0;-999.0;8.0;-999.0;1;2;3.0;24.0;4.0;0.0
1946011114;4;1946;1;11;14;-0.4999999999999997;-0.8660254037844388;8.0;-999.0;11.9;-999.0;2;4;9.0;24.0;4.0;0.0
1946011121;4;1946;1;11;21;-0.7071067811865477;0.7071067811865474;11.9;-999.0;3.3;-999.0;0;0;-999.0;20.0;3.0;0.0
1946011207;4;1946;1;12;7;0.9659258262890683;-0.25881904510252063;3.3;-999.0;0.2;-999.0;2;4;3.0;28.0;1.0;4.9
