MESS_DATUM;N_TER;VK_TER;TT_TER;RF_TER;DK_TER;FK_TER
1951010107;0;5.0;-11.0;83.0;12.0;2.0
1951010114;6;6.0;-5.0;73.0;12.0;3.0
1951010121;8;6.0;-2.9;89.0;12.0;5.0
1951010207;8;6.0;-2.4;89.0;16.0;4.0
1951010214;8;6.0;-1.5;88.0;4.0;2.0
1951010221;8;6.0;0.0;90.0;8.0;3.0
1951010307;8;6.0;-2.6;92.0;12.0;1.0
1951010314;8;5.0;-0.2;88.0;18.0;2.0
1951010321;8;5.0;-1.0;95.0;20.0;2.0
1951010407;7;6.0;1.4;91.0;20.0;4.0
1951010414;7;6.0;2.0;84.0;20.0;4.0
1951010421;7;5.0;-0.4;90.0;20.0;2.0
1951010507;8;6.0;0.6;87.0;18.0;3.0
1951010514;8;6.0;1.0;91.0;16.0;3.0
1951010521;8;5.0;2.8;95.0;18.0;5.0
1951010607;8;7.0;4.0;89.0;24.0;5.0
1951010614;8;6.0;1.6;97.0;26.0;2.0
1951010621;8;6.0;1.2;100.0;4.0;2.0
1951010707;8;5.0;2.8;91.0;20.0;3.0
1951010714;8;6.0;5.5;90.0;20.0;5.0
1951010721;8;6.0;4.4;82.0;20.0;8.0
1951010807;8;7.0;2.0;95.0;20.0;6.0
1951010814;8;7.0;1.8;84.0;24.0;6.0
1951010821;8;7.0;0.4;90.0;24.0;1.0
1951010907;8;4.0;2.4;95.0;16.0;5.0
1951010914;8;5.0;4.4;92.0;16.0;5.0
1951010921;8;6.0;2.2;95.0;24.0;6.0
1951011007;6;7.0;3.2;86.0;24.0;5.0
1951011014;7;7.0;1.6;89.0;30.0;2.0
1951011021;5;6.0;-0.2;97.0;8.0;1.0
1951011107;8;6.0;1.6;89.0;18.0;6.0
1951011114;8;6.0;4.8;94.0;20.0;6.0
1951011121;8;6.0;5.2;90.0;20.0;3.0
1951011207;8;7.0;6.0;82.0;18.0;3.0
1951011214;6;7.0;8.2;75.0;18.0;2.0
1951011221;8;6.0;4.4;92.0;0.0;0.0
1951011307;8;5.0;2.8;96.0;18.0;2.0
1951011314;8;5.0;3.0;93.0;20.0;2.0
1951011321;7;5.0;1.4;97.0;18.0;2.0
1951011407;6;6.0;2.2;86.0;20.0;2.0
1951011414;7;6.0;4.4;80.0;20.0;6.0
1951011421;7;7.0;3.0;93.0;24.0;5.0
1951011507;8;7.0;1.7;95.0;18.0;3.0
1951011514;8;7.0;3.7;85.0;20.0;2.0
1951011521;2;6.0;1.4;97.0;24.0;3.0
1951011607;8;8.0;1.8;90.0;22.0;6.0
1951011614;7;7.0;2.3;93.0;26.0;3.0
1951011621;8;7.0;1.2;86.0;26.0;2.0
1951011707;7;6.0;0.2;97.0;18.0;2.0
1951011714;8;6.0;2.8;85.0;16.0;6.0
1951011721;8;6.0;0.8;96.0;16.0;6.0
1951011807;8;6.0;5.6;88.0;20.0;4.0
1951011814;8;6.0;4.6;95.0;18.0;2.0
1951011821;8;6.0;4.2;98.0;24.0;2.0
1951011907;8;6.0;3.6;95.0;26.0;5.0
1951011914;7;7.0;5.1;88.0;26.0;5.0
1951011921;8;6.0;3.3;92.0;24.0;5.0
1951012007;8;7.0;2.6;95.0;24.0;5.0
1951012014;7;7.0;3.4;85.0;24.0;6.0
1951012021;8;7.0;1.6;86.0;28.0;6.0
1951012107;8;8.0;0.2;80.0;28.0;6.0
1951012114;2;9.0;-0.6;66.0;32.0;5.0
1951012121;0;8.0;-3.8;79.0;28.0;2.0
1951012207;7;7.0;-4.8;86.0;20.0;1.0
1951012214;7;8.0;-1.0;66.0;12.0;3.0
1951012221;8;7.0;-2.0;81.0;12.0;3.0
1951012307;8;5.0;-0.8;97.0;0.0;0.0
1951012314;8;6.0;-1.0;97.0;0.0;0.0
1951012321;8;5.0;-1.8;94.0;8.0;2.0
1951012407;8;7.0;-3.2;86.0;8.0;2.0
1951012414;8;7.0;-2.0;78.0;8.0;2.0
1951012421;3;7.0;-5.6;69.0;6.0;3.0
1951012507;0;8.0;-8.6;70.0;4.0;2.0
1951012514;0;8.0;-4.6;52.0;8.0;4.0
1951012521;5;8.0;-7.6;63.0;8.0;3.0
1951012607;8;7.0;-10.0;79.0;8.0;2.0
1951012614;8;6.0;-6.4;80.0;8.0;2.0
1951012621;8;6.0;-5.8;88.0;8.0;2.0
1951012707;8;6.0;-3.2;90.0;10.0;2.0
1951012714;7;6.0;1.0;89.0;8.0;2.0
1951012721;8;6.0;-2.2;87.0;8.0;4.0
1951012807;8;6.0;-4.4;78.0;6.0;3.0
1951012814;8;6.0;-3.2;76.0;6.0;2.0
1951012821;8;6.0;-2.8;83.0;6.0;2.0
1951012907;8;6.0;0.0;96.0;4.0;2.0
1951012914;7;6.0;0.8;83.0;6.0;1.0
1951012921;0;6.0;-2.4;83.0;0.0;0.0
1951013007;6;6.0;-5.2;72.0;8.0;2.0
1951013014;6;6.0;-2.9;67.0;4.0;2.0
1951013021;0;6.0;-6.8;76.0;10.0;2.0
1951013107;4;6.0;-8.4;82.0;8.0;2.0
1951013114;8;6.0;-5.0;83.0;8.0;1.0
1951013121;7;6.0;-5.5;83.0;8.0;1.0
1951020107;8;6.0;-4.4;83.0;8.0;1.0
1951020114;8;6.0;-2.0;80.0;0.0;0.0
1951020121;7;6.0;-2.0;84.0;0.0;0.0
1951020207;6;6.0;-4.4;88.0;0.0;0.0
1951020214;0;6.0;-3.0;69.0;8.0;2.0
1951020221;0;7.0;-7.8;77.0;8.0;3.0
1951020307;8;6.0;-5.6;86.0;8.0;4.0
1951020314;8;6.0;-5.2;77.0;8.0;4.0
1951020321;0;6.0;-5.6;83.0;8.0;3.0
1951020407;8;6.0;-4.9;79.0;10.0;4.0
1951020414;3;6.0;-0.5;74.0;12.0;4.0
1951020421;3;6.0;0.6;76.0;12.0;4.0
1951020507;2;7.0;-2.8;85.0;10.0;2.0
1951020514;7;6.0;2.0;74.0;12.0;2.0
1951020521;8;6.0;1.4;88.0;10.0;2.0
1951020607;7;5.0;1.0;97.0;18.0;1.0
1951020614;7;6.0;3.9;85.0;16.0;3.0
1951020621;0;6.0;0.6;96.0;0.0;0.0
1951020707;8;5.0;1.0;93.0;0.0;0.0
1951020714;6;6.0;7.0;75.0;16.0;1.0
1951020721;0;5.0;2.4;97.0;12.0;1.0
1951020807;8;5.0;2.0;97.0;0.0;0.0
1951020814;3;6.0;6.4;79.0;12.0;3.0
1951020821;0;6.0;3.4;91.0;12.0;4.0
1951020907;6;6.0;3.6;81.0;14.0;3.0
1951020914;6;6.0;10.0;70.0;16.0;4.0
1951020921;6;6.0;4.6;85.0;16.0;2.0
1951021007;8;3.0;0.2;100.0;0.0;0.0
1951021014;8;6.0;2.2;97.0;12.0;2.0
1951021021;8;6.0;2.4;92.0;12.0;1.0
1951021107;8;4.0;2.6;94.0;16.0;1.0
1951021114;6;4.0;2.2;98.0;4.0;1.0
1951021121;4;5.0;0.6;98.0;4.0;3.0
1951021207;6;5.0;-0.4;97.0;0.0;0.0
1951021214;8;5.0;1.3;95.0;20.0;1.0
1951021221;8;6.0;2.4;94.0;20.0;2.0
1951021307;8;6.0;1.4;95.0;28.0;2.0
1951021314;8;6.0;0.6;92.0;4.0;1.0
1951021321;8;6.0;0.2;91.0;4.0;3.0
1951021407;8;6.0;0.4;90.0;4.0;5.0
1951021414;8;3.0;0.2;99.0;4.0;4.0
1951021421;8;4.0;-0.2;98.0;4.0;4.0
1951021507;8;5.0;-0.2;96.0;8.0;2.0
1951021514;8;4.0;0.2;95.0;4.0;2.0
1951021521;8;4.0;-0.8;98.0;4.0;2.0
1951021607;8;4.0;-1.2;97.0;0.0;0.0
1951021614;8;6.0;0.8;87.0;4.0;1.0
1951021621;8;6.0;-0.8;93.0;8.0;1.0
1951021707;8;3.0;-0.5;98.0;0.0;0.0
1951021714;7;6.0;2.2;92.0;12.0;4.0
1951021721;8;6.0;3.8;80.0;12.0;5.0
1951021807;1;8.0;1.6;88.0;20.0;6.0
1951021814;6;7.0;3.4;75.0;20.0;7.0
1951021821;7;8.0;2.4;81.0;20.0;5.0
1951021907;2;7.0;0.6;90.0;20.0;3.0
1951021914;3;7.0;6.2;68.0;16.0;3.0
1951021921;7;8.0;3.0;70.0;0.0;0.0
1951022007;7;7.0;1.6;96.0;20.0;4.0
1951022014;6;7.0;5.4;81.0;20.0;3.0
1951022021;2;6.0;1.6;91.0;12.0;2.0
1951022107;8;6.0;2.4;90.0;12.0;5.0
1951022114;7;7.0;7.4;75.0;16.0;4.0
1951022121;8;7.0;4.2;84.0;20.0;4.0
1951022207;1;7.0;0.4;95.0;16.0;2.0
1951022214;8;7.0;4.6;77.0;20.0;4.0
1951022221;5;7.0;1.0;92.0;16.0;2.0
1951022307;6;6.0;-1.4;95.0;16.0;2.0
1951022314;8;6.0;3.0;89.0;20.0;3.0
